	Module	Kind	#	Business Term	element	DictionaryEntryName	Description	xsd	object Class Term Qualifier	Object ClassTerm	Property Term Qualifier	Property Term	Datatype Qualifier	Representation Term	Associated Object Class Term Qualifier	Associated Object Class
129	bus	BBIE	21	Elimination Code	gl-bus:eliminationCode	xBRL_ Entry Header. Elimination Code	Informs destination ledger this is an intracompany entry which eliminates in consolidation	string	xBRL	Entry Header		Elimination Code		Code		
130	bus	BBIE	22	Budget Scenario Period Start Date. Date Time	gl-bus:budgetScenarioPeriodStart	xBRL_ Entry Header. Budget Scenario Period Start Date. Date Time	Start of period covered by associated budgetScenario	dateTime	xBRL	Entry Header		Budget Scenario Period Start Date		Date Time		
131	bus	BBIE	23	Budget Scenario Period End Date. Date Time	gl-bus:budgetScenarioPeriodEnd	xBRL_ Entry Header. Budget Scenario Period End Date. Date Time	End of period covered by associated budgetScenario	dateTime	xBRL	Entry Header		Budget Scenario Period End Date		Date Time		
132	bus	BBIE	24	Budget Scenario Text	gl-bus:budgetScenarioText	xBRL_ Entry Header. Budget Scenario Text	Text related to budgetScenario	string	xBRL	Entry Header		Budget Scenario Text		Text		
133	bus	BBIE	25	Budget Scenario	gl-bus:budgetScenario	xBRL_ Entry Header. Budget Scenario	"Code for a budget scenario identifier such as PB for &apos;preliminary budget&apos;, or RB for &apos;revised budget&apos;, or other identifier for entryType"	string	xBRL	Entry Header		Budget Scenario		Text		
134	bus	BBIE	26	Budget Allocation Code	gl-bus:budgetAllocationCode	xBRL_ Entry Header. Budget Allocation Code	"Code associated with the calculation formula: e.g. Divide by number of periods, Total for period given"	token	xBRL	Entry Header		Budget Allocation Code		Code		
135	usk	BBIE	27	Reversing Standard ID	gl-usk:reversingStdId	xBRL_ Entry Header. Reversing Standard ID	"For standard, reversing, master, cancelling or other entries an ID associated with those entries."	string	xBRL	Entry Header		Reversing Standard ID		Text		
136	usk	BBIE	28	Recurring Standard Description	gl-usk:recurringStdDescription	xBRL_ Entry Header. Recurring Standard Description	Description to accompany standard or recurring ID	string	xBRL	Entry Header		Recurring Standard Description		Text		
137	usk	BBIE	29	Frequency Interval. Numeric	gl-usk:frequencyInterval	xBRL_ Entry Header. Frequency Interval. Numeric	"For standard or recurring journals, how often entry may be made: every frequencyInterval frequencyUnit, such as every 7 interval days unit or every 1 interval quarter unit. This field represents the interval."	decimal	xBRL	Entry Header		Frequency Interval		Numeric		
138	usk	BBIE	30	Frequency Unit	gl-usk:frequencyUnit	xBRL_ Entry Header. Frequency Unit	"For standard or recurring journals, how often entry may be made: every frequencyInterval frequencyUnit, such as every 7 interval days unit or every 1 interval quarter unit. This field represents the unit."	string	xBRL	Entry Header		Frequency Unit		Text		
139	usk	BBIE	31	Repetitions Remaining. Numeric	gl-usk:repetitionsRemaining	xBRL_ Entry Header. Repetitions Remaining. Numeric	Number of times that the recurring entry will repeat	integer	xBRL	Entry Header		Repetitions Remaining		Numeric		
140	usk	BBIE	32	Next Date repeat. Date Time	gl-usk:nextDateRepeat	xBRL_ Entry Header. Next Date repeat. Date Time	Date next repeated or standard posted	dateTime	xBRL	Entry Header		Next Date repeat		Date Time		
141	usk	BBIE	33	Last Date repeat. Date Time	gl-usk:lastDateRepeat	xBRL_ Entry Header. Last Date repeat. Date Time	Date last repeated or standard posted	dateTime	xBRL	Entry Header		Last Date repeat		Date Time		
142	usk	BBIE	34	End Date Repeating Entry. Date Time	gl-usk:endDateRepeatingEntry	xBRL_ Entry Header. End Date Repeating Entry. Date Time	"For standard or recurring journals, stop date/time for repetitive entry."	dateTime	xBRL	Entry Header		End Date Repeating Entry		Date Time		
143	usk	BBIE	35	Reverse. Indicator	gl-usk:reverse	xBRL_ Entry Header. Reverse. Indicator	Should entry be reversed?	boolean	xBRL	Entry Header		Reverse		Indicator		
144	usk	BBIE	36	Reversing Date. Date Time	gl-usk:reversingDate	xBRL_ Entry Header. Reversing Date. Date Time	Date this entry should be reversed	dateTime	xBRL	Entry Header		Reversing Date		Date Time		
145	cor	BBIE	37	Entry Number Counter. Numeric	gl-cor:entryNumberCounter	xBRL_ Entry Header. Entry Number Counter. Numeric	Unique reference for the entry - a numeric counter	decimal	xBRL	Entry Header		Entry Number Counter		Numeric		
146	cor	ASBIE	38	Entry Detail	gl-cor:entryDetail	xBRL_ Entry Header. Specified. xBRL_ Entry Detail	Parent for entry detail		xBRL	Entry Header		Specified			xBRL	Entry Detail
147	cor	ABIE	0	Entry Detail	gl-cor:entryDetail	xBRL_ Entry Detail. Details	Parent for entry detail		xBRL	Entry Detail						
148	cor	BBIE	1	Line Number	gl-cor:lineNumber	xBRL_ Entry Detail. Line Number	Identifier for a particular entry detail	string	xBRL	Entry Detail		Line Number		Text		
149	cor	BBIE	2	Line Number Counter. Numeric	gl-cor:lineNumberCounter	xBRL_ Entry Detail. Line Number Counter. Numeric	Unique reference for the line - a numeric counter	decimal	xBRL	Entry Detail		Line Number Counter		Numeric		
150	cor	BBIE	3	Sign Of Amount. Code	gl-cor:signOfAmount	xBRL_ Entry Detail. Sign Of Amount. Code	Sign of amount; provides 4 possible fields only when used in conjunction with debitCreditCode; primarily used for correcting entries so total debits and credits after an entry error are not inflated. D + increase DebitsD - decrease debitsC + decreases creditC - increases credit	token	xBRL	Entry Detail		Sign Of Amount		Code		
151	cor	BBIE	4	Debit Credit Code	gl-cor:debitCreditCode	xBRL_ Entry Detail. Debit Credit Code	"Optional identifier of whether the amount is a Debit, a Credit or Undefined"	token	xBRL	Entry Detail		Debit Credit Code		Code		
152	cor	BBIE	5	Posting Date. Date Time	gl-cor:postingDate	xBRL_ Entry Detail. Posting Date. Date Time	"At the detail level, this represents the accounting significance date. No matter what date the document is received, entered, or posted, this signifies the accounting date of the entry. If you want to see the financial results for March 5, 2002 and this entry is given that date, the entry will be part of the results for March 5, 2002. This is different from the postedDate found at the entryHeader level. If you want the accounting significance to be a particular date, it goes here. A single entry could represent multiple dates, but would only be posted on one date."	dateTime	xBRL	Entry Detail		Posting Date		Date Time		
153	bus	BBIE	6	Amount Memo	gl-bus:amountMemo	xBRL_ Entry Detail. Amount Memo	A boolean like entry that indicates whether an entryDetail line has been provided solely to provide additional details and that tools should not consider the amount in postings.	boolean	xBRL	Entry Detail		Amount Memo		Text		
154	bus	BBIE	7	Allocation Code	gl-bus:allocationCode	xBRL_ Entry Detail. Allocation Code	A code that is tied to the Enterprise&apos;s allocation system.	string	xBRL	Entry Detail		Allocation Code		Code		
155	bus	BBIE	8	Payment Method	gl-bus:paymentMethod	xBRL_ Entry Detail. Payment Method	Method used or to be used to make the payment	string	xBRL	Entry Detail		Payment Method		Text		
156	cor	BBIE	9	Posting Status. Code	gl-cor:postingStatus	xBRL_ Entry Detail. Posting Status. Code	"deferred: although entered, it cannot be posted until a later time posted: already posted proposed: a proposed item that must be approved simulated: a simulated item, for what-if tax: a tax-specific entry unposted:entered but not yet posted or validated cancelled:entered and later cancelled other:other status - should be described in postingStatusDescription"	token	xBRL	Entry Detail		Posting Status		Code		
157	cor	BBIE	10	Posting Status Description	gl-cor:postingStatusDescription	xBRL_ Entry Detail. Posting Status Description	Free format description of the posting status	string	xBRL	Entry Detail		Posting Status Description		Text		
158	cor	BBIE	11	Detail Comment	gl-cor:detailComment	xBRL_ Entry Detail. Detail Comment	Description of this line of detail only	string	xBRL	Entry Detail		Detail Comment		Text		
159	cor	BBIE	12	Date Acknowledged. Date Time	gl-cor:dateAcknowledged	xBRL_ Entry Detail. Date Acknowledged. Date Time	Date of acknowledgement of goods/services shipped/received.	dateTime	xBRL	Entry Detail		Date Acknowledged		Date Time		
160	cor	BBIE	13	Confirmed Date. Date Time	gl-cor:confirmedDate	xBRL_ Entry Detail. Confirmed Date. Date Time	Date of confirmation of shipment/receipt.	dateTime	xBRL	Entry Detail		Confirmed Date		Date Time		
161	cor	BBIE	14	Ship From	gl-cor:shipFrom	xBRL_ Entry Detail. Ship From	References organizationAddressLocationIdentifier where used. Otherwise freeform.	string	xBRL	Entry Detail		Ship From		Text		
162	cor	BBIE	15	Ship Received Date. Date Time	gl-cor:shipReceivedDate	xBRL_ Entry Detail. Ship Received Date. Date Time	Date goods/services are shipped/received.	dateTime	xBRL	Entry Detail		Ship Received Date		Date Time		
163	cor	BBIE	16	Maturity Date. Date Time	gl-cor:maturityDate	xBRL_ Entry Detail. Maturity Date. Date Time	Due date or other maturity date.	dateTime	xBRL	Entry Detail		Maturity Date		Date Time		
164	cor	BBIE	17	Terms	gl-cor:terms	xBRL_ Entry Detail. Terms	Discount/payment terms.	string	xBRL	Entry Detail		Terms		Text		
165	taf	BBIE	18	Ticking Field. Indicator	gl-taf:tickingField	xBRL_ Entry Detail. Ticking Field. Indicator	"Signifies that an item has been cleared, finished, finalized. When checking accounts are called for, the tick or letter showing this was done appears in this field. Can also be used for identifying that the original document against which a payment or DR/CR memo applies has been reconciled."	boolean	xBRL	Entry Detail		Ticking Field		Indicator		
166	taf	BBIE	19	Document Remaining Balance. Amount	gl-taf:documentRemainingBalance	xBRL_ Entry Detail. Document Remaining Balance. Amount	Balance remaining on the document	monetary	xBRL	Entry Detail		Document Remaining Balance		Amount		
167	taf	BBIE	20	Unique Consignment Reference	gl-taf:uniqueConsignmentReference	xBRL_ Entry Detail. Unique Consignment Reference	"Unique Consignment Reference or UCR. An 'origin to destination' reference code for international consignments, developed in cooperation with the World Customs Organization and EAN International EAN. http://www.wcoomd.org/ie/EN/press/UCR_new_e.pdf"	string	xBRL	Entry Detail		Unique Consignment Reference		Text		
168	cor	ASBIE	21	Account	gl-cor:account	xBRL_ Entry Detail. Specified. xBRL_ Account	"Tuple: parent container for account numbers and identifiers. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so: /account/accountMainID 1000 /account/accountMainDescription Cash /account/accountSub/accountSubID 4783HG /account/accountSub/accountSubDescription Department /account/accountSub/accountSubID QOWI /account/accountSub/accountSubDescription Branch /account/accountSub/accountSubID 192837 /account/accountSub/accountSubDescription Division"		xBRL	Entry Detail		Specified			xBRL	Account
169	cor	ASBIE	22	Monetary Amount		xBRL_ Entry Detail. Specified. xBRL_ Monetary Amount	"This field amount represents the primary monetary amount related to the subject of the entryDetail line. There is one primary monetary amount per entryDetail structure. It may, for example, represent the amount of one line of a journal entry, the balance on a document, or the extended amount of a line item on an invoice. Amount is not required if detailed entry is used for non-financial work and other elements are populated, in particular measurableQuantity. The amount field is a signed number either positive or negative itself and used in conjunction with a separate signOfAmount and a separate debitCreditCode, which together are considered for understanding the monetary amount. The unit of measure is determined by amountCurrency if present, and by the default or home currency if amountCurrency is not present."		xBRL	Entry Detail		Specified			xBRL	Monetary Amount
170	cor	ASBIE	23	Identifier Reference	gl-cor:identifierReference	xBRL_ Entry Detail. Specified. xBRL_ Identifier Reference	"Identification for customer, vendor, or employee."		xBRL	Entry Detail		Specified			xBRL	Identifier Reference
171	cor	ASBIE	24	Document		xBRL_ Entry Detail. Specified. xBRL_ Document			xBRL	Entry Detail		Specified			xBRL	Document
172	bus	ASBIE	25	Measureable	gl-bus:measurable	xBRL_ Entry Detail. Specified. xBRL_ Measureable	"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an 'account', 'reporting bucket' or 'code'. Can be used to track any movements."		xBRL	Entry Detail		Specified			xBRL	Measureable
173	ehm	ASBIE	26	Enhanced Measurable		xBRL_ Entry Detail. Specified. xBRL_ Enhanced Measurable	"An enumerated code to identify the inventory, fixed asset or other measurable class. Enumerated as: raw material, work-in-process, finished goods, assemblies, supplies, land, building, machinery, furniture, vehicles, other."		xBRL	Entry Detail		Specified			xBRL	Enhanced Measurable
174	bus	ASBIE	27	Job	gl-bus:jobInfo	xBRL_ Entry Detail. Specified. xBRL_ Job	"Tuple for holding job related information, separate from jobs represented in account identifier. Would probably only have one jobinfo tuple for each entry line, but there may be a need to express more than one."		xBRL	Entry Detail		Specified			xBRL	Job
175	bus	ASBIE	28	Depreciation Mortgage	gl-bus:depreciationMortgage	xBRL_ Entry Detail. Specified. xBRL_ Depreciation Mortgage	"Parent for information related to depreciation, mortgages, etc."		xBRL	Entry Detail		Specified			xBRL	Depreciation Mortgage
176	cor	ASBIE	29	Taxes	gl-cor:taxes	xBRL_ Entry Detail. Specified. xBRL_ Taxes	Tuple for holding tax related information		xBRL	Entry Detail		Specified			xBRL	Taxes
177	taf	ASBIE	30	Originating Document	gl-taf:originatingDocumentStructure	xBRL_ Entry Detail. Specified. xBRL_ Originating Document	"A tool to capture the flow of related documents in the business process. Some needs of end users require a greater history of the documents that are associated with a transaction, especially in the VAT audit area. Contains a repetitive structure of related documents."		xBRL	Entry Detail		Specified			xBRL	Originating Document
178	cor	ABIE	0	Account	gl-cor:account	xBRL_ Account. Details	"Tuple: parent container for account numbers and identifiers. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so: /account/accountMainID 1000 /account/accountMainDescription Cash /account/accountSub/accountSubID 4783HG /account/accountSub/accountSubDescription Department /account/accountSub/accountSubID QOWI /account/accountSub/accountSubDescription Branch /account/accountSub/accountSubID 192837 /account/accountSub/accountSubDescription Division"		xBRL	Account						
179	cor	BBIE	1	ID	gl-cor:accountMainID	xBRL_ Account. ID	"Main account - the code used to identify the accounting bucket the entry has been assigned to. Examples might be 1000 for Cash, 567GAAZ for Sales Expense or Z for tax payments. Identifiers such as department, branch, division, manager, or other modifiers are noted in the Subaccount area. Before needing to post, account is not necessary. Posting to the general ledger almost always requires an entry here."	string	xBRL	Account		ID		Text		
180	cor	BBIE	2	Description	gl-cor:accountMainDescription	xBRL_ Account. Description	Description of accountMainID - the human readable describer that accompanies the code used in accountMainID	string	xBRL	Account		Description		Text		
181	cor	BBIE	3	Main Account Type. Code	gl-cor:mainAccountType	xBRL_ Account. Main Account Type. Code	"Account type - FASB Concepts 6 and similar international designs. When xbrlInfo is used to associated other XBRL reporting items, this field is more suited to representing existing systems audit than data interchange. Enumerated as: asset, liability, equity, income, gain, expense, loss, contr-to-equity, distr-from-equity, comprehensive-income, other."	token	xBRL	Account		Main Account Type		Code		
182	cor	BBIE	4	Main Account Type Description	gl-cor:mainAccountTypeDescription	xBRL_ Account. Main Account Type Description	Free format description of the account classification	string	xBRL	Account		Main Account Type Description		Text		
183	cor	RBIE	5	Main Account	gl-cor:parentAccountMainID	xBRL_ Account. Parent. xBRL_ Main Account	Roll up item from child natural account to parent natural account.	string	xBRL	Account		Parent			xBRL	Main Account
184	cor	BBIE	6	Purpose Code	gl-cor:accountPurposeCode	xBRL_ Account. Purpose Code	"Code related to usage for account aggregate - Consolidating, European, IFRS, Offsetting, Primary, Tax, USGAAP, Japanese, Other. Japanese companies will use this for the tax required offsetting entry. If left blank, assumes default accounting method for company."	token	xBRL	Account		Purpose Code		Code		
185	cor	BBIE	7	Purpose Description	gl-cor:accountPurposeDescription	xBRL_ Account. Purpose Description	Description of usage for aggregate account	string	xBRL	Account		Purpose Description		Text		
186	cor	BBIE	8	Type. Code	gl-cor:accountType	xBRL_ Account. Type. Code	"Type of account. Enumerated as: account, bank, employee, customer, job, vendor, measurable, statistical, other."	token	xBRL	Account		Type		Code		
187	cor	BBIE	9	Type Description	gl-cor:accountTypeDescription	xBRL_ Account. Type Description	Free format description of the account type	string	xBRL	Account		Type Description		Text		
188	cor	BBIE	10	Active. Indicator	gl-cor:accountActive	xBRL_ Account. Active. Indicator	Boolean to indicate whether the account is active='true' or inactive='false'	boolean	xBRL	Account		Active		Indicator		
189	bus	ASBIE	11	Entry Accounting Method	gl-bus:entryAccountingMethod	xBRL_ Account. Specified. token. xBRL_ Entry Accounting Method	"For this entry, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other"	token	xBRL	Account		Specified		token	xBRL	Entry Accounting Method
190	cor	ASBIE	12	Sub Account	gl-cor:accountSub	xBRL_ Account. Specified. xBRL_ Sub Account	Tuple to hold multiple accountSubIDs and Descriptions		xBRL	Account		Specified			xBRL	Sub Account
191	bus	ABIE	0	Entry Accounting Method	gl-bus:entryAccountingMethod	xBRL_ Entry Accounting Method. Details	"For this entry, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other"		xBRL	Entry Accounting Method						
192	bus	BBIE	1	Description	gl-bus:entryAccountingMethodDescription	xBRL_ Entry Accounting Method. Description	Free format description of the entry accounting method	string	xBRL	Entry Accounting Method		Description		Text		
193	bus	BBIE	2	Purpose. Code	gl-bus:entryAccountingMethodPurpose	xBRL_ Entry Accounting Method. Purpose. Code	"For this entry, the reporting purpose represented - from book, tax, management, statutory, other"	token	xBRL	Entry Accounting Method		Purpose		Code		
194	bus	BBIE	3	Purpose Description	gl-bus:entryAccountingMethodPurposeDescription	xBRL_ Entry Accounting Method. Purpose Description	Free format description of the entry accounting method purpose	string	xBRL	Entry Accounting Method		Purpose Description		Text		
195	cor	ABIE	0	Sub Account	gl-cor:accountSub	xBRL_ Sub Account. Details	Tuple to hold multiple accountSubIDs and Descriptions		xBRL	Sub Account						
196	cor	BBIE	1	Description	gl-cor:accountSubDescription	xBRL_ Sub Account. Description	The description that accompanies accountSubID belongs here.	string	xBRL	Sub Account		Description		Text		
197	cor	BBIE	2	ID	gl-cor:accountSubID	xBRL_ Sub Account. ID	"Where the primary account was placed in accountMainID, the code used for each profit center, division, business unit, fund, program, branch, project, class, su-class or other modifier is placed here."	Identifier	xBRL	Sub Account		Identification		Identifier		
198	cor	BBIE	3	Type. Code	gl-cor:accountSubType	xBRL_ Sub Account. Type. Code	"Type of sub-account - profit center, division, business unit, fund, program, branch, project, class, su-class or other modifier is placed here. For example: Accountability center: Business unit: Class:Department: Project: Fund: Program:Job: Profit center: Branch: Setup class: Division: Unit"	token	xBRL	Sub Account		Type		Code		
199	cor	ASBIE	4	Segment Parent	gl-cor:segmentParentTuple	xBRL_ Sub Account. Specified. xBRL_ Segment Parent	Tuple for showing the detail necessary to roll up from one segment type of subaccount to another.		xBRL	Sub Account		Specified			xBRL	Segment Parent
200	cor	ABIE	0	Segment Parent	gl-cor:segmentParentTuple	xBRL_ Segment Parent. Details	Tuple for showing the detail necessary to roll up from one segment type of subaccount to another.		xBRL	Segment Parent						
201	cor	BBIE	1	Type	gl-cor:parentSubaccountType	xBRL_ Segment Parent. Type	The describer of the segment this subaccount rolls up to.	string	xBRL	Segment Parent		Type		Text		
202	cor	BBIE	2	Reporting Tree Identifier	gl-cor:reportingTreeIdentifier	xBRL_ Segment Parent. Reporting Tree Identifier	Used for representing descriptions of reporting trees.	string	xBRL	Segment Parent		Reporting Tree Identifier		Text		
203	cor	BBIE	3	Proportion. Numeric	gl-cor:parentSubaccountProportion	xBRL_ Segment Parent. Proportion. Numeric	"For partial allocations of amounts to different parents, the percentage of a child that will be allocated to a parent."	pure	xBRL	Segment Parent		Proportion		Numeric		
204	cor	RBIE	4	Sub Account	gl-cor:parentSubaccountCode	xBRL_ Segment Parent. Parent. xBRL_ Sub Account	Subaccount NUMBER this subaccount rolls up to - see also subaccount type it rolls up to.		xBRL	Segment Parent		Parent			xBRL	Sub Account
205	cor	ABIE	0	Monetary Amount		xBRL_ Monetary Amount. Details	"This field amount represents the primary monetary amount related to the subject of the entryDetail line. There is one primary monetary amount per entryDetail structure. It may, for example, represent the amount of one line of a journal entry, the balance on a document, or the extended amount of a line item on an invoice. Amount is not required if detailed entry is used for non-financial work and other elements are populated, in particular measurableQuantity. The amount field is a signed number either positive or negative itself and used in conjunction with a separate signOfAmount and a separate debitCreditCode, which together are considered for understanding the monetary amount. The unit of measure is determined by amountCurrency if present, and by the default or home currency if amountCurrency is not present."		xBRL	Monetary Amount						
206	cor	BBIE	1	Amount	gl-cor:amount	xBRL_ Monetary Amount. Amount	"This field amount represents the primary monetary amount related to the subject of the entryDetail line. There is one primary monetary amount per entryDetail structure. It may, for example, represent the amount of one line of a journal entry, the balance on a document, or the extended amount of a line item on an invoice. Amount is not required if detailed entry is used for non-financial work and other elements are populated, in particular measurableQuantity. The amount field is a signed number either positive or negative itself and used in conjunction with a separate signOfAmount and a separate debitCreditCode, which together are considered for understanding the monetary amount. The unit of measure is determined by amountCurrency if present, and by the default or home currency if amountCurrency is not present."	monetary	xBRL	Monetary Amount		Amount		Amount		
207	muc	ASBIE	2	Multi Currency		xBRL_ Monetary Amount. Specified. Codee. xBRL_ Multi Currency	"The currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding."	QName	xBRL	Monetary Amount		Specified		Codee	xBRL	Multi Currency
208	muc	ABIE	0	Multi Currency		xBRL_ Multi Currency. Details	"The currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding."		xBRL	Multi Currency						
209	muc	BBIE	1	Currency. Code	gl-muc:amountCurrency	xBRL_ Multi Currency. Currency. Code	"The currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding."	QName	xBRL	Multi Currency		Currency		Code		
210	muc	BBIE	2	Amount Orignal_ Amount	gl-muc:amountOriginalAmount	xBRL_ Multi Currency. Amount Orignal_ Amount	"Amount in original as opposed to home currency, for multi-currency tracking. "	monetary	xBRL	Multi Currency	Amount Orignal	Amount		Amount		
211	muc	BBIE	3	Amount Orignal_ Currency. Code	gl-muc:amountOriginalCurrency	xBRL_ Multi Currency. Amount Orignal_ Currency. Code	"The currency used to track original, as opposed to home, amounts. Recommended ISO 4217 coding."	QName	xBRL	Multi Currency	Amount Orignal	Currency		Code		
212	muc	BBIE	4	Amount Orignal_ Exchange Rate. Numeric	gl-muc:amountOriginalExchangeRate	xBRL_ Multi Currency. Amount Orignal_ Exchange Rate. Numeric	Exchange rate at time of original transaction expressed as national currency divided by original currency	pure	xBRL	Multi Currency	Amount Orignal	Exchange Rate		Numeric		
213	muc	BBIE	5	Amount Orignal_ Exchange Rate Date. Date Time	gl-muc:amountOriginalExchangeRateDate	xBRL_ Multi Currency. Amount Orignal_ Exchange Rate Date. Date Time	Date of exchange rate used to record the original transaction.	dateTime	xBRL	Multi Currency	Amount Orignal	Exchange Rate Date		Date Time		
214	muc	BBIE	6	Amount Orignal_ Exchange Rate Source	gl-muc:amountOriginalExchangeRateSource	xBRL_ Multi Currency. Amount Orignal_ Exchange Rate Source	"Source of Exchange Rate - for example, Reuters, Bloomberg"	string	xBRL	Multi Currency	Amount Orignal	Exchange Rate Source		Text		
215	muc	BBIE	7	Amount Orignal_ Exchange Rate Comment	gl-muc:amountOriginalExchangeRateComment	xBRL_ Multi Currency. Amount Orignal_ Exchange Rate Comment	Comment about exchange rate used for recording original transaction.	string	xBRL	Multi Currency	Amount Orignal	Exchange Rate Comment		Text		
216	muc	BBIE	8	Amount Triangulation_ Amount	gl-muc:amountOriginalTriangulationAmount	xBRL_ Multi Currency. Amount Triangulation_ Amount	"If triangulation is used, amount in triangulation currency, for multi-currency tracking. Debit is entered as positive, credit as negative."	monetary	xBRL	Multi Currency	Amount Triangulation	Amount		Amount		
217	muc	BBIE	9	Amount Triangulation_ Currency. Code	gl-muc:amountOriginalTriangulationCurrency	xBRL_ Multi Currency. Amount Triangulation_ Currency. Code	"The currency used for triangulation, if used. May often be EUR or USD. Recommended ISO 4217 coding."	QName	xBRL	Multi Currency	Amount Triangulation	Currency		Code		
218	muc	BBIE	10	National Triangulation_ Exchange Rate. Numeric	gl-muc:amountOriginalTriangulationExchangeRate	xBRL_ Multi Currency. National Triangulation_ Exchange Rate. Numeric	Exchange rate between national currency and triangulation currency at time of original transaction expressed as national currency divided by triangulation currency	pure	xBRL	Multi Currency	National Triangulation	Exchange Rate		Numeric		
219	muc	BBIE	11	National Triangulation_ Source	gl-muc:amountOriginalTriangulationExchangeRateSource	xBRL_ Multi Currency. National Triangulation_ Source	"Source of Exchange Rate for triangulation amount at time of original transaction - for example, Reuters, Bloomberg"	string	xBRL	Multi Currency	National Triangulation	Source		Text		
220	muc	BBIE	12	National Triangulation_ Type	gl-muc:amountOriginalTriangulationExchangeRateType	xBRL_ Multi Currency. National Triangulation_ Type	"Type of Exchange Rate for triangulation amount at time of original transaction - for example, spot rate, forward contract etc."	string	xBRL	Multi Currency	National Triangulation	Type		Text		
221	muc	BBIE	13	Original Triangulation_ Exchange Rate. Numeric	gl-muc:originalTriangulationExchangeRate	xBRL_ Multi Currency. Original Triangulation_ Exchange Rate. Numeric	Exchange rate between original currency and triangulation currency at time of original transaction expressed as original currency divided by triangulation currency	pure	xBRL	Multi Currency	Original Triangulation	Exchange Rate		Numeric		
222	muc	BBIE	14	Original Triangulation_ Source	gl-muc:originalExchangeRateTriangulationSource	xBRL_ Multi Currency. Original Triangulation_ Source	"Source of Exchange Rate for triangulation from original currency to triangulation currency at time of original transaction - for example, Reuters, Bloomberg"	string	xBRL	Multi Currency	Original Triangulation	Source		Text		
223	muc	BBIE	15	Original Triangulation_ Type	gl-muc:originalExchangeRateTriangulationType	xBRL_ Multi Currency. Original Triangulation_ Type	"Type of Exchange Rate for triangulation from original currency to triangulation currency at time of original transaction - for example, spot rate, forward contract etc."	string	xBRL	Multi Currency	Original Triangulation	Type		Text		
224	muc	ASBIE	16	Multi Currency Detail	gl-muc:multicurrencyDetail	xBRL_ Multi Currency. Specified. xBRL_ Multi Currency Detail	Section to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This structure allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This structure may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.		xBRL	Multi Currency		Specified			xBRL	Multi Currency Detail
225	muc	ABIE	0	Multi Currency Detail	gl-muc:multicurrencyDetail	xBRL_ Multi Currency Detail. Details	Section to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This structure allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This structure may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.		xBRL	Multi Currency Detail						
226	muc	BBIE	1	Exchange Rate Date. Date Time	gl-muc:multicurrencyDetailExchangeRateDate	xBRL_ Multi Currency Detail. Exchange Rate Date. Date Time	Date of exchange rate other than original transaction date on which amount is expressed as amountRestatedAmount or amountTriangulationAmount	dateTime	xBRL	Multi Currency Detail		Exchange Rate Date		Date Time		
227	muc	BBIE	2	Amount Restated_ Amount	gl-muc:amountRestatedAmount	xBRL_ Multi Currency Detail. Amount Restated_ Amount	The amount in the foreign currency identified by amountRestatedCurrency as of multicurrencyDetailExchangeRateDate.	monetary	xBRL	Multi Currency Detail	Amount Restated	Amount		Amount		
228	muc	BBIE	3	Amount Restated_ Currency. Code	gl-muc:amountRestatedCurrency	xBRL_ Multi Currency Detail. Amount Restated_ Currency. Code	The currency in which amountRestatedAmount is expressed. Recommended ISO 4217 coding.	QName	xBRL	Multi Currency Detail	Amount Restated	Currency		Code		
229	muc	BBIE	4	Amount Restated_ Exchange Rate. Numeric	gl-muc:amountRestatedExchangeRate	xBRL_ Multi Currency Detail. Amount Restated_ Exchange Rate. Numeric	Exchange rate used to convert amountRestatedAmount as of multicurrencyDetailExchangeRateDate expressed as national currency divided by foreign currency	pure	xBRL	Multi Currency Detail	Amount Restated	Exchange Rate		Numeric		
