Module	Kind		seq	element	Business Term	DictionaryEntryName	Description	xsd	object Class Term Qualifier	Object ClassTerm	Property Term Qualifier	Property Term	Datatype Qualifier	Representation Term	Associated Object Class Term Qualifier	Associated Object Class
bus	BBIE	119	144	    gl-bus:postingCode	 Posting Code	XBRLGL_ Entry Header. Posting Code	"Code for posting to period, e.g., period 1-13, based on codes in an accounting period file. We do not recommend that software vendors export here, but suggest providing period end numbers for the buckets. Possibilities W1 through W53, M1 through M13, Q1-Q4. Developers and others creating output files are encouraged to supply an actual end date."	string	XBRLGL	Entry Header		Posting Code		Code		
bus	BBIE	120	145	    gl-bus:batchID	 Batch ID	XBRLGL_ Entry Header. Batch ID	ID for a batch for this group of entries	string	XBRLGL	Entry Header		Batch ID		Text		
bus	BBIE	121	146	    gl-bus:batchDescription	 Batch Description	XBRLGL_ Entry Header. Batch Description	Description of this batch	string	XBRLGL	Entry Header		Batch Description		Text		
bus	BBIE	122	147	    gl-bus:numberOfEntries	 Number Of Entries. Numeric	XBRLGL_ Entry Header. Number Of Entries. Numeric	The total number of entries.	integer	XBRLGL	Entry Header		Number Of Entries		Numeric		
bus	BBIE	123	148	    gl-bus:totalDebit	 Total Debit Amount	XBRLGL_ Entry Header. Total Debit Amount	The total of all debit amounts.	monetary	XBRLGL	Entry Header		Total Debit Amount		Amount		
bus	BBIE	124	149	    gl-bus:totalCredit	 TotalCredit Amount	XBRLGL_ Entry Header. TotalCredit Amount	The total of all credit amounts.	monetary	XBRLGL	Entry Header		TotalCredit Amount		Amount		
cor	BBIE	125	150	    gl-cor:bookTaxDifference	 Book Tax Difference. Code	XBRLGL_ Entry Header. Book Tax Difference. Code	"Enumerated field with possible values of permanent, temporary or none indicating the type of difference between book and tax accounting methods. Omission of this field is equivalent to 'none'"	token	XBRLGL	Entry Header		Book Tax Difference		Code		
bus	BBIE	126	151	    gl-bus:eliminationCode	 Elimination Code	XBRLGL_ Entry Header. Elimination Code	Informs destination ledger this is an intracompany entry which eliminates in consolidation	string	XBRLGL	Entry Header		Elimination Code		Code		
bus	BBIE	127	152	    gl-bus:budgetScenarioPeriodStart	 Budget Scenario Period Start Date. Date Time	XBRLGL_ Entry Header. Budget Scenario Period Start Date. Date Time	Start of period covered by associated budgetScenario	dateTime	XBRLGL	Entry Header		Budget Scenario Period Start Date		Date Time		
bus	BBIE	128	153	    gl-bus:budgetScenarioPeriodEnd	 Budget Scenario Period End Date. Date Time	XBRLGL_ Entry Header. Budget Scenario Period End Date. Date Time	End of period covered by associated budgetScenario	dateTime	XBRLGL	Entry Header		Budget Scenario Period End Date		Date Time		
bus	BBIE	129	154	    gl-bus:budgetScenarioText	 Budget Scenario Text	XBRLGL_ Entry Header. Budget Scenario Text	Text related to budgetScenario	string	XBRLGL	Entry Header		Budget Scenario Text		Text		
bus	BBIE	130	155	    gl-bus:budgetScenario	 Budget Scenario	XBRLGL_ Entry Header. Budget Scenario	"Code for a budget scenario identifier such as PB for &apos;preliminary budget&apos;, or RB for &apos;revised budget&apos;, or other identifier for entryType"	string	XBRLGL	Entry Header		Budget Scenario		Text		
bus	BBIE	131	156	    gl-bus:budgetAllocationCode	 Budget Allocation Code	XBRLGL_ Entry Header. Budget Allocation Code	"Code associated with the calculation formula: e.g. Divide by number of periods, Total for period given"	token	XBRLGL	Entry Header		Budget Allocation Code		Code		
usk	BBIE	132	157	    gl-usk:reversingStdId	 Reversing Standard ID	XBRLGL_ Entry Header. Reversing Standard ID	"For standard, reversing, master, cancelling or other entries an ID associated with those entries."	string	XBRLGL	Entry Header		Reversing Standard ID		Text		
usk	BBIE	133	158	    gl-usk:recurringStdDescription	 Recurring Standard Description	XBRLGL_ Entry Header. Recurring Standard Description	Description to accompany standard or recurring ID	string	XBRLGL	Entry Header		Recurring Standard Description		Text		
usk	BBIE	134	159	    gl-usk:frequencyInterval	 Frequency Interval. Numeric	XBRLGL_ Entry Header. Frequency Interval. Numeric	"For standard or recurring journals, how often entry may be made: every frequencyInterval frequencyUnit, such as every 7 interval days unit or every 1 interval quarter unit. This field represents the interval."	decimal	XBRLGL	Entry Header		Frequency Interval		Numeric		
usk	BBIE	135	160	    gl-usk:frequencyUnit	 Frequency Unit	XBRLGL_ Entry Header. Frequency Unit	"For standard or recurring journals, how often entry may be made: every frequencyInterval frequencyUnit, such as every 7 interval days unit or every 1 interval quarter unit. This field represents the unit."	string	XBRLGL	Entry Header		Frequency Unit		Text		
usk	BBIE	136	161	    gl-usk:repetitionsRemaining	 Repetitions Remaining. Numeric	XBRLGL_ Entry Header. Repetitions Remaining. Numeric	Number of times that the recurring entry will repeat	integer	XBRLGL	Entry Header		Repetitions Remaining		Numeric		
usk	BBIE	137	162	    gl-usk:nextDateRepeat	 Next Date repeat. Date Time	XBRLGL_ Entry Header. Next Date repeat. Date Time	Date next repeated or standard posted	dateTime	XBRLGL	Entry Header		Next Date repeat		Date Time		
usk	BBIE	138	163	    gl-usk:lastDateRepeat	 Last Date repeat. Date Time	XBRLGL_ Entry Header. Last Date repeat. Date Time	Date last repeated or standard posted	dateTime	XBRLGL	Entry Header		Last Date repeat		Date Time		
usk	BBIE	139	164	    gl-usk:endDateRepeatingEntry	 End Date Repeating Entry. Date Time	XBRLGL_ Entry Header. End Date Repeating Entry. Date Time	"For standard or recurring journals, stop date/time for repetitive entry."	dateTime	XBRLGL	Entry Header		End Date Repeating Entry		Date Time		
usk	BBIE	140	165	    gl-usk:reverse	 Reverse. Indicator	XBRLGL_ Entry Header. Reverse. Indicator	Should entry be reversed?	boolean	XBRLGL	Entry Header		Reverse		Indicator		
usk	BBIE	141	166	    gl-usk:reversingDate	 Reversing Date. Date Time	XBRLGL_ Entry Header. Reversing Date. Date Time	Date this entry should be reversed	dateTime	XBRLGL	Entry Header		Reversing Date		Date Time		
cor	BBIE	142	167	    gl-cor:entryNumberCounter	 Entry Number Counter. Numeric	XBRLGL_ Entry Header. Entry Number Counter. Numeric	Unique reference for the entry - a numeric counter	decimal	XBRLGL	Entry Header		Entry Number Counter		Numeric		
cor	ASBIE	143	168	    gl-cor:entryDetail	 Entry Detail	XBRLGL_ Entry Header. Specified. XBRLGL_ Entry Detail	Parent for entry detail		XBRLGL	Entry Header		Specified			XBRLGL	Entry Detail
cor	ABIE	144	168	    gl-cor:entryDetail	 Entry Detail	XBRLGL_ Entry Detail. Details	Parent for entry detail		XBRLGL	Entry Detail						
cor	BBIE	145	169	      gl-cor:lineNumber	 Line Number	XBRLGL_ Entry Detail. Line Number	Identifier for a particular entry detail	string	XBRLGL	Entry Detail		Line Number		Text		
cor	BBIE	146	170	      gl-cor:lineNumberCounter	 Line Number Counter. Numeric	XBRLGL_ Entry Detail. Line Number Counter. Numeric	Unique reference for the line - a numeric counter	decimal	XBRLGL	Entry Detail		Line Number Counter		Numeric		
cor	ASBIE	147	171	      gl-cor:account	 Account	XBRLGL_ Entry Detail. Specified. XBRLGL_ Account	"Tuple: parent container for account numbers and identifiers. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so: /account/accountMainID 1000 /account/accountMainDescription Cash /account/accountSub/accountSubID 4783HG /account/accountSub/accountSubDescription Department /account/accountSub/accountSubID QOWI /account/accountSub/accountSubDescription Branch /account/accountSub/accountSubID 192837 /account/accountSub/accountSubDescription Division"		XBRLGL	Entry Detail		Specified			XBRLGL	Account
cor	ABIE	148	171	      gl-cor:account	 Account	XBRLGL_ Account. Details	"Tuple: parent container for account numbers and identifiers. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so: /account/accountMainID 1000 /account/accountMainDescription Cash /account/accountSub/accountSubID 4783HG /account/accountSub/accountSubDescription Department /account/accountSub/accountSubID QOWI /account/accountSub/accountSubDescription Branch /account/accountSub/accountSubID 192837 /account/accountSub/accountSubDescription Division"		XBRLGL	Account						
cor	BBIE	149	172	        gl-cor:accountMainID	 ID	XBRLGL_ Account. ID	"Main account - the code used to identify the accounting bucket the entry has been assigned to. Examples might be 1000 for Cash, 567GAAZ for Sales Expense or Z for tax payments. Identifiers such as department, branch, division, manager, or other modifiers are noted in the Subaccount area. Before needing to post, account is not necessary. Posting to the general ledger almost always requires an entry here."	string	XBRLGL	Account		ID		Text		
cor	BBIE	150	173	        gl-cor:accountMainDescription	 Description	XBRLGL_ Account. Description	Description of accountMainID - the human readable describer that accompanies the code used in accountMainID	string	XBRLGL	Account		Description		Text		
cor	BBIE	151	174	        gl-cor:mainAccountType	 Main Account Type. Code	XBRLGL_ Account. Main Account Type. Code	"Account type - FASB Concepts 6 and similar international designs. When xbrlInfo is used to associated other XBRL reporting items, this field is more suited to representing existing systems audit than data interchange. Enumerated as: asset, liability, equity, income, gain, expense, loss, contr-to-equity, distr-from-equity, comprehensive-income, other."	token	XBRLGL	Account		Main Account Type		Code		
cor	BBIE	152	175	        gl-cor:mainAccountTypeDescription	 Main Account Type Description	XBRLGL_ Account. Main Account Type Description	Free format description of the account classification	string	XBRLGL	Account		Main Account Type Description		Text		
cor	RBIE	153	176	        gl-cor:parentAccountMainID		XBRLGL_ Account. Parent. XBRLGL_ Main Account	Roll up item from child natural account to parent natural account.	string	XBRLGL	Account		Parent			XBRLGL	Main Account
cor	BBIE	154	177	        gl-cor:accountPurposeCode	 Purpose Code	XBRLGL_ Account. Purpose Code	"Code related to usage for account aggregate - Consolidating, European, IFRS, Offsetting, Primary, Tax, USGAAP, Japanese, Other. Japanese companies will use this for the tax required offsetting entry. If left blank, assumes default accounting method for company."	token	XBRLGL	Account		Purpose Code		Code		
cor	BBIE	155	178	        gl-cor:accountPurposeDescription	 Purpose Description	XBRLGL_ Account. Purpose Description	Description of usage for aggregate account	string	XBRLGL	Account		Purpose Description		Text		
cor	BBIE	156	179	        gl-cor:accountType	 Type. Code	XBRLGL_ Account. Type. Code	"Type of account. Enumerated as: account, bank, employee, customer, job, vendor, measurable, statistical, other."	token	XBRLGL	Account		Type		Code		
cor	BBIE	157	180	        gl-cor:accountTypeDescription	 Type Description	XBRLGL_ Account. Type Description	Free format description of the account type	string	XBRLGL	Account		Type Description		Text		
bus	ASBIE	158	181	        gl-bus:entryAccountingMethod	 Entry Accounting Method	XBRLGL_ Account. Specified. token. XBRLGL_ Entry Accounting Method	"For this entry, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other"	token	XBRLGL	Account		Specified		token	XBRLGL	Entry Accounting Method
bus	ABIE	160	181	        gl-bus:entryAccountingMethod	 Entry Accounting Method	XBRLGL_ Entry Accounting Method. Details	"For this entry, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other"		XBRLGL	Entry Accounting Method						
bus	BBIE	161	182	        gl-bus:entryAccountingMethodDescription	 Description	XBRLGL_ Entry Accounting Method. Description	Free format description of the entry accounting method	string	XBRLGL	Entry Accounting Method		Description		Text		
bus	BBIE	162	183	        gl-bus:entryAccountingMethodPurpose	 Purpose. Code	XBRLGL_ Entry Accounting Method. Purpose. Code	"For this entry, the reporting purpose represented - from book, tax, management, statutory, other"	token	XBRLGL	Entry Accounting Method		Purpose		Code		
bus	BBIE	163	184	        gl-bus:entryAccountingMethodPurposeDescription	 Purpose Description	XBRLGL_ Entry Accounting Method. Purpose Description	Free format description of the entry accounting method purpose	string	XBRLGL	Entry Accounting Method		Purpose Description		Text		
cor	ASBIE	164	185	        gl-cor:accountSub	 Sub Account	XBRLGL_ Account. Specified. XBRLGL_ Sub Account	Tuple to hold multiple accountSubIDs and Descriptions		XBRLGL	Account		Specified			XBRLGL	Sub Account
cor	ABIE	165	185	        gl-cor:accountSub	 Sub Account	XBRLGL_ Sub Account. Details	Tuple to hold multiple accountSubIDs and Descriptions		XBRLGL	Sub Account						
cor	BBIE	166	186	          gl-cor:accountSubDescription	 Description	XBRLGL_ Sub Account. Description	The description that accompanies accountSubID belongs here.	string	XBRLGL	Sub Account		Description		Text		
cor	BBIE	167	187	          gl-cor:accountSubID	 ID	XBRLGL_ Sub Account. ID	"Where the primary account was placed in accountMainID, the code used for each profit center, division, business unit, fund, program, branch, project, class, su-class or other modifier is placed here."	Identifier	XBRLGL	Sub Account		Identification		Identifier		
cor	BBIE	168	188	          gl-cor:accountSubType	 Type. Code	XBRLGL_ Sub Account. Type. Code	"Type of sub-account - profit center, division, business unit, fund, program, branch, project, class, su-class or other modifier is placed here. For example: Accountability center: Business unit: Class:Department: Project: Fund: Program:Job: Profit center: Branch: Setup class: Division: Unit"	token	XBRLGL	Sub Account		Type		Code		
cor	ASBIE	169	189	          gl-cor:segmentParentTuple	 Segment Parent	XBRLGL_ Sub Account. Specified. XBRLGL_ Segment Parent	Tuple for showing the detail necessary to roll up from one segment type of subaccount to another.		XBRLGL	Sub Account		Specified			XBRLGL	Segment Parent
cor	ABIE	170	189	          gl-cor:segmentParentTuple	 Segment Parent	XBRLGL_ Segment Parent. Details	Tuple for showing the detail necessary to roll up from one segment type of subaccount to another.		XBRLGL	Segment Parent						
cor	RBIE	171	190	            gl-cor:parentSubaccountCode		XBRLGL_ Segment Parent. Parent. XBRLGL_ Sub Account	Subaccount NUMBER this subaccount rolls up to - see also subaccount type it rolls up to.		XBRLGL	Segment Parent		Parent			XBRLGL	Sub Account
cor	BBIE	172	191	            gl-cor:parentSubaccountType	 Type	XBRLGL_ Segment Parent. Type	The describer of the segment this subaccount rolls up to.	string	XBRLGL	Segment Parent		Type		Text		
cor	BBIE	173	192	            gl-cor:reportingTreeIdentifier	 Reporting Tree Identifier	XBRLGL_ Segment Parent. Reporting Tree Identifier	Used for representing descriptions of reporting trees.	string	XBRLGL	Segment Parent		Reporting Tree Identifier		Text		
cor	BBIE	174	193	            gl-cor:parentSubaccountProportion	 Proportion. Numeric	XBRLGL_ Segment Parent. Proportion. Numeric	"For partial allocations of amounts to different parents, the percentage of a child that will be allocated to a parent."	pure	XBRLGL	Segment Parent		Proportion		Numeric		
cor	BBIE	175	194	        gl-cor:accountActive	 Active. Indicator	XBRLGL_ Account. Active. Indicator	Boolean to indicate whether the account is active='true' or inactive='false'	boolean	XBRLGL	Account		Active		Indicator		
	ASBIE	176	195		 Monetary Amount	XBRLGL_ Entry Detail. Specified. XBRLGL_ Monetary Amount	"This field amount represents the primary monetary amount related to the subject of the entryDetail line. There is one primary monetary amount per entryDetail structure. It may, for example, represent the amount of one line of a journal entry, the balance on a document, or the extended amount of a line item on an invoice. Amount is not required if detailed entry is used for non-financial work and other elements are populated, in particular measurableQuantity. The amount field is a signed number either positive or negative itself and used in conjunction with a separate signOfAmount and a separate debitCreditCode, which together are considered for understanding the monetary amount. The unit of measure is determined by amountCurrency if present, and by the default or home currency if amountCurrency is not present."		XBRLGL	Entry Detail		Specified			XBRLGL	Monetary Amount
	ABIE	177	195		 Monetary Amount	XBRLGL_ Monetary Amount. Details	"This field amount represents the primary monetary amount related to the subject of the entryDetail line. There is one primary monetary amount per entryDetail structure. It may, for example, represent the amount of one line of a journal entry, the balance on a document, or the extended amount of a line item on an invoice. Amount is not required if detailed entry is used for non-financial work and other elements are populated, in particular measurableQuantity. The amount field is a signed number either positive or negative itself and used in conjunction with a separate signOfAmount and a separate debitCreditCode, which together are considered for understanding the monetary amount. The unit of measure is determined by amountCurrency if present, and by the default or home currency if amountCurrency is not present."		XBRLGL	Monetary Amount						
cor	BBIE	178	195	      gl-cor:amount	 Amount	XBRLGL_ Monetary Amount. Amount	"This field amount represents the primary monetary amount related to the subject of the entryDetail line. There is one primary monetary amount per entryDetail structure. It may, for example, represent the amount of one line of a journal entry, the balance on a document, or the extended amount of a line item on an invoice. Amount is not required if detailed entry is used for non-financial work and other elements are populated, in particular measurableQuantity. The amount field is a signed number either positive or negative itself and used in conjunction with a separate signOfAmount and a separate debitCreditCode, which together are considered for understanding the monetary amount. The unit of measure is determined by amountCurrency if present, and by the default or home currency if amountCurrency is not present."	monetary	XBRLGL	Monetary Amount		Amount		Amount		
	ASBIE	179	196		 Multi Currency	XBRLGL_ Monetary Amount. Specified. Codee. XBRLGL_ Multi Currency	"The currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding."	QName	XBRLGL	Monetary Amount		Specified		Codee	XBRLGL	Multi Currency
	ABIE	180	196		 Multi Currency	XBRLGL_ Multi Currency. Details	"The currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding."		XBRLGL	Multi Currency						
muc	BBIE	181	196	      gl-muc:amountCurrency	 Currency. Code	XBRLGL_ Multi Currency. Currency. Code	"The currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding."	QName	XBRLGL	Multi Currency		Currency		Code		
muc	BBIE	182	197	      gl-muc:amountOriginalAmount	 Amount Orignal_ Amount	XBRLGL_ Multi Currency. Amount Orignal_ Amount	"Amount in original as opposed to home currency, for multi-currency tracking. "	monetary	XBRLGL	Multi Currency	Amount Orignal	Amount		Amount		
muc	BBIE	183	198	      gl-muc:amountOriginalCurrency	 Amount Orignal_ Currency. Code	XBRLGL_ Multi Currency. Amount Orignal_ Currency. Code	"The currency used to track original, as opposed to home, amounts. Recommended ISO 4217 coding."	QName	XBRLGL	Multi Currency	Amount Orignal	Currency		Code		
muc	BBIE	184	199	      gl-muc:amountOriginalExchangeRate	 Amount Orignal_ Exchange Rate. Numeric	XBRLGL_ Multi Currency. Amount Orignal_ Exchange Rate. Numeric	Exchange rate at time of original transaction expressed as national currency divided by original currency	pure	XBRLGL	Multi Currency	Amount Orignal	Exchange Rate		Numeric		
muc	BBIE	185	200	      gl-muc:amountOriginalExchangeRateDate	 Amount Orignal_ Exchange Rate Date. Date Time	XBRLGL_ Multi Currency. Amount Orignal_ Exchange Rate Date. Date Time	Date of exchange rate used to record the original transaction.	dateTime	XBRLGL	Multi Currency	Amount Orignal	Exchange Rate Date		Date Time		
muc	BBIE	186	201	      gl-muc:amountOriginalExchangeRateSource	 Amount Orignal_ Exchange Rate Source	XBRLGL_ Multi Currency. Amount Orignal_ Exchange Rate Source	"Source of Exchange Rate - for example, Reuters, Bloomberg"	string	XBRLGL	Multi Currency	Amount Orignal	Exchange Rate Source		Text		
muc	BBIE	187	202	      gl-muc:amountOriginalExchangeRateComment	 Amount Orignal_ Exchange Rate Comment	XBRLGL_ Multi Currency. Amount Orignal_ Exchange Rate Comment	Comment about exchange rate used for recording original transaction.	string	XBRLGL	Multi Currency	Amount Orignal	Exchange Rate Comment		Text		
muc	BBIE	188	203	      gl-muc:amountOriginalTriangulationAmount	 Amount Triangulation_ Amount	XBRLGL_ Multi Currency. Amount Triangulation_ Amount	"If triangulation is used, amount in triangulation currency, for multi-currency tracking. Debit is entered as positive, credit as negative."	monetary	XBRLGL	Multi Currency	Amount Triangulation	Amount		Amount		
muc	BBIE	189	204	      gl-muc:amountOriginalTriangulationCurrency	 Amount Triangulation_ Currency. Code	XBRLGL_ Multi Currency. Amount Triangulation_ Currency. Code	"The currency used for triangulation, if used. May often be EUR or USD. Recommended ISO 4217 coding."	QName	XBRLGL	Multi Currency	Amount Triangulation	Currency		Code		
muc	BBIE	190	205	      gl-muc:amountOriginalTriangulationExchangeRate	 National Triangulation_ Exchange Rate. Numeric	XBRLGL_ Multi Currency. National Triangulation_ Exchange Rate. Numeric	Exchange rate between national currency and triangulation currency at time of original transaction expressed as national currency divided by triangulation currency	pure	XBRLGL	Multi Currency	National Triangulation	Exchange Rate		Numeric		
muc	BBIE	191	206	      gl-muc:amountOriginalTriangulationExchangeRateSource	 National Triangulation_ Source	XBRLGL_ Multi Currency. National Triangulation_ Source	"Source of Exchange Rate for triangulation amount at time of original transaction - for example, Reuters, Bloomberg"	string	XBRLGL	Multi Currency	National Triangulation	Source		Text		
muc	BBIE	192	207	      gl-muc:amountOriginalTriangulationExchangeRateType	 National Triangulation_ Type	XBRLGL_ Multi Currency. National Triangulation_ Type	"Type of Exchange Rate for triangulation amount at time of original transaction - for example, spot rate, forward contract etc."	string	XBRLGL	Multi Currency	National Triangulation	Type		Text		
muc	BBIE	193	208	      gl-muc:originalTriangulationExchangeRate	 Original Triangulation_ Exchange Rate. Numeric	XBRLGL_ Multi Currency. Original Triangulation_ Exchange Rate. Numeric	Exchange rate between original currency and triangulation currency at time of original transaction expressed as original currency divided by triangulation currency	pure	XBRLGL	Multi Currency	Original Triangulation	Exchange Rate		Numeric		
muc	BBIE	194	209	      gl-muc:originalExchangeRateTriangulationSource	 Original Triangulation_ Source	XBRLGL_ Multi Currency. Original Triangulation_ Source	"Source of Exchange Rate for triangulation from original currency to triangulation currency at time of original transaction - for example, Reuters, Bloomberg"	string	XBRLGL	Multi Currency	Original Triangulation	Source		Text		
muc	BBIE	195	210	      gl-muc:originalExchangeRateTriangulationType	 Original Triangulation_ Type	XBRLGL_ Multi Currency. Original Triangulation_ Type	"Type of Exchange Rate for triangulation from original currency to triangulation currency at time of original transaction - for example, spot rate, forward contract etc."	string	XBRLGL	Multi Currency	Original Triangulation	Type		Text		
cor	BBIE	196	211	      gl-cor:signOfAmount	 Sign Of Amount. Code	XBRLGL_ Entry Detail. Sign Of Amount. Code	Sign of amount; provides 4 possible fields only when used in conjunction with debitCreditCode; primarily used for correcting entries so total debits and credits after an entry error are not inflated. D + increase DebitsD - decrease debitsC + decreases creditC - increases credit	token	XBRLGL	Entry Detail		Sign Of Amount		Code		
cor	BBIE	197	212	      gl-cor:debitCreditCode	 Debit Credit Code	XBRLGL_ Entry Detail. Debit Credit Code	"Optional identifier of whether the amount is a Debit, a Credit or Undefined"	token	XBRLGL	Entry Detail		Debit Credit Code		Code		
cor	BBIE	198	213	      gl-cor:postingDate	 Posting Date. Date Time	XBRLGL_ Entry Detail. Posting Date. Date Time	"At the detail level, this represents the accounting significance date. No matter what date the document is received, entered, or posted, this signifies the accounting date of the entry. If you want to see the financial results for March 5, 2002 and this entry is given that date, the entry will be part of the results for March 5, 2002. This is different from the postedDate found at the entryHeader level. If you want the accounting significance to be a particular date, it goes here. A single entry could represent multiple dates, but would only be posted on one date."	dateTime	XBRLGL	Entry Detail		Posting Date		Date Time		
bus	BBIE	199	214	      gl-bus:amountMemo	 Amount Memo	XBRLGL_ Entry Detail. Amount Memo	A boolean like entry that indicates whether an entryDetail line has been provided solely to provide additional details and that tools should not consider the amount in postings.	boolean	XBRLGL	Entry Detail		Amount Memo		Text		
bus	BBIE	200	215	      gl-bus:allocationCode	 Allocation Code	XBRLGL_ Entry Detail. Allocation Code	A code that is tied to the Enterprise&apos;s allocation system.	string	XBRLGL	Entry Detail		Allocation Code		Code		
muc	ASBIE	201	216	      gl-muc:multicurrencyDetail	 Multi Currency Detail	XBRLGL_ Multi Currency. Specified. XBRLGL_ Multi Currency Detail	Section to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This structure allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This structure may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.		XBRLGL	Multi Currency		Specified			XBRLGL	Multi Currency Detail
muc	ABIE	202	216	      gl-muc:multicurrencyDetail	 Multi Currency Detail	XBRLGL_ Multi Currency Detail. Details	Section to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This structure allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This structure may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.		XBRLGL	Multi Currency Detail						
muc	BBIE	203	217	        gl-muc:multicurrencyDetailExchangeRateDate	 Exchange Rate Date. Date Time	XBRLGL_ Multi Currency Detail. Exchange Rate Date. Date Time	Date of exchange rate other than original transaction date on which amount is expressed as amountRestatedAmount or amountTriangulationAmount	dateTime	XBRLGL	Multi Currency Detail		Exchange Rate Date		Date Time		
muc	BBIE	204	218	        gl-muc:amountRestatedAmount	 Amount Restated_ Amount	XBRLGL_ Multi Currency Detail. Amount Restated_ Amount	The amount in the foreign currency identified by amountRestatedCurrency as of multicurrencyDetailExchangeRateDate.	monetary	XBRLGL	Multi Currency Detail	Amount Restated	Amount		Amount		
muc	BBIE	205	219	        gl-muc:amountRestatedCurrency	 Amount Restated_ Currency. Code	XBRLGL_ Multi Currency Detail. Amount Restated_ Currency. Code	The currency in which amountRestatedAmount is expressed. Recommended ISO 4217 coding.	QName	XBRLGL	Multi Currency Detail	Amount Restated	Currency		Code		
muc	BBIE	206	220	        gl-muc:amountRestatedExchangeRate	 Amount Restated_ Exchange Rate. Numeric	XBRLGL_ Multi Currency Detail. Amount Restated_ Exchange Rate. Numeric	Exchange rate used to convert amountRestatedAmount as of multicurrencyDetailExchangeRateDate expressed as national currency divided by foreign currency	pure	XBRLGL	Multi Currency Detail	Amount Restated	Exchange Rate		Numeric		
muc	BBIE	207	221	        gl-muc:amountRestatedExchangeRateSource	 Amount Restated_ Exchange Rate Source	XBRLGL_ Multi Currency Detail. Amount Restated_ Exchange Rate Source	"Source of Exchange Rate for restated amount - for example, Reuters, Bloomberg"	string	XBRLGL	Multi Currency Detail	Amount Restated	Exchange Rate Source		Text		
muc	BBIE	208	222	        gl-muc:amountRestatedExchangeRateType	 Amount Restated_ Exchange Rate Type	XBRLGL_ Multi Currency Detail. Amount Restated_ Exchange Rate Type	"Type of Exchange Rate for restated amount - for example, spot rate, forward contract etc."	string	XBRLGL	Multi Currency Detail	Amount Restated	Exchange Rate Type		Text		
muc	BBIE	209	223	        gl-muc:amountTriangulationAmount	 Amount Triangulation_ Amount	XBRLGL_ Multi Currency Detail. Amount Triangulation_ Amount	The amount in the triangulation currency identified by amountTriangulationCurrency as of multicurrencyDetailExchangeRateDate.	monetary	XBRLGL	Multi Currency Detail	Amount Triangulation	Amount		Amount		
muc	BBIE	210	224	        gl-muc:amountTriangulationCurrency	 Amount Triangulation_ Currency. Code	XBRLGL_ Multi Currency Detail. Amount Triangulation_ Currency. Code	The currency used for tringulation between amountRestatedCurrency and the home currency. Recommended ISO 4217 coding.	QName	XBRLGL	Multi Currency Detail	Amount Triangulation	Currency		Code		
muc	BBIE	211	225	        gl-muc:amountTriangulationExchangeRate	 Amount Triangulation_ Exchange Rate. Numeric	XBRLGL_ Multi Currency Detail. Amount Triangulation_ Exchange Rate. Numeric	Exchange rate used to convert amountTriangulationAmount as of multicurrencyDetailExchangeRateDate expressed as national currency divided by triangulation currency	pure	XBRLGL	Multi Currency Detail	Amount Triangulation	Exchange Rate		Numeric		
muc	BBIE	212	226	        gl-muc:amountTriangulationExchangeRateSource	 Amount Triangulation_ Exchange Rate Source	XBRLGL_ Multi Currency Detail. Amount Triangulation_ Exchange Rate Source	"Source of Exchange Rate for triangulation amount - for example, Reuters, Bloomberg"	string	XBRLGL	Multi Currency Detail	Amount Triangulation	Exchange Rate Source		Text		
muc	BBIE	213	227	        gl-muc:amountTriangulationExchangeRateType	 Amount Triangulation_ Exchange Rate Type	XBRLGL_ Multi Currency Detail. Amount Triangulation_ Exchange Rate Type	"Type of Exchange Rate for triangulation amount - for example, spot rate, forward contract etc."	string	XBRLGL	Multi Currency Detail	Amount Triangulation	Exchange Rate Type		Text		
