ENTITY_NAME	ATTRIBUTE_NAME	DOMAIN_NAME	#	Module	A/B/ID/RL/AS	CC/BIE	Business Term	Dictionary Entry Name	Object Class Term Qualifier	Object Class Term	Property Term Qualifier	Property Term	Datatype Qualifiry	Representation Term	Associate Object Class Term Qualifier	Associate Object Class Term	Relation Object Class Term Qualifier	Relation Object Class Term	DESCRIPTION	Card.
BAS BUSINESS SEGMENT	SEGMENT REFERENCE LEVEL	BUSINESS SEGMENT REFERENCE LEVEL	618	4.Base	B	BIE	Segment Reference Level	Business Segment_ List. Segment Reference Level. Code	Business Segment 	List		Segment Reference Level		Code					The relative level of the segment with 1 being the consolidated level and numbers increasing through lower levels of the organizational chart.	0..1
BAS BUSINESS SEGMENT	ORGANIZATION TYPE NAME	NAME 60	619	4.Base	B	BIE	Type Name	Business Segment_ List. Type Name. Name	Business Segment 	List		Type Name		Name					"Indicate the name of the organization type, for example 'Department' and 'Cost Center'."	0..1
BAS BUSINESS SEGMENT HIERARCHY	RELATIONSHIP		620	4.Base	A	BIE	Business Segment Hierarchy	Business Segment Hierarchy_ List. Detail. 	Business Segment Hierarchy	List		Detail							"The fields in the Business Segment Hierarchy are used to capture the relationships between the individual organization units. The table assumes a one to one relationship and captures the data necessary to consolidate transactions occurring for child level organizational units into higher level organizational structures (for example, business unit to division)."	
BAS BUSINESS SEGMENT HIERARCHY	PARENT CODE	IDENTIFIER 25	621	4.Base	RL	BIE	Parent Code	Business Segment Hierarchy_ List. Parent. Business Segment_ List	Business Segment Hierarchy	List		Parent					Business Segment	List	The code of the parent business segment. 	1..1
BAS BUSINESS SEGMENT HIERARCHY	CHILD CODE	IDENTIFIER 25	622	4.Base	RL	BIE	Child Code	Business Segment Hierarchy_ List. Child. Business Segment_ List	Business Segment Hierarchy	List		Child					Business Segment	List	The code of the child business segment. 	1..1
BAS EMPLOYEE	EMPLOYEE		623	4.Base	A	BIE	Employee	Employee_ Person. Detail. 	Employee 	Person		Detail							Contains the personnel information of the employee in an independent accounting unit.	
BAS EMPLOYEE	EMPLOYEE ID	IDENTIFIER 60	624	4.Base	ID	BIE	Employee ID	Employee_ Person. ID	Employee 	Person		Identification		Identifier					The unique identifier for an employee.	1..1
BAS EMPLOYEE	EMPLOYEE CODE	TEXT 60	625	4.Base	B	BIE	Employee Code	Employee_ Person. Code. Code	Employee 	Person		Code		Code					"The code of the employee. Each employee has only one code. If someone does part-time jobs in multiple departments, there will be more than one record with different Employee ID in this table. And the part time status will be reflected in Employee Type Code."	1..1
BAS EMPLOYEE	EMPLOYEE NAME	NAME 100	626	4.Base	B	BIE	Employee Name	Employee_ Person. Name. Name	Employee 	Person		Name		Name					The name of the employee.	1..1
BAS EMPLOYEE	INACTIVE FLAG	BOOLEAN	627	4.Base	B	BIE	Inactive Flag	Employee_ Person. Inactive Flag. Indicator	Employee 	Person		Inactive Flag		Indicator					Indicate whether one employee is active or inactive. One employee may become inactive due to some reasons such as sabbatical.	0..1
BAS EMPLOYEE	EMPLOYEE TYPE CODE	TEXT 60	628	4.Base	B	BIE	Employee Type Code	Employee_ Person. Type Code. Code	Employee 	Person		Type Code		Code					"The code of the employee types. For example, using 004 to represent an on-the job employee, 005 to represent a retired employee, 006 to represent a deceased employee, 007 to represent a part time employee."	1..1
BAS EMPLOYEE	EMPLOYEE TYPE NAME	TEXT 60	629	4.Base	B	BIE	Type Name	Employee_ Person. Type Name. Name	Employee 	Person		Type Name		Name					"The name of the employee type. For example, employed, retired, probation and part-time."	1..1
BAS EMPLOYEE	DEPARTMENT CODE	IDENTIFIER 25	630	4.Base	RL	BIE	Department Code	Employee_ Person. Department Code. Business Segment_ List	Employee 	Person		Department Code					Business Segment	List	"The code of department rosters. For example, the IT department is designated as code 0018. The code shall match the Business Segment code in the BAS Business Segment."	1..1
BAS EMPLOYEE	EMPLOYEE JOB TITLE	TEXT 60	631	4.Base	B	BIE	Employee Job Title	Employee_ Person. Job Title. Identifier	Employee 	Person		Job Title		Identifier					"The job title of the person in an accounting unit. For example, accounting manager."	0..1
BAS EMPLOYEE	EMPLOYEE ACADEMIC DEGREE	TEXT 60	632	4.Base	B	BIE	Employee Academic Degree	Employee_ Person. Academic Degree. Identifier	Employee 	Person		Academic Degree		Identifier					"The highest academic degree acquired; for example Doctor, Master."	0..1
BAS EMPLOYEE	EMPLOYMENT DATE	DATE	633	4.Base	B	BIE	Employment Date	Employee_ Person. Employment Date. Date	Employee 	Person		Employment Date		Date					The employment date of the employee.	0..1
BAS EMPLOYEE	TERMINATION DATE	DATE	634	4.Base	B	BIE	Termination Date	Employee_ Person. Termination Date. Date	Employee 	Person		Termination Date		Date					"The termination date of the employee from which the labor contract was no longer valid, or the employee no longer works in this department."	0..1
BAS EMPLOYEE	USER ID	IDENTIFIER 25	635	4.Base	RL	BIE	User ID	Employee_ Person. Recorded. System User_ Person	Employee 	Person		Recorded					System User	Person	The system user ID associated with the employee. 	0..1
BAS USER	USER		636	4.Base	A	BIE	User	System User_ Person. Detail. 	System User	Person		Detail							Contains the user information of accounting and/or ERP system.	
BAS USER	USER ID	IDENTIFIER 25	637	4.Base	ID	BIE	User ID	System User_ Person. ID	System User	Person		Identification		Identifier					The unique identifier for the individuals entering transactions into the accounting and/or ERP system.	1..1
BAS USER	USER ACTIVE STATUS	BOOLEAN	638	4.Base	B	BIE	User Active Status	System User_ Person. Active Flag. Indicator	System User	Person		Active Flag		Indicator					"Indicates whether the status of the user is active or inactive. A user may become inactive due to retirement, dismissal or termination etc. For example, 1 is active and 0 is inactive."	0..1
BAS USER	USER STATUS MODIFIED DATE	DATE	639	4.Base	B	BIE	User Status Modified Date	System User_ Person. User Status Modified. Date	System User	Person		User Status Modified		Date					The modified date of the user's activation or termination status.	0..1
BAS USER	USER NAME	NAME 100	640	4.Base	B	BIE	User Name	System User_ Person. User Name. Name	System User	Person		User Name		Name					The name of the user.	1..1
BAS USER	USER JOB TITLE	TEXT 100	641	4.Base	B	BIE	User Job Title	System User_ Person. User Job Title. Text	System User	Person		User Job Title		Text					"The job title of the person in the system; for example, system manager."	0..1
BAS USER	DEPARTMENT CODE	IDENTIFIER 25	642	4.Base	RL	BIE	Department Code	System User_ Person. Department. Business Segment_ List	System User	Person		Department					Business Segment	List	"The code of department rosters of the use. For example, the department name is IT department and the code is 0018. "	0..1
BAS USER	USER ROLE RESPONSIBILITY	TEXT 100	643	4.Base	B	BIE	User Role Responsibility	System User_ Person. User Role Responsibility. Text	System User	Person		User Role Responsibility		Text					"Free form description of the individual's functional role or primary responsibility. For example, responsibility related to managing the information of accounts payable in the system."	0..1
BAS CUSTOMER TYPE	CUSTOMER TYPE		644	4.Base	A	BIE	Customer Type	Customer Type_ List. Detail. 	Customer Type 	List		Detail							Contains detailed descriptions of the customer type.	
BAS CUSTOMER TYPE	CUSTOMER TYPE ID	IDENTIFIER 60	645	4.Base	ID	BIE	Customer Type ID	Customer Type_ List. ID	Customer Type 	List		Identification		Identifier					The unique identifier for the customer type.	1..1
BAS CUSTOMER TYPE	CUSTOMER TYPE CODE	CUSTOMER TYPE CODE	646	4.Base	B	BIE	Code	Customer Type_ List. Code. Code	Customer Type 	List		Code		Code					"The code of the customer type; for example, using 004 to represent a Platinum customer, 005 to represent a Gold customer and 006 to represent a Silver customer."	1..1
BAS CUSTOMER TYPE	CUSTOMER TYPE NAME	NAME 80	647	4.Base	B	BIE	Name	Customer Type_ List. Name. Name	Customer Type 	List		Name		Name					"The name of the type categorized by the customer attributes; for example, platinum customer, gold customer and silver customer."	1..1
BAS CUSTOMER TYPE	PARENT CUSTOMER TYPE ID	IDENTIFIER 60	648	4.Base	RL	BIE	Parent Customer Type ID	Customer Type_ List. Parent. Customer Type_ List	Customer Type 	List		Parent					Customer Type	List	The reference identifier for the parent customer type. 	0..1
BAS CUSTOMER	CUSTOMER		649	4.Base	A	BIE	Customer	Customer_ Party. Detail. 	Customer 	Party		Detail							Contains essential and generic information of the customers.	
BAS CUSTOMER	CUSTOMER ACCOUNT ID	IDENTIFIER 100	650	4.Base	ID	BIE	Account ID	Customer_ Party. ID	Customer 	Party		Identification		Identifier					The unique identifier for the customer.	1..1
BAS CUSTOMER	CUSTOMER ACCOUNT NUMBER	IDENTIFIER 100	651	4.Base	B	BIE	Account Number	Customer_ Party. Account. Identifier	Customer 	Party		Account		Identifier					The number of the customer. This number is either generated by manual input or generated by the system.	1..1
BAS CUSTOMER	CUSTOMER ACCOUNT NAME	NAME 200	652	4.Base	B	BIE	Account Name	Customer_ Party. Name. Name	Customer 	Party		Name		Name					The name of the customer.	1..1
BAS CUSTOMER	CUSTOMER ABBREVIATION	NAME 100	653	4.Base	B	BIE	Abbreviation	Customer_ Party. Abbreviation. Identifier	Customer 	Party		Abbreviation		Identifier					The abbreviation of the customer's name.	0..1
BAS CUSTOMER	PARENT CUSTOMER ID	IDENTIFIER 100	654	4.Base	RL	BIE	Parent ID	Customer_ Party. Parent. Customer_ List	Customer 	Party		Parent					Customer	List	The reference identifier for the parent customer. 	0..1
BAS CUSTOMER	CORRESPONDING SUPPLIER ID	IDENTIFIER 100	655	4.Base	RL	BIE	Corresponding Supplier ID	Customer_ Party. Corresponding. Supplier_ Party	Customer 	Party		Corresponding					Supplier	Party	The reference identifier for the corresponding supplier in case that the customer is also a supplier.  Otherwise not exist.	0..1
BAS CUSTOMER	CUSTOMER TYPE ID	IDENTIFIER 60	656	4.Base	RL	BIE	Customer Type ID	Customer_ Party. Recorded. Customer Type_ List	Customer 	Party		Recorded					Customer Type	List	The unique identifier for the customer type. Typically auto generated by the system. 	0..1
BAS CUSTOMER	CUSTOMER TIN	TAX IDENTIFICATION NUMBER	657	4.Base	B	BIE	TIN	Customer_ Party. TIN. Identifier	Customer 	Party		TIN		Identifier					The customer's tax identification number. This number is usually generated by tax regulator.	1..1
BAS CUSTOMER	PHYSICAL ADDRESS	has	658	4.Base	AS	BIE	Physical Address	Customer_ Party. Recorded. Physical_ Address	Customer	Party		Recorded			Physical	Address			A physical address of this entry	1..1
BAS CUSTOMER	BILLING ADDRESS	has	659	4.Base	AS	BIE	Billing Address	Customer_ Party. Recorded. Billing_ Address	Customer	Party		Recorded			Billing	Address			A billing address of this entry	1..1
BAS CUSTOMER	PRIMARY CONTACT	has	660	4.Base	AS	BIE	Primary Contact	Customer_ Party. Recorded. Primary_ Contact	Customer	Party		Recorded			Primary	Contact			A primary contact of this entry	1..1
BAS CUSTOMER	INACTIVE DATE	DATE	661	4.Base	B	BIE	Inactive Date	Customer_ Party. Inactive. Date	Customer 	Party		Inactive		Date					"The date that the customer was declared inactive. For example a customer may become inactive due to exceeding credit limit, legal restrictions, contract termination or bankruptcy etc."	0..1
BAS CUSTOMER	TRANSACTION CREDIT LIMIT	AMOUNT	662	4.Base	B	BIE	Transaction Credit Limit	Customer_ Party. Transaction Credit Limit. Transaction_ Amount	Customer 	Party		Transaction Credit Limit	Transaction	Amount					The per invoice credit limit established for this customer.	0..1
BAS CUSTOMER	TOTAL CREDIT LIMIT	AMOUNT	663	4.Base	B	BIE	Total Credit Limit	Customer_ Party. Total Credit Limit. Amount	Customer 	Party		Total Credit Limit		Amount					The credit limit for this customer's total outstanding balance.	0..1
BAS CUSTOMER	TERMS DISCOUNT PERCENTAGE	PERCENTAGE	664	4.Base	B	BIE	Terms Discount Percentage	Customer_ Party. Terms Discount. Percentage	Customer 	Party		Terms Discount		Percentage					"The discount percentage the customer can take if an invoice is paid before a certain number of days. In the flat file, terms are represented as integers to decimal place; for example, 10% would be represented as 0.10."	0..1
BAS CUSTOMER	TERMS DISCOUNT DAYS	NUMBER 6	665	4.Base	B	BIE	Terms Discount Days	Customer_ Party. Terms Discount Days. Numeric	Customer 	Party		Terms Discount Days		Numeric					"The number of days from the invoice date the customer has to take advantage of discounted terms. Terms are represented as integers with no decimal places; for example, 10 days would be represented as 10."	0..1
BAS CUSTOMER	TERMS DUE DAYS	NUMBER 6	666	4.Base	B	BIE	Terms Due Days	Customer_ Party. Terms Due Days. Numeric	Customer 	Party		Terms Due Days		Numeric					The default number of days allowed to meet the obligation before an invoice becomes overdue.	0..1
BAS CUSTOMER	CREATED	was	667	4.Base	AS	BIE	Created	Customer_ Party. was. Created_ Handling	Customer	Party		was			Created	Handling			A create handling of this entry	0..1
BAS CUSTOMER	APPROVED	was	668	4.Base	AS	BIE	Approved	Customer_ Party. was. Approved_ Handling	Customer	Party		was			Approved	Handling			An approved handling of this entry	0..1
BAS CUSTOMER	LAST MODIFIED	was	669	4.Base	AS	BIE	Last Modified	Customer_ Party. was. Last Modified_ Handling	Customer	Party		was			Last Modified	Handling			A last modified handling of this entry	0..1
BAS SUPPLIER TYPE	SUPPLIER TYPE		670	4.Base	A	BIE	Supplier Type	Supplier Type_ List. Detail. 	Supplier Type 	List		Detail							Contains detailed descriptions of the supplier type.	
BAS SUPPLIER TYPE	SUPPLIER TYPE ID	IDENTIFIER 60	671	4.Base	ID	BIE	Supplier Type ID	Supplier Type_ List. ID	Supplier Type 	List		Identification		Identifier					The unique identifier for the supplier type.	1..1
BAS SUPPLIER TYPE	SUPPLIER TYPE CODE	SUPPLIER TYPE CODE	672	4.Base	B	BIE	Code	Supplier Type_ List. Supplier Type Code. Identifier	Supplier Type 	List		Supplier Type Code		Identifier					"The code of the supplier type; for example, using 004 to represent preferred suppliers, 005 to represent key suppliers, 006 to represent common suppliers."	1..1
BAS SUPPLIER TYPE	SUPPLIER TYPE NAME	NAME 80	673	4.Base	B	BIE	Name	Supplier Type_ List. Supplier Type Name. Name	Supplier Type 	List		Supplier Type Name		Name					"The name of the type categorized by the supplier attributes; for example, preferred supplier, key supplier and common supplier."	1..1
BAS SUPPLIER TYPE	PARENT SUPPLIER TYPE ID	IDENTIFIER 60	674	4.Base	RL	BIE	Parent Supplier Type ID	Supplier Type_ List. Parent. Supplier Type_ List	Supplier Type 	List		Parent					Supplier Type 	List	The reference identifier for the parent supplier type. 	0..1
BAS SUPPLIER	SUPPLIER		675	4.Base	A	BIE	Supplier	Supplier_ Party. Detail. 	Supplier 	Party		Detail							Contains essential and generic information of the suppliers.	
BAS SUPPLIER	SUPPLIER ACCOUNT ID	IDENTIFIER 100	676	4.Base	ID	BIE	Account ID	Supplier_ Party. ID	Supplier 	Party		Identification		Identifier					The unique identifier for the supplier to whom payment is due or from whom unused credits have been applied.Typically auto-generated by the system.	1..1
BAS SUPPLIER	SUPPLIER ACCOUNT NUMBER	IDENTIFIER 100	677	4.Base	B	BIE	Account Number	Supplier_ Party. Account Number. Identifier	Supplier 	Party		Account Number		Identifier					The number of the supplier to whom payment is due or from whom unused credits have been applied. The number is usually generated by manual input or generated by the system.	1..1
BAS SUPPLIER	SUPPLIER ACCOUNT NAME	NAME 200	678	4.Base	B	BIE	Account Name	Supplier_ Party. Account Name. Name	Supplier 	Party		Account Name		Name					The name of the supplier.	1..1
BAS SUPPLIER	SUPPLIER ABBREVIATION	NAME 100	679	4.Base	B	BIE	Abbreviation	Supplier_ Party. Abbreviation. Text	Supplier 	Party		Abbreviation		Text					The abbreviation form of the supplier's name.	0..1
BAS SUPPLIER	PARENT SUPPLIER ID	IDENTIFIER 100	680	4.Base	RL	BIE	Parent Supplier ID	Supplier_ Party. Parent. Supplier_ Party	Supplier 	Party		Parent					Supplier	Party	The reference identifier of the parent supplier. 	0..1
BAS SUPPLIER	CORRESPONDING CUSTOMER ID	IDENTIFIER 100	681	4.Base	RL	BIE	Corresponding Customer ID	Supplier_ Party. Corresponding. Corresponding_ Customer	Supplier 	Party		Corresponding					Corresponding	Customer	The reference identifier for the corresponding customer in case that the supplier is also a customer.  Otherwise not exist.	0..1
BAS SUPPLIER	SUPPLIER TYPE ID	IDENTIFIER 60	682	4.Base	RL	BIE	Supplier Type ID	Supplier_ Party. Recorded. Supplier Type_ List	Supplier 	Party		Recorded					Supplier Type	List	The reference identifier for the supplier type. 	0..1
BAS SUPPLIER	SUPPLIER TIN	TAX IDENTIFICATION NUMBER	683	4.Base	B	BIE	Supplier TIN	Supplier_ Party. TIN. Identifier	Supplier 	Party		TIN		Identifier					The supplier's tax identification number. The number is usually generated by the tax regulator.	1..1
BAS SUPPLIER	BILLING ADDRESS	has	684	4.Base	AS	BIE	Physical Address	Supplier_ Party. has. Physical_ Address	Supplier 	Party		has			Physical	Address			A physical address of this entry	1..1
BAS SUPPLIER	PHYSICAL ADDRESS	has	685	4.Base	AS	BIE	Billing Address	Supplier_ Party. has. Billing_ Address	Supplier 	Party		has			Billing	Address			A billing address of this entry	1..1
BAS SUPPLIER	PRIMARY CONTACT	has	686	4.Base	AS	BIE	Primary contact	Supplier_ Party. has. Primary_ Contact	Supplier 	Party		has			Primary	Contact			A primary contact of this entry	1..1
BAS SUPPLIER	SUPPLIER GROUP	TEXT 100	687	4.Base	B	BIE	Supplier Group	Supplier_ Party. Group. Text	Supplier 	Party		Group		Text					For supplier group assignments when the organization segments the suppliers.	0..1
BAS SUPPLIER	INACTIVE DATE	DATE	688	4.Base	B	BIE	Inactive Date	Supplier_ Party. Inactive. Date	Supplier 	Party		Inactive		Date					"The date the supplier was declared inactive. For example a supplier may become inactive due to exceeding credit limit, legal restrictions, contract termination or bankruptcy etc."	0..1
BAS SUPPLIER	TRANSACTION CREDIT LIMIT	AMOUNT	689	4.Base	B	BIE	Transaction Credit Limit	Supplier_ Party. Transaction Credit Limit. Transaction_ Amount	Supplier 	Party		Transaction Credit Limit	Transaction	Amount					The per invoice credit limit established for this supplier.	0..1
BAS SUPPLIER	TOTAL CREDIT LIMIT	AMOUNT	690	4.Base	B	BIE	Total Credit Limit	Supplier_ Party. Total Credit Limit. Amount	Supplier 	Party		Total Credit Limit		Amount					The credit limit for the total outstanding balance approved for the supplier.	0..1
BAS SUPPLIER	TERMS DISCOUNT PERCENTAGE	PERCENTAGE	691	4.Base	B	BIE	Terms Discount Percentage	Supplier_ Party. Terms Discount Percentage. Percentage	Supplier 	Party		Terms Discount Percentage		Percentage					"The discount percentage the supplier can provide if an invoice is paid before a certain number of days. In the flat file, terms are represented as integers to decimal place; for example, 10% would be represented as 0.10."	0..1
BAS SUPPLIER	TERMS DISCOUNT DAYS	NUMBER 6	692	4.Base	B	BIE	Terms Discount Days	Supplier_ Party. Terms Discount Days. Numeric	Supplier 	Party		Terms Discount Days		Numeric					"The number of days from the invoice date the customer has to take advantage of discounted terms. Terms are represented as integers with no decimal places; for example, 10 would represent 10 days."	0..1
BAS SUPPLIER	TERMS DUE DAYS	NUMBER 6	693	4.Base	B	BIE	Terms Due Days	Supplier_ Party. Terms Due Days. Numeric	Supplier 	Party		Terms Due Days		Numeric					The number of days allowed to meet the obligation before an invoice becomes overdue.	0..1
BAS SUPPLIER	APPROVED	was	694	4.Base	AS	BIE	Created	Supplier_ Party. was. Created_ Handling	Supplier 	Party		was			Created	Handling			An approved handling of this entry	0..1
BAS SUPPLIER	CREATED	was	695	4.Base	AS	BIE	Approved	Supplier_ Party. was. Approved_ Handling	Supplier 	Party		was			Approved	Handling			A create handling of this entry	0..1
BAS SUPPLIER	LAST MODIFIED	was	696	4.Base	AS	BIE	Last Modified	Supplier_ Party. was. Last Modified_ Handling	Supplier 	Party		was			Last Modified	Handling			A last modified handling of this entry	0..1
BAS CHART OF ACCOUNTS	CHART OF LEDGER ACCOUNTS		697	4.Base	A	BIE	Chart of Accounts	Chart Of Accounts_ Accounting Account. Detail. 	Chart Of Accounts	Accounting Account		Detail							"Contains the information about GL accounts, including name, description, type and hierarchy. This table is level 1. When it is cross-referred by other table(s), consistency shall apply. For example, in this table, the value of GL Account Number is 101, the value of GL Account Name is cash, and the value of Balance Debit Or Credit is D, if the value of GL Account Number in GL Tial Balance table is 101, then the Amount corresponding with cash account (101) must be debit."	
BAS CHART OF ACCOUNTS	GL_ACCOUNT_NUMBER	GL ACCOUNT NUMBER 100	698	4.Base	ID	BIE	GL Account Number	Chart Of Accounts_ Accounting Account. ID	Chart Of Accounts	Accounting Account		Identification		Identifier					The GL account number.	1..1
BAS CHART OF ACCOUNTS	GL ACCOUNT NAME	TEXT 100	699	4.Base	B	BIE	GL Account Name	Chart Of Accounts_ Accounting Account. GL Account Name. Name	Chart Of Accounts	Accounting Account		GL Account Name		Name					The name for the GL account.	1..1
BAS CHART OF ACCOUNTS	GL ACCOUNT DESCRIPTION	TEXT 1000	700	4.Base	B	BIE	GL Account Description	Chart Of Accounts_ Accounting Account. GL Account Description. Text	Chart Of Accounts	Accounting Account		GL Account Description		Text					The label or description associated with the GL Account Number.	0..1
BAS CHART OF ACCOUNTS	FS CAPTION	TEXT 100	701	4.Base	B	BIE	Financial Statement Caption	Chart Of Accounts_ Accounting Account. Financial Statement Caption. Text	Chart Of Accounts	Accounting Account		Financial Statement Caption		Text					"The financial statement caption represents a related group of accounts; for example, cash and cash equivalents, accounts payable and cost of sales. The caption can be at the trial balance level."	1..1
BAS CHART OF ACCOUNTS	ACCOUNT TYPE	ACCOUNT TYPE	702	4.Base	B	BIE	Account Type	Chart Of Accounts_ Accounting Account. Account Type. Code	Chart Of Accounts	Accounting Account		Account Type		Code					"The type of account; for example, assets, liabilities, equity, revenues and expenses."	1..1
BAS CHART OF ACCOUNTS	ACCOUNT SUBTYPE	ACCOUNT TYPE	703	4.Base	B	BIE	Account Subtype	Chart Of Accounts_ Accounting Account. Account Subtype. Code	Chart Of Accounts	Accounting Account		Account Subtype		Code					"The subtype of the account; for example, current assets are the subtype of assets."	1..1
BAS CHART OF ACCOUNTS	ACCOUNT HIERARCHY	ACCOUNT HIERARCHY	704	4.Base	B	BIE	Account Hierarchy	Chart Of Accounts_ Accounting Account. Account Hierarchy. Code	Chart Of Accounts	Accounting Account		Account Hierarchy		Code					"The corresponding level for account number in the account hierarchy; for example, using 1 to represent assets, and 2 to represent the account subtype current assets."	0..1
BAS CHART OF ACCOUNTS	BALANCE DEBIT OR CREDIT CODE	CREDIT DEBIT CODE	705	4.Base	B	BIE	Balance Debit Or Credit Code	Chart Of Accounts_ Accounting Account. Balance Credit Debit Indicator. Code	Chart Of Accounts	Accounting Account		Balance  Credit Debit Indicator		Code					"This field is used to indicate whether the natural balance of the account is a debit or credit balance by indicating 'D' or 'C', where assets and expenses have a natural balance of debit, and liabilities, equity and revenues have a natural balance of credit."	0..1
BAS CHART OF ACCOUNTS	ACTIVE FLAG CODE	BOOLEAN	706	4.Base	B	BIE	Active Flag Code	Chart Of Accounts_ Accounting Account. Active Flag. indicator	Chart Of Accounts	Accounting Account		Active Flag		indicator					"This indicates whether the GL account is active or inactive; for example, 1 is active and 0 is inactive."	0..1
BAS CHART OF ACCOUNTS	PARENT GL ACCOUNT NUMBER	GL ACCOUNT NUMBER 100	707	4.Base	RL	BIE	Parent GL Account Number	Chart Of Accounts_ Accounting Account. Parent. Chart Of Accounts_ Accounting Account	Chart Of Accounts	Accounting Account		Parent					Chart Of Accounts	Accounting Account	"The number of the parent account in an account hierarchy. This is provided to allow more than the predefined levels of the hierarchy in the chart of accounts table.When Parent is the highest level, its value not exist. "	0..1
BAS CHART OF ACCOUNTS	BUSINESS SEGMENT X	TEXT 25	708	4.Base	RL	BIE	Business Segment X	Chart Of Accounts_ Accounting Account. X. Business Segment_ List	Chart Of Accounts	Accounting Account		X					Business Segment	List	"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each reference reference level. For example, division, department, business unit, purchasing organization, project or legal entity."	1..1
BAS ACCOUNTING PERIOD	ACCOUNTING PERIOD INFORMATION		709	4.Base	A	BIE	Fiscal Period	Fiscal Period. Detail. 		Fiscal Period		Detail							"Contains information related to accounting period including the corresponding fiscal year, the beginning and ending date. The table captures the time range within a specific reporting period and year, in which business transactions and entries are accumulated into financial statements and other reports."	
			710	4.Base	ID	BIE	Fiscal Period ID	Fiscal Period. ID		Fiscal Period		Identification		Identifier					The unique identifier for this object class	1..1
BAS ACCOUNTING PERIOD	FISCAL YEAR	YEAR IDENTIFIER	711	4.Base	B	BIE	Fiscal Year	Fiscal Period. Fiscal Year. Identifier		Fiscal Period		Fiscal Year		Identifier					"The fiscal year in which the calendar date occurs. The year shall be shown in four digits as YYYY, which is part of the extended format and the YYYY-MM-DD in ISO 8601-1."	1..1
BAS ACCOUNTING PERIOD	ACCOUNTING PERIOD	PERIOD IDENTIFIER	712	4.Base	B	BIE	Accounting Period	Fiscal Period. Accounting Period. Identifier		Fiscal Period		Accounting Period		Identifier					"The accounting period in which the calendar date occurs. Examples include W1-W53 for weekly periods, M1-M12 for monthly periods, Q1-Q4 for quarterly periods, and from any beginning date to any ending date."	1..1
BAS ACCOUNTING PERIOD	ACCOUNTING PERIOD BEGINNING DATE	DATE	713	4.Base	B	BIE	Beginning Date	Fiscal Period. Beginning. Date		Fiscal Period		Beginning		Date					The calendar beginning date of the current accounting period.	1..1
BAS ACCOUNTING PERIOD	ACCOUNTING PERIOD ENDING DATE	DATE	714	4.Base	B	BIE	Ending Date	Fiscal Period. Ending. Date		Fiscal Period		Ending		Date					The calendar ending date of the current accounting period.	1..1
BAS JOURNAL ENTRY TYPE	JOURNAL ENTRY TYPE		715	4.Base	A	BIE	Journal Entry Type	Journal Entry Type_ List. Detail. 	Journal Entry Type	List		Detail							"Contains information relevant with the GL journal entry type, for example, cash receipts, cash disbursements."	
BAS JOURNAL ENTRY TYPE	JE TYPE CODE	IDENTIFIER 60	716	4.Base	ID	BIE	Journal Entry Type Code	Journal Entry Type_ List. ID	Journal Entry Type	List		Identification		Identifier					"The code of the journal entry type; for example, using 004 to represent a cash receipt entry, 005 to represent a cash disbursement entry, 006 to represent a non-cash entry."	1..1
BAS JOURNAL ENTRY TYPE	JE TYPE NAME	TEXT 60	717	4.Base	B	BIE	Type Name	Journal Entry Type_ List. Type Name. Name	Journal Entry Type	List		Type Name		Name					"The name of the journal entry type. This is usually categorized by business to satisfy an internal control need and/or to facilitate sorting and querying; for example, journal entries could be classified based on whether the transaction involves cash. In this case there may be cash receipt entry, cash disbursement entry, and non-cash entry of adjusting that is the recording of interest revenue earned and wages payable, estimation that is the recording depreciation, and bad-debt expenses, and/or correction that makes entries to counteract the effects of errors found in the general ledger."	1..1
BAS JOURNAL ENTRY TYPE	JE TYPE ABBREVIATION	TEXT 30	718	4.Base	B	BIE	JE Type Abbreviation	Journal Entry Type_ List. Abbreviation. Text	Journal Entry Type	List		Abbreviation		Text					The abbreviation of the journal entry type.	0..1
BAS JOURNAL ENTRY TYPE	ACTIVE FLAG	BOOLEAN	719	4.Base	B	BIE	Active Flag	Journal Entry Type_ List. Active Flag. indicator	Journal Entry Type	List		Active Flag		indicator					"This indicates whether the JE type is active or inactive; for example, 1 is active and 0 is inactive."	0..1
BAS BILL TYPE	DOCUMENT TYPE		720	4.Base	A	BIE	Bill Type	Bill Type_ List. Detail. 	Bill Type 	List		Detail							"Contains information of bill type, for example, bank draft, commercial draft, promissory note and check. Bills are frequently used in the business cycle of sales and purchase, as evidence of debt, payment and/or settlement instrument."	
BAS BILL TYPE	BILL TYPE CODE	IDENTIFIER 60	721	4.Base	ID	BIE	Bill Type Code	Bill Type_ List. ID	Bill Type 	List		Identification		Identifier					"The code of the bill type; for example, using 004 to represent bank draft, 005 to represent promissory note, 006 to represent check."	1..1
BAS BILL TYPE	BILL TYPE NAME	TEXT 60	722	4.Base	B	BIE	Type Name	Bill Type_ List. Type Name. Name	Bill Type 	List		Type Name		Name					"The name of the bill type; for example, bank draft, commercial draft, promissory note and check."	1..1
BAS BILL TYPE	ACTIVE FLAG	BOOLEAN	723	4.Base	B	BIE	Active Flag	Bill Type_ List. Active Flag. indicator	Bill Type 	List		Active Flag		indicator					"This indicates whether the bill type is active or inactive; for example, 1 is active and 0 is inactive."	0..1
