Module,num,Kind,Table,No,BusinessTerm,DictionaryEntryName,Description,ObjectClassTermQualifier,ObjectClassTerm,PropertyTerm,RepresentationTerm,Datatype,Representation,RelationObjectClassTermQualifier,RelationObjectClassTerm,Level,PK_REF,ATTRIBUTE,DOMAIN
3.GL,228,BBIE,GL ACCOUNT PERIOD BALANCE,687,Accounting Period,Account Period Balance_ List. Accounting Period. Code,"Accounting period in which the financial statement occurs. Examples include W1-W53 for weekly periods, M1-M12 for monthly periods, Q1-Q4 for quarterly periods, and from any beginning date to any ending date. Shall match the Accounting_Period in the BAS_Accounting_Period table.",Account Period Balance,List,Accounting Period,Code,,,,,,,ACCOUNTING PERIOD,PERIOD IDENTIFIER
3.GL,229,BBIE,GL ACCOUNT PERIOD BALANCE,688,Debit Quantity,Account Period Balance_ List. Debit Quantity. Code,The quantity information associated with debiting inventory and PPE.,Account Period Balance,List,Debit Quantity,Code,,,,,,,DEBIT QUANTITY,QUANTITY
3.GL,230,BBIE,GL ACCOUNT PERIOD BALANCE,689,Credit Quantity,Account Period Balance_ List. Credit Quantity. Code,The quantity information associated with crediting inventory and PPE.,Account Period Balance,List,Credit Quantity,Code,,,,,,,CREDIT QUANTITY,QUANTITY
3.GL,231,BBIE,GL ACCOUNT PERIOD BALANCE,690,Beginning Quantity,Account Period Balance_ List. Beginning Quantity. Code,The beginning quantity of inventory or PPE account.,Account Period Balance,List,Beginning Quantity,Code,,,,,,,BEGINNING QUANTITY,QUANTITY
3.GL,232,BBIE,GL ACCOUNT PERIOD BALANCE,691,Ending Quantity,Account Period Balance_ List. Ending Quantity. Code,The ending quantity of inventory or PPE account.,Account Period Balance,List,Ending Quantity,Code,,,,,,,ENDING QUANTITY,QUANTITY
3.GL,233,BBIE,GL ACCOUNT PERIOD BALANCE,692,UOM Code,Account Period Balance_ List. . Code,The code of the physical measurement scale for inventory and PPE. Shall match the UOM_Code in the BAS_Measurement_Unit table.,Account Period Balance,List,,Code,,,,,,,UOM CODE,MEASUREMENT UNIT CODE
3.GL,234,BBIE,GL ACCOUNT PERIOD BALANCE,693,Beginning Balance Indicator,Account Period Balance_ List. Beginning_ Credit Debit Indicator. Code,"The beginning balance direction for the account. Indicates whether beginning balance is debit or credit. For example, C=credit; D=debit.",Account Period Balance,List,Credit Debit Indicator,Code,,,,,,,BEG BALANCE INDICATOR,CREDIT DEBIT CODE
3.GL,235,BBIE,GL ACCOUNT PERIOD BALANCE,694,Ending Balance Indicator,Account Period Balance_ List. Ending_ Credit Debit Indicator. Code,"The ending balance direction for the account. Indicates whether ending balance is debit or credit. For example, C=credit; D=debit.",Account Period Balance,List,Credit Debit Indicator,Code,,,,,,,ENDING BALANCE INDICATOR,CREDIT DEBIT CODE
3.GL,236,ASBIE,GL ACCOUNT PERIOD BALANCE,695,Balance Begining Amount,Account Period Balance_ List. has a. Beginning_ Multi Currency Amount,,Account Period Balance,List,has a,Code,,,,,,,BALANCE BEGINNING AMOUNT,has a
3.GL,237,ASBIE,GL ACCOUNT PERIOD BALANCE,696,Balance Ending Amount,Account Period Balance_ List. has a. Ending_ Multi Currency Amount,,Account Period Balance,List,has a,Code,,,,,,,BALANCE ENDING AMOUNT,has a
3.GL,238,ASBIE,GL ACCOUNT PERIOD BALANCE,697,Credit Amount,Account Period Balance_ List. has a. Credit_ Multi Currency Amount,,Account Period Balance,List,has a,Code,,,,,,,CREDIT AMOUNT,has a
3.GL,239,ASBIE,GL ACCOUNT PERIOD BALANCE,698,Currency Info,Account Period Balance_ List. has a. Currency Info_ Multi Currency Amount,,Account Period Balance,List,has a,Code,,,,,,,CURRENCY INFO,has a
3.GL,240,ASBIE,GL ACCOUNT PERIOD BALANCE,699,Debit Amount,Account Period Balance_ List. has a. Debit_ Multi Currency Amount,,Account Period Balance,List,has a,Code,,,,,,,DEBIT AMOUNT,has a
3.GL,241,ASBIE,GL ACCOUNT PERIOD BALANCE,700,Account Segment,Account Period Balance_ List. has a. Account Segment,,Account Period Balance,List,has a,Code,,,,,,,ACCOUNT SEGMENT,has a
3.GL,242,RLBIE,GL ACCOUNT PERIOD BALANCE,701,Business Segment X,Account Period Balance_ List. Defned. X_ Business Segment,"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each unique reference level. For example, division, department, business unit, purchasing organization, project or legal entity.",Account Period Balance,List,Defned,Code,,,X,Business Segment,,REF,BUSINESS SEGMENT X,TEXT 25
3.GL,243,IDBIE,GL ACCOUNT SEGMENT,703,GL Account Number,Account Segment_ List. ID,The GL account number. This number is generated either by manual input or generated by the system. Shall match the GL_Account_Number used in the,Account Segment,List,Identification,Code,,,,,,PK,GL ACCOUNT NUMBER,GL ACCOUNT NUMBER 100
3.GL,244,BBIE,GL ACCOUNT SEGMENT,704,Account Segment Number,Account Segment_ List. Account Segment Number. Code,"The number of the Account_Segment. Case 1 If the value of this field is 0, the record is used to explain a fixed account segment that is distinguished by Account_Segment_Name of the record. Case 2 If the value of this field is 5, the record is used to explain the No.5 field of Account_Segment_X, named Account_Segment_5 in the tables, such as GL_Details. This number is generated either by manual input or by the system.",Account Segment,List,Account Segment Number,Code,,,,,,,ACCOUNT SEGMENT NUMBER,TEXT 60
3.GL,245,BBIE,GL ACCOUNT SEGMENT,705,Account Segment Name,Account Segment_ List. Account Segment Name. Code,The name of the Account_Segment.,Account Segment,List,Account Segment Name,Code,,,,,,,ACCOUNT SEGMENT NAME,IDENTIFIER 200
3.GL,246,BBIE,GL ACCOUNT SEGMENT,706,Corresponding File,Account Segment_ List. Corresponding File. Code,The table corresponding to account segment.,Account Segment,List,Corresponding File,Code,,,,,,,CORRESPONDING FILE,TEXT 200
3.GL,247,BBIE,GL ACCOUNT SEGMENT,707,Account Segment Description,Account Segment_ List. Description. Code,The detailed description of the Account_Segment_Name.,Account Segment,List,Description,Code,,,,,,,ACCOUNT SEGMENT DESCRIPTION,TEXT 1000
3.GL,248,BBIE,GL ACCOUNT SEGMENT,708,Customized Account Segment Code,Account Segment_ List. Customized Account Segment Code. Code,The code of the customized account segment. Shall match the Customized_ACC_Segment_Code in the BAS_ Customized_ACC_Segment table.,Account Segment,List,Customized Account Segment Code,Code,,,,,,,CUSTOMIZED ACC SEGMENT CODE,IDENTIFIER 60
3.GL,249,IDBIE,GL DETAILS,710,Journal ID,GL Details_ List. ID,The unique identifier for each journal entry. Typically auto-generated by the system.,GL Details,List,Identification,Code,,,,,,PK,JOURNAL ID,IDENTIFIER 100
3.GL,250,BBIE,GL DETAILS,711,Journal Number,GL Details_ List. Number. Code,"The number of the journal entry; for example, including serial number, document type, and date.",GL Details,List,Number,Code,,,,,,,JOURNAL NUMBER,IDENTIFIER 100
3.GL,251,RLBIE,GL DETAILS,712,GL Account Number,GL Details_ List. Specified. Chart Of Account,The GL account number. Shall match the GL_Account_Number used in the,GL Details,List,Specified,Code,,,,Chart Of Account,,REF,GL ACCOUNT NUMBER,GL ACCOUNT NUMBER 100
3.GL,252,BBIE,GL DETAILS,713,Fiscal Year,GL Details_ List. Fiscal Year. Code,"Fiscal year in which the Effective_Date occurs. The year shall be shown in four digits as 'YYYY', which is part of the extended format and the 'YYYY-MM-DD' in ISO 8601-1. Shall match the Fiscal_Year in the BAS_Accounting_Period table.",GL Details,List,Fiscal Year,Code,,,,,,,FISCAL YEAR,YEAR IDENTIFIER
3.GL,253,BBIE,GL DETAILS,714,Accounting Period,GL Details_ List. Accounting Period. Code,"Accounting period in which the Effective_Date occurs. Examples include W1-W53 for weekly periods, M1-M12 for monthly periods, Q1 -Q4 for quarterly periods, and from any beginning date to any ending date. Shall match the Accounting_Period in the BAS_Accounting_Period table.",GL Details,List,Accounting Period,Code,,,,,,,ACCOUNTING PERIOD,PERIOD IDENTIFIER
3.GL,254,BBIE,GL DETAILS,715,Effective Date,GL Details_ List. Effective. Code,"The date of the journal entry, no matter when the entry is received or entered. This sometimes refers to the accounting date or accounting effective date; for example, if the user wants to see the financial results for the period ending March 5, 20X1, the journal entry may be created on any day during the open period and be assigned to the period ending March 5, 20X1.",GL Details,List,Effective,Code,,,,,,,EFFECTIVE DATE,DATE
3.GL,255,BBIE,GL DETAILS,716,Journal Line Number,GL Details_ List. Line Number. Code,The number of each line within a journal entry. This number is either generated by manual input or by the system.,GL Details,List,Line Number,Code,,,,,,,JOURNAL LINE NUMBER,TEXT 100
3.GL,256,BBIE,GL DETAILS,717,Journal Entry Type Code,GL Details_ List. Type Code. Code,The code of journal entry type. Shall match the JE_Type_Code in the BAS_Journal_Entry_Type table.,GL Details,List,Type Code,Code,,,,,,,JE TYPE CODE,IDENTIFIER 60
3.GL,257,BBIE,GL DETAILS,718,Journal Entry Header Description,GL Details_ List. Header Description. Code,Description of the entire journal entry as described by the journal entry header.,GL Details,List,Header Description,Code,,,,,,,JE HEADER DESCRIPTION,TEXT 1000
3.GL,258,BBIE,GL DETAILS,719,JE Line Description,GL Details_ List. Line Description. Code,Description of the individual line within the journal entry.,GL Details,List,Line Description,Code,,,,,,,JE LINE DESCRIPTION,TEXT 1000
3.GL,259,BBIE,GL DETAILS,720,Source Code,GL Details_ List. Source Code. Code,"Code for source from which the journal entry originated; for example, sales journal, cash receipts journal, general journal, payroll journal, accountant manual entry, or spreadsheet. Shall match the Source_Code in the GL_Source table.",GL Details,List,Source Code,Code,,,,,,,SOURCE CODE,IDENTIFIER 25
3.GL,260,BBIE,GL DETAILS,721,Bill Number,GL Details_ List. Bill Number. Code,"The number of the bill. A bill usually includes bank drafts, promissory notes and checks. A bill may be issued by the drawer who agreed upon themselves or entrust the drawee at sight; a specified date to the payee or bearer unconditionally pays a certain amount of securities. This number is generated either by manual input or by the system.",GL Details,List,Bill Number,Code,,,,,,,BILL NUMBER,TEXT 100
3.GL,261,BBIE,GL DETAILS,722,Bill Type Code,GL Details_ List. Bill Type Code. Code,"The type of the bill; for example, bank drafts, promissory notes and checks. Shall match the Bill_Type_Code in the BAS_Bill_Type table.",GL Details,List,Bill Type Code,Code,,,,,,,BILL TYPE CODE,IDENTIFIER 60
3.GL,262,BBIE,GL DETAILS,723,Bill Date,GL Details_ List. Bill Date. Code,The date of the bill.,GL Details,List,Bill Date,Code,,,,,,,BILL DATE,DATE
3.GL,263,BBIE,GL DETAILS,724,Quantity,GL Details_ List. Quantity. Code,"The quantity of items referenced in the journal entry line. When the GL_Account_Number is for inventories or fixed assets, this field is effective, if not, this field is NULL.",GL Details,List,Quantity,Code,,,,,,,QUANTITY,QUANTITY
3.GL,264,BBIE,GL DETAILS,725,Measurement Unit Code,GL Details_ List. Measurement Unit Code. Code,The code of the physical measurement scale for inventory and PPE referred to as a unit of measurement (UOM). Shall match the UOM_Code in the BAS_Measurement_Unit table.,GL Details,List,Measurement Unit Code,Code,,,,,,,UOM CODE,MEASUREMENT UNIT CODE
3.GL,265,BBIE,GL DETAILS,726,Unit Price,GL Details_ List. Unit Price. Code,"The per unit price of the inventory or PPE. This field is associated with Quantity and Amount; for example, if the account is inventory or PPE, we can multiply Quantity by Unit_Price to get total line Amount.",GL Details,List,Unit Price,Code,,,,,,,UNIT PRICE,AMOUNT8
3.GL,266,BBIE,GL DETAILS,727,Transaction Amount,GL Details_ List. Transaction Amount. Code,,GL Details,List,Transaction Amount,Code,,,,,,,TRANSACTION AMOUNT,
3.GL,267,BBIE,GL DETAILS,728,Settlement Method Code,GL Details_ List. Settlement Method Code. Code,"The code value or indicator of the settlement method used for cash receipt from customers (i.e. sales) and cash payment to suppliers (i.e. purchase); for example, check, wire transfer and cash. Shall match the Settlement_Method_Code in the BAS_Settlement_Method table.",GL Details,List,Settlement Method Code,Code,,,,,,,SETTLEMENT METHOD CODE,IDENTIFIER 60
3.GL,268,BBIE,GL DETAILS,729,Credit Debit Indicator,GL Details_ List. Credit Debit Indicator. Code,Indicates whether the amount is a credit or debit. 'C' = credit; 'D' = debit.,GL Details,List,Credit Debit Indicator,Code,,,,,,,CREDIT DEBIT INDICATOR,CREDIT DEBIT CODE
3.GL,269,BBIE,GL DETAILS,730,Reversal Indicator,GL Details_ List. Reversal Indicator. Code,"Indicates whether this entry is a reversal or to be reversed. '1' = entry is a reversal, '2' = entry is being reversed, and empty ('') = none of the above or system generated indicators.",GL Details,List,Reversal Indicator,Code,,,,,,,REVERSAL INDICATOR,REVERSAL INDICATOR CODE
3.GL,270,RLBIE,GL DETAILS,731,Reversal Journal ID,GL Details_ List. Reversal. Chart Of Account,"When the Reversal Indicator Code = 1, this identifies the Journal_ID of the entry being reversed.",GL Details,List,Reversal,Code,,,,Chart Of Account,,REF,REVERSAL JOURNAL ID,IDENTIFIER 100
3.GL,271,BBIE,GL DETAILS,732,Cancellation Sign,GL Details_ List. Cancellation Sign. Code,"The sign of cancellation of a journal entry already formed but not yet posted. For example, 0=entry is not cancelled, 1=entry is cancelled.",GL Details,List,Cancellation Sign,Code,,,,,,,CANCELLATION SIGN,BOOLEAN
3.GL,272,ASBIE,GL DETAILS,733,Created,GL Details_ List. was. Created_ Handling,,GL Details,List,was,Code,,,,,,,CREATED,was
3.GL,273,ASBIE,GL DETAILS,734,Approved,GL Details_ List. was. Approved_ Handling,,GL Details,List,was,Code,,,,,,,APPROVED,was
3.GL,274,ASBIE,GL DETAILS,735,Posted,GL Details_ List. was. Posted_ Handling,,GL Details,List,was,Code,,,,,,,POSTED,was
3.GL,275,ASBIE,GL DETAILS,736,Account Segment,GL Details_ List. has a. Account Segment,,GL Details,List,has a,Code,,,,,,,ACCOUNT SEGMENT,has a
3.GL,276,RLBIE,GL DETAILS,737,Business Segment X,GL Details_ List. Defned. X_ Business Segment,"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each unique reference level. For example, division, department, business unit, purchasing organization, project or legal entity.",GL Details,List,Defned,Code,,,X,Business Segment,,REF,BUSINESS SEGMENT X,TEXT 25
3.GL,277,IDBIE,GL SOURCE,739,Source Code,GL Source_ List. ID,"The code of the posting source (code for source from which the journal entry originated; for example, sales journal, cash receipts journal, general journal, payroll journal, accountant manual entry and spreadsheet). The code shall be a unique indicator for the underlying source.",GL Source,List,Identification,Code,,,,,,PK,SOURCE CODE,IDENTIFIER 25
3.GL,278,BBIE,GL SOURCE,740,Source Description,GL Source_ List. Source Description. Code,A description of the source system.,GL Source,List,Source Description,Code,,,,,,,SOURCE DESCRIPTION,TEXT 1000
3.GL,279,BBIE,GL SOURCE,741,ERP Subledger Module,GL Source_ List. ERP Subledger Module. Code,"Description of the subledger or ERP module from where the journal entry originated. Should tie back to a system or significant accounting process. In some instances, can be represented by the source system.",GL Source,List,ERP Subledger Module,Code,,,,,,,ERP SUBLEDGER MODULE,TEXT 100
3.GL,280,BBIE,GL SOURCE,742,System Manual Identifier,GL Source_ List. System Manual Identifier. Code,This indicates whether the journal entry is system-generated (S) or manually-entered (M). EXAMPLE S is system-generated and M is manually-entered.,GL Source,List,System Manual Identifier,Code,,,,,,,SYSTEM MANUAL IDENTIFIER,SYSTEM MANUAL IDENTIFIER
3.GL,281,BBIE,GL SOURCE,743,Business Process Major,GL Source_ List. Business Process Major. Code,"The major class of transaction associated with a business process; for example, sales.",GL Source,List,Business Process Major,Code,,,,,,,BUSINESS PROCESS MAJOR,TEXT 100
3.GL,282,BBIE,GL SOURCE,744,Business Process Minor,GL Source_ List. Business Process Minor. Code,"A sub-process of the major business process; for example, orders, returns, discounts, etc.",GL Source,List,Business Process Minor,Code,,,,,,,BUSINESS PROCESS MINOR,TEXT 100
3.GL,283,BBIE,GL TRIAL BALANCE,746,GL Account Number,Trial Balance_ List. GL_ Account Number. Code,The GL account number. The number is often generated by the system. Shall match the GL_Account_Number used in the BAS_Chart_Of_Accounts table.,Trial Balance,List,Account Number,Code,,,,,,,GL ACCOUNT NUMBER,GL ACCOUNT NUMBER 100
3.GL,284,BBIE,GL TRIAL BALANCE,747,Fiscal Year,Trial Balance_ List. Fiscal Year. Year_ Code,"Fiscal year in which the Balance_As_Of_Date occurs. The year shall be shown in four digits as 'YYYY', which is part of the extended format and the 'YYYY-MM-DD' in ISO 8601-1. Shall match the Fiscal_Year in the BAS_Accounting_Period table.",Trial Balance,List,Fiscal Year,Code,,,,,,,FISCAL YEAR,YEAR IDENTIFIER
3.GL,285,BBIE,GL TRIAL BALANCE,748,Accounting Period,Trial Balance_ List. Accounting Period. Period_ Code,"Accounting period in which the Balance_As_Of_Date occurs. Examples include W1-W53 for weekly periods, M1-M12 for monthly periods, Q1-Q4 for quarterly periods, and from any beginning date to any ending date. Shall match the Accounting_Period in the BAS_Accounting_Period table.",Trial Balance,List,Accounting Period,Code,,,,,,,ACCOUNTING PERIOD,PERIOD IDENTIFIER
3.GL,286,BBIE,GL TRIAL BALANCE,749,Balance As Of Date,Trial Balance_ List. Balance As Of. Code,"The date through which the provided balance reflects account activity; for example, if a report was run for activity through 2014-12-31 on 2015-01-22. The date recorded would be 2014-12-31.",Trial Balance,List,Balance As Of,Code,,,,,,,BALANCE AS OF DATE,DATE
3.GL,287,ASBIE,GL TRIAL BALANCE,750,Balance Begining Amount,Trial Balance_ List. has a. Beginning_ Multi Currency Amount,,Trial Balance,List,has a,Code,,,,,,,BALANCE BEGINNING AMOUNT,has
3.GL,288,ASBIE,GL TRIAL BALANCE,751,Balance Ending Amount,Trial Balance_ List. has a. Ending_ Multi Currency Amount,,Trial Balance,List,has a,Code,,,,,,,BALANCE ENDING AMOUNT,has
3.GL,289,ASBIE,GL TRIAL BALANCE,752,Currency Info,Trial Balance_ List. has. Currency Info_ Multi Currency Amount,,Trial Balance,List,has,Code,,,,,,,CURRENCY INFO,has
3.GL,290,RLBIE,GL TRIAL BALANCE,753,Business Segment X,Trial Balance_ List. Defned. X_ Business Segment,"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each unique reference level. For example, division, department, business unit, purchasing organization, project or legal entity.",Trial Balance,List,Defned,Code,,,X,Business Segment,,REF,BUSINESS SEGMENT X,TEXT 25
4.P2P,291,ASBIE,,755,Contract,Purchase_ Contract. Defined. Contract,,Purchase,Contract,Defined,Code,,,,,,,,
4.P2P,292,ASBIE,PUR CONTRACT,756,Created,Purchase_ Contract. was. Created_ Handling,,Purchase,Contract,was,Code,,,,,,,CREATED,was
4.P2P,293,ASBIE,PUR CONTRACT,757,Approved,Purchase_ Contract. was. Approved_ Handling,,Purchase,Contract,was,Code,,,,,,,APPROVED,was
4.P2P,294,ASBIE,,759,Contract Details,Purchase_ Contract Line. Defined. Contract Line,,Purchase,Contract Line,Defined,Code,,,,,,,,
4.P2P,295,IDBIE,AP ADJUSTMENT,761,Adjustment ID,Account Payable Adjustment_ List. ID,The unique identifier for the adjustment of record. Typically auto-generated by the system.,Account Payable Adjustment,List,Identification,Code,,,,,,PK,ADJUSTMENT ID,IDENTIFIER 100
4.P2P,296,BBIE,AP ADJUSTMENT,762,Adjustment Number,Account Payable Adjustment_ List. Number. Code,"The number of the adjustment of record. The number is usually generated by manual input or automated using system based rules.This number may need to be created by concatenating fields to uniquely identify each transaction; for example, serial number, document type, and adjustment date.",Account Payable Adjustment,List,Number,Code,,,,,,,ADJUSTMENT NUMBER,TEXT 100
4.P2P,297,BBIE,AP ADJUSTMENT,763,Adjustment Type Name,Account Payable Adjustment_ List. Type Name. Code,"The name of the method by which the transaction debit or credit amount was extinguished or apportioned to the debt by the supplier; for example, credit memo, debit memo, finance charge and other adjustments.",Account Payable Adjustment,List,Type Name,Code,,,,,,,ADJUSTMENT TYPE NAME,TEXT 60
4.P2P,298,BBIE,AP ADJUSTMENT,764,Adjustment Document Number,Account Payable Adjustment_ List. Document Number. Code,"The number of an internally generated adjustment document; for example, credit memo. The number is usually generated by manual input or automated using system based rules; for example, document number, document type, and year.",Account Payable Adjustment,List,Document Number,Code,,,,,,,ADJUSTMENT DOCUMENT NUMBER,TEXT 100
4.P2P,299,RLBIE,AP ADJUSTMENT,765,Invoice ID,Account Payable Adjustment_ List. Related. Generated_ Invoice,"The unique identifier for each invoice, from which AP is derived. Typically auto-generated by the system. This field represents the invoice against which the adjustment is applied, if relevant. May be set to NULL if adjustment is at supplier (not invoice) level. Shall match the Invoice_ID in the PUR_Invoices_Received table.",Account Payable Adjustment,List,Related,Code,,,Generated,Invoice,,REF,INVOICE ID,IDENTIFIER 60
4.P2P,300,RLBIE,AP ADJUSTMENT,766,Journal ID,Account Payable Adjustment_ List. Recorded. GL Details,The unique identifier for journal entry. Typically auto-generated by the system. Shall match the Journal_ID in the GL_Details table.,Account Payable Adjustment,List,Recorded,Code,,,,GL Details,,REF,JOURNAL ID,IDENTIFIER 100
4.P2P,301,BBIE,AP ADJUSTMENT,767,Fiscal Year,Account Payable Adjustment_ List. . Year_ Code,"Fiscal year in which the Adjustment_Date occurs. The year shall be shown in four digits as 'YYYY', which is part of the extended format and the 'YYYY-MM-DD' in ISO 8601-1. Shall match the Fiscal_Year in the BAS_Accounting_Period table.",Account Payable Adjustment,List,,Code,,,,,,,FISCAL YEAR,YEAR IDENTIFIER
4.P2P,302,BBIE,AP ADJUSTMENT,768,Accounting Period,Account Payable Adjustment_ List. . Period_ Code,"Accounting period in which the Adjustment_Date occurs. Examples include W1-W53 for weekly periods, M1-12 for monthly periods, Q1-Q4 for quarterly periods, and from any beginning date to any ending date. Shall match the Accounting_Period in the BAS_Accounting_Period table.",Account Payable Adjustment,List,,Code,,,,,,,ACCOUNTING PERIOD,PERIOD IDENTIFIER
4.P2P,303,BBIE,AP ADJUSTMENT,769,Adjustment Date,Account Payable Adjustment_ List. Adjustment_ Date. Code,"The date of the adjustment, regardless of the date the adjustment is created.",Account Payable Adjustment,List,Date,Code,,,,,,,ADJUSTMENT DATE,DATE
4.P2P,304,RLBIE,AP ADJUSTMENT,770,Supplier Account ID,Account Payable Adjustment_ List. Defined. Supplier,The unique identifier for the supplier from whom payment is expected or to whom unused credits have been applied. Typically auto-generated by the system. Shall match the Supplier_Account_ID in the BAS_Supplier table.,Account Payable Adjustment,List,Defined,Code,,,,Supplier,,REF,SUPPLIER ACCOUNT ID,IDENTIFIER 100
4.P2P,305,RLBIE,AP ADJUSTMENT,771,GL Debit Account Number,Account Payable Adjustment_ List. Defined. Debit_ Chart Of Accounts,The number of GL account on which the debit side of the transaction has been posted. Shall match the GL_Account_Number in the BAS_Chart_Of_Accounts table.,Account Payable Adjustment,List,Defined,Code,,,Debit,Chart Of Accounts,,REF,GL DEBIT ACCOUNT NUMBER,GL ACCOUNT NUMBER 100
4.P2P,306,RLBIE,AP ADJUSTMENT,772,GL Credit Account Number,Account Payable Adjustment_ List. Defined. Credit_ Chart Of Accounts,The number of GL account on which the credit side of the transaction has been posted. Shall match the GL_Account_Number in the BAS_Chart_Of_Accounts table.,Account Payable Adjustment,List,Defined,Code,,,Credit,Chart Of Accounts,,REF,GL CREDIT ACCOUNT NUMBER,GL ACCOUNT NUMBER 100
4.P2P,307,ASBIE,AP ADJUSTMENT,773,Adjustment Amount,Account Payable Adjustment_ List. has an. Adjustment_ Multi Currency Amount,,Account Payable Adjustment,List,has an,Code,,,,,,,ADJUSTED AMOUNT,has an
4.P2P,308,ASBIE,AP ADJUSTMENT,774,Created,Account Payable Adjustment_ List. was. Created_ Handling,,Account Payable Adjustment,List,was,Code,,,,,,,CREATED,was
4.P2P,309,ASBIE,AP ADJUSTMENT,775,Approved,Account Payable Adjustment_ List. was. Approved_ Handling,,Account Payable Adjustment,List,was,Code,,,,,,,APPROVED,was
4.P2P,310,ASBIE,AP ADJUSTMENT,776,Last Modified,Account Payable Adjustment_ List. was. Last Modified_ Handling,,Account Payable Adjustment,List,was,Code,,,,,,,LAST MODIFIED,was
4.P2P,311,ASBIE,AP ADJUSTMENT,777,Tax,Account Payable Adjustment_ List. Charged. Tax,,Account Payable Adjustment,List,Charged,Code,,,,,,,TAX,
4.P2P,312,RLBIE,AP ADJUSTMENT,778,Business Segment X,Account Payable Adjustment_ List. Defned. X_ Business Segment,"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each unique reference level. For example, division, department, business unit, purchasing organization, project or legal entity.",Account Payable Adjustment,List,Defned,Code,,,X,Business Segment,,REF,BUSINESS SEGMENT X,TEXT 25
4.P2P,313,RLBIE,AP ADJUSTMENT DETAILS,780,Adjustment ID,Account Payable Adjustment Details_ List. Parent. Account Payable Adjustment_ Header,The unique identifier for the adjustment of record. Typically autogenerated by the system. Shall match the Adjustment_ID in the AP_Adjustments table.,Account Payable Adjustment Details,List,Parent,Code,,,Account Payable Adjustment,Header,,REF,ADJUSTMENT ID,IDENTIFIER 100
4.P2P,314,BBIE,AP ADJUSTMENT DETAILS,781,Adjustment Line ID,Account Payable Adjustment Details_ List. Identification. Code,The unique identifier for the adjustment line. Typically auto-generated by the system.,Account Payable Adjustment Details,List,Identification,Code,,,,,,,ADJUSTMENT LINE ID,IDENTIFIER 60
4.P2P,315,BBIE,AP ADJUSTMENT DETAILS,782,Adjustment Line Number,Account Payable Adjustment Details_ List. Line Number. Code,The number of the Line of the adjustment of record. The number is usually generated by manual input or automated using system based rules.,Account Payable Adjustment Details,List,Line Number,Code,,,,,,,ADJUSTMENT LINE NUMBER,TEXT 10
4.P2P,316,RLBIE,AP ADJUSTMENT DETAILS,783,Invoice ID,Account Payable Adjustment Details_ List. Defined. Received_ Invoice,"The unique identifier for each invoice, from which AP is derived. Typically auto-generated by the system. This field represents the invoice against which the adjustment is applied, if relevant. May be set to NULL if adjustment is at supplier (not invoice) level. Shall match the Invoice_ID in the PUR_Invoices_Received table.",Account Payable Adjustment Details,List,Defined,Code,,,Received,Invoice,,REF,INVOICE ID,IDENTIFIER 60
4.P2P,317,RLBIE,AP ADJUSTMENT DETAILS,784,Invoice Line ID,Account Payable Adjustment Details_ List. Defined. Received_ Invoice,The unique identifier for an invoice line.Typically auto-generated by the system. May be set to NULL if adjustment is at supplier (not invoice) level. Otherwise shall match the Invoice_Line_ID in the PUR_Invoices_Received_Details table.,Account Payable Adjustment Details,List,Defined,Code,,,Received,Invoice,,REF,INVOICE LINE ID,IDENTIFIER 60
4.P2P,318,BBIE,AP ADJUSTMENT DETAILS,785,Journal ID,Account Payable Adjustment Details_ List. Journal ID. Code,The unique identifier for journal entry. Typically auto-generated by the system. Shall match the Journal_ID in the GL_Details table.,Account Payable Adjustment Details,List,Journal ID,Code,,,,,,,JOURNAL ID,IDENTIFIER 100
4.P2P,319,ASBIE,AP ADJUSTMENT DETAILS,786,Adjustment Amount,Account Payable Adjustment Details_ List. has a. Multi Currency Amount,,Account Payable Adjustment Details,List,has a,Code,,,,,,,ADJUSTED AMOUNT,has
4.P2P,320,ASBIE,AP ADJUSTMENT DETAILS,787,Tax,Account Payable Adjustment Details_ List. Charged. Tax,,Account Payable Adjustment Details,List,Charged,Code,,,,,,,TAX,
4.P2P,321,RLBIE,AP ADJUSTMENT DETAILS,788,GL Debit Account Number,Account Payable Adjustment Details_ List. Defined. Debit_ Chart Of Accounts,The number of GL account on which the debit side of the transaction has been posted. Shall match the GL_Account_Number in the BAS_Chart_Of_Accounts table.,Account Payable Adjustment Details,List,Defined,Code,,,Debit,Chart Of Accounts,,REF,GL DEBIT ACCOUNT NUMBER,GL ACCOUNT NUMBER 100
4.P2P,322,RLBIE,AP ADJUSTMENT DETAILS,789,GL Credit Account Number,Account Payable Adjustment Details_ List. Defined. Credit_ Chart Of Accounts,The number of GL account on which the credit side of the transaction has been posted. Shall match the GL_Account_Number in the BAS_Chart_Of_Accounts table.,Account Payable Adjustment Details,List,Defined,Code,,,Credit,Chart Of Accounts,,REF,GL CREDIT ACCOUNT NUMBER,GL ACCOUNT NUMBER 100
