Unique UN Assigned ID	 ABIE/ BBIE/ ASBIE/ACC/BCC/ASCC/DT/CC/SC	"Dictionary Entry Name
(auto generated)"	"Definition
Mandatory"	Object Class Term Qualifier(s)	Object Class Term	Property Term	Datatype Qualifier(s)	Representation Term	Occurrence Min	Occurrence Max		
	SC	Code List. Agency. Identifier		Cargo Type Classification	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Cargo Type Classification	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Cargo Type Classification	Code	Name		Text	0	1		
UN02000185	DT	Cash Account Type_ Code. Type	A character string used to specify a cash account type.				Cash Account Type	Code				
	CC	Code. Content	A character string used to specify a cash account type.	Accounting Account Balance Reopening Type	Code				1	1	CashAccountType_D19B.TXT	
	SC	Code List. Identifier		Accounting Account Balance Reopening Type	Code List	Identifier		Identifier	0	1		Cash Account 97A
	SC	Code List. Agency. Identifier		Accounting Account Balance Reopening Type	Code List	Agency		Identifier	0	1		5
	SC	Code List. Version. Identifier		Accounting Account Balance Reopening Type	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Accounting Account Balance Reopening Type	Code List	Uniform Resource		Identifier	0	1		https://www.iso20022.org/standardsrepository/public/wqt/Description/mx/dico/codesets/_a3ed5tp-Ed-ak6NoX_4Aeg_-1826678245
UN02000155	DT	Certificate Type_ Code. Type	A character string used to represent the type of a certificate.				Certificate Type	Code				
	CC	Code. Content	A character string used to represent the type of a certificate.	Certificate Type	Code				1	1	EDIFICASEU_CertificateType_D11A.TXT	
	SC	Code List. Identifier		Certificate Type	Code List	Identifier		Identifier	0	1		AccountingE004
	SC	Code List. Agency. Identifier		Certificate Type	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Certificate Type	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Certificate Type	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000062	DT	Charge Paying_ Party Role_ Code. Type	A character string used to represent the charge paying party role.				Charge Paying_ Party Role	Code				
	CC	Code. Content	A character string used to represent the charge paying party role.	Charge Paying_ Party Role	Code				1	1	UNECE_PartyFunctionCode_ChargePayingPartyRoleCode_D19B.TXT	
	SC	Code List. Identifier		Charge Paying_ Party Role	Code List	Identifier		Identifier	0	1		3035_Charge Paying Party Role
	SC	Code List. Agency. Identifier		Charge Paying_ Party Role	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Charge Paying_ Party Role	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Charge Paying_ Party Role	Code	Name		Text	0	1		
UN02000180	DT	Code List Responsible Agency_ Code. Type	A code specifying the organization responsible for a code or identifier list.				Code List Responsible Agency	Code				
	CC	Code. Content	A code specifying the organization responsible for a code or identifier list.	Transport Service Requirement	Code				1	1	UNECE_CodeListResponsibleAgencyCode_D19B.TXT	
	SC	Code List. Identifier		Transport Service Requirement	Code List	Identifier		Identifier	0	1		3055
	SC	Code List. Agency. Identifier		Transport Service Requirement	Code List	Agency		Identifier	0	1		6
	SC	Code List. Name. Text		MIME	Code List	Name		Text	0	1		Code List Responsible Organization
	SC	Code List. Version. Identifier		Transport Service Requirement	Code List	Version		Identifier	0	1		D19B
UN02000120	DT	Commitment Level_ Code. Type	A character string used to represent a commitment level.				Commitment Level	Code				
	CC	Code. Content	A character string used to represent a commitment level.	Commitment Level	Code				1	1	UNECE_CommitmentLevelCode_D19B.TXT	
	SC	Code List. Identifier		Commitment Level	Code List	Identifier		Identifier	0	1		4017
	SC	Code List. Agency. Identifier		Commitment Level	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Commitment Level	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Commitment Level	Code List	Uniform Resource		Identifier	0	1		
UN02000121	DT	Communication Channel_ Code. Type	A character string used to represent a communication channel.				Communication Channel	Code				
	CC	Code. Content	A character string used to represent a communication channel.	Communication Channel	Code				1	1	UNECE_CommunicationChannelCode_D19B.TXT	
	SC	Code List. Identifier		Communication Channel	Code List	Identifier		Identifier	0	1		3155
	SC	Code List. Agency. Identifier		Communication Channel	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Communication Channel	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Communication Channel	Code List	Uniform Resource		Identifier	0	1		
UN02000122	DT	Contact Type_ Code. Type	A character string used to represent a contact type.				Contact Type	Code				
	CC	Code. Content	A character string used to represent a contact type.	Contact Type	Code				1	1	UNECE_ContactTypeCode_D19B.TXT	
	SC	Code List. Identifier		Contact Type	Code List	Identifier		Identifier	0	1		3139
	SC	Code List. Agency. Identifier		Contact Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Contact Type	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Contact Type	Code List	Uniform Resource		Identifier	0	1		
UN02000021	DT	Contract Type_ Code. Type	A character string used to represent a type of contract.				Contract Type	Code				
	CC	Code. Content	A character string used to represent a type of contract.	Contract Type	Code				1	1	UNECE_ContractTypeCode_D10B.TXT	
	SC	Code List. Identifier		Contract Type	Code List	Identifier		Identifier	0	1		9651
	SC	Code List. Agency. Identifier		Contract Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Contract Type	Code List	Version		Identifier	0	1		D10B
UN02000112	DT	Contractor Type_ Code. Type	A character string used to represent or replace a type of contractor.				Contractor Type	Code				
	CC	Code. Content	A character string used to represent or replace a type of contractor.	Contractor Type	Code				1	1	UNECE_ContractorType_D10B.TXT	
	SC	Code List. Identifier		Contractor Type	Code List	Identifier		Identifier	0	1		Contractor Type
	SC	Code List. Agency. Identifier		Contractor Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Contractor Type	Code List	Version		Identifier	0	1		D10B
UN02000023	DT	Cost Management_ Code. Type	A character string used to represent or replace a cost management value.				Cost Management	Code				
	CC	Code. Content	A character string used to represent or replace a cost management value.	Cost Management	Code				1	1	UNECE_CostManagementCode_D10B.TXT	
	SC	Code List. Identifier		Cost Management	Code List	Identifier		Identifier	0	1		9653
	SC	Code List. Agency. Identifier		Cost Management	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Cost Management	Code List	Version		Identifier	0	1		D10B
UN02000024	DT	Cost Reporting_ Code. Type	A character string used to represent or replace a cost reporting value.				Cost Reporting	Code				
	CC	Code. Content	A character string used to represent or replace a cost reporting value.	Cost Reporting	Code				1	1	UNECE_CostReportingCode_D10B.TXT	
	SC	Code List. Identifier		Cost Reporting	Code List	Identifier		Identifier	0	1		9655
	SC	Code List. Agency. Identifier		Cost Reporting	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Cost Reporting	Code List	Version		Identifier	0	1		D10B
UN02000003	DT	Country_ Identifier. Type	"A character string to identify and distinguish uniquely, one instance of a country in an identification scheme from all other objects within the same scheme."				Country	Identifier				
	CC	Identifier. Content	"A character string to identify and distinguish uniquely, one instance of a country in an identification scheme from all other objects within the same scheme."	Country	Identifier				1	1	ISO_ISOTwoletterCountryCode_SecondEdition2006.TXT	
	SC	Identification Scheme. Identifier		Country	Identification Scheme	Identifier		Identifier	0	1		ISO 3166-1 2A
	SC	Identification Scheme Agency. Identifier		Country	Identification Scheme Agency	Identifier		Identifier	0	1		5
	SC	Identification Scheme. Version. Identifier		Country	Identification Scheme	Version		Identifier	0	1		Second Edition 2006
UN02000004	DT	Currency_ Code. Type	A character string used to represent a currency.				Currency	Code				
	CC	Code. Content	A character string used to represent a currency.	Currency	Code				1	1	ISO_ISO3AlphaCurrencyCode_20120831.TXT	
	SC	Code List. Identifier		Currency	Code List	Identifier		Identifier	0	1		ISO 4217 3A
	SC	Code List. Agency. Identifier		Currency	Code List	Agency		Identifier	0	1		5
	SC	Code List. Version. Identifier		Currency	Code List	Version		Identifier	0	1		2012/8/31
	SC	Code List. Uniform Resource. Identifier		Currency	Code List	Uniform Resource		Identifier	0	1		
UN02000067	DT	Customs Duty Regime Type_ Code. Type	A character string used to represent the type of customs duty regime.				Customs Duty Regime Type	Code				
	CC	Code. Content	A character string used to represent the type of customs duty regime.	Customs Duty Regime Type	Code				1	1	UNECE_Customs Duty Regime Type Code_D19B.TXT	
	SC	Code List. Identifier		Customs Duty Regime Type	Code List	Identifier		Identifier	0	1		9213
	SC	Code List. Agency. Identifier		Customs Duty Regime Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Customs Duty Regime Type	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Customs Duty Regime Type	Code	Name		Text	0	1		
UN02000055	DT	Customs Procedure Guarantee_ Code. Type	A character string used to represent a customs procedure guarantee.				Customs Procedure Guarantee	Code				
	CC	Code. Content	A character string used to represent a Customs procedure guarantee.	Customs Procedure Guarantee	Code				1	1	UNECE_ObligationGuaranteeCode_D19B.TXT	
	SC	Code List. Identifier		Customs Procedure Guarantee	Code List	Identifier		Identifier	0	1		4377
	SC	Code List. Agency. Identifier		Customs Procedure Guarantee	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Customs Procedure Guarantee	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Customs Procedure Guarantee	Code	Name		Text	0	1		
UN02000069	DT	Dangerous Goods Packaging Level_ Code. Type	A character string used to represent the dangerous goods packaging level.				Dangerous Goods Packaging Level	Code				
	CC	Code. Content	A character string used to represent the dangerous goods packaging level.	Dangerous Goods Packaging Level	Code				1	1	UNECE_Dangerous Goods Packing Code_D19B.TXT	
	SC	Code List. Identifier		Dangerous Goods Packaging Level	Code List	Identifier		Identifier	0	1		8339
	SC	Code List. Agency. Identifier		Dangerous Goods Packaging Level	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Dangerous Goods Packaging Level	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Dangerous Goods Packaging Level	Code	Name		Text	0	1		
UN02000070	DT	Dangerous Goods Regulation_ Code. Type	A character string used to represent the dangerous goods regulation.				Dangerous Goods Regulation	Code				
	CC	Code. Content	A character string used to represent the dangerous goods regulation.	Dangerous Goods Regulation	Code				1	1	UNECE_DangerousGoodsRegulationCode_D19B.TXT	
	SC	Code List. Identifier		Dangerous Goods Regulation	Code List	Identifier		Identifier	0	1		8273
	SC	Code List. Agency. Identifier		Dangerous Goods Regulation	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Dangerous Goods Regulation	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Dangerous Goods Regulation	Code	Name		Text	0	1		
UN02000019	DT	Date Mandatory_ Date Time. Type	A particular point in the progression of time defined by a mandatory date and an optional time component.				Date Mandatory	Date Time				
	CC	Date Time. Content	A particular point in the progression of time defined by a mandatory date and an optional time component.	Date Mandatory	Date Time				1	1		
	SC	Date Time. Format. Text		Date Mandatory	Date Time	Format		Text	0	1		
UN02000162	DT	Date Time Period Function_ Code. Type	A character string used to represent the type of date time period function.				Date Time Period Function	Code				
	CC	Code. Content	A character string used to represent the type of date time period function.	Date Time Period Function	Code				1	1	UNECE_DateTimePeriodFunctionCode_D19B.TXT	
	SC	Code List. Identifier		Date Time Period Function	Code List	Identifier		Identifier	0	1		2005
	SC	Code List. Agency. Identifier		Date Time Period Function	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Date Time Period Function	Code List	Version		Identifier	0	1		D19B
UN02000143	DT	Delivery Terms Function_ Code. Type	A character string used to represent a function for delivery terms.				Delivery Terms Function	Code				
	CC	Code. Content	A character string used to represent a function for delivery terms.	Delivery Terms Function	Code				1	1	UNECE_DeliveryTermsFunctionCode_D19B.TXT	
	SC	Code List. Identifier		Delivery Terms Function	Code List	Identifier		Identifier	0	1		4055
	SC	Code List. Agency. Identifier		Delivery Terms Function	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Delivery Terms Function	Code List	Version		Identifier	0	1		D19B
UN02000005	DT	Delivery Terms_ Code. Type	A character string used to represent delivery terms.				Delivery Terms	Code				
	CC	Code. Content	A character string used to represent delivery terms.	Delivery Terms	Code				1	1	UNECE_DeliveryTermsCode_2010.TXT	
	SC	Code List. Identifier		Delivery Terms	Code List	Identifier		Identifier	0	1		4053
	SC	Code List. Agency. Identifier		Delivery Terms	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Delivery Terms	Code List	Version		Identifier	0	1		2010
UN02000071	DT	Dimension Type_ Code. Type	A character string used to represent the dimension type.				Dimension Type	Code				
	CC	Code. Content	A character string used to represent the dimension type.	Dimension Type	Code				1	1	UNECE_DimensionTypeCode_D19B.TXT	
	SC	Code List. Identifier		Dimension Type	Code List	Identifier		Identifier	0	1		6145
	SC	Code List. Agency. Identifier		Dimension Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Dimension Type	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Dimension Type	Code	Name		Text	0	1		
UN02000025	DT	Document Status_ Code. Type	A character string used to represent or replace a document status.				Document Status	Code				
	CC	Code. Content	A character string used to represent or replace a document status.	Document Status	Code				1	1	UNECE_DocumentStatusCode_D19B.TXT	
	SC	Code List. Identifier		Document Status	Code List	Identifier		Identifier	0	1		1373
	SC	Code List. Agency. Identifier		Document Status	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Document Status	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Document Status	Code	Name		Text	0	1		
UN02000006	DT	Document_ Code. Type	A character string denoting the type of a document. [Reference United Nations Code List (UNCL) 1001]				Document	Code				
	CC	Code. Content	A character string denoting the type of a document. [Reference United Nations Code List (UNCL) 1001]	Document	Code				1	1	UNECE_DocumentNameCode_D19B.TXT	
	SC	Code List. Identifier		Document	Code List	Identifier		Identifier	0	1		1001
	SC	Code List. Agency. Identifier		Document	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Document	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Document	Code	Name		Text	0	1		
	SC	Code List. Uniform Resource. Identifier		Document	Code List	Uniform Resource		Identifier	0	1		
UN02000026	DT	Duration_ Unit_ Measure. Type	A numeric value determined by measuring a duration of time.	Duration_ Unit	Measure		Duration_ Unit	Measure				
	CC	Measure. Content	A numeric value determined by measuring a duration of time.	Duration	Measure				1	1		
	SC	Measure Unit. Code		Duration	Measure Unit	Code		Code	1	1	UNECE_MeasurementUnitCommonCodeDuration_4.TXT	
	SC	Measure Unit. Code List Version. Identifier		Duration	Measure Unit	Code List Version		Identifier	0	1		4
UN02000027	DT	Earned Value Calculation Method_ Code. Type	A character string used to represent or replace the type of earned value calculation method.				Earned Value Calculation Method	Code				
	CC	Code. Content	A character string used to represent or replace the type of earned value calculation method.	Earned Value Calculation Method	Code				1	1	UNECE_EarnedValueCalculationMethod_D10B.TXT	
	SC	Code List. Identifier		Earned Value Calculation Method	Code List	Identifier		Identifier	0	1		9657
	SC	Code List. Agency. Identifier		Earned Value Calculation Method	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Earned Value Calculation Method	Code List	Version		Identifier	0	1		D10B
UN02000116	DT	File Size_ Unit_ Measure. Type	A numeric value determined by measuring a file size.	File Size_ Unit	Measure		File Size_ Unit	Measure				
	CC	Measure. Content	A numeric value determined by measuring a file size.	File Size	Measure				1	1		
	SC	Measure Unit. Code		File Size	Measure Unit	Code		Code	0	1	UNECE_MeasurementUnitCommonCodeFileSize_4.TXT	
	SC	Measure Unit. Code List Version. Identifier		File Size	Measure Unit	Code List Version		Identifier	0	1		
UN02000168	DT	Financial Account Type_ Code. Type	A character string used to represent the type of financial account.				Financial Account Type	Code				
	CC	Code. Content	A character string used to represent the type of financial account.	Financial Account Type	Code				1	1	EDIFICASEU_FinancialAccountType_D11A.TXT	
	SC	Code List. Identifier		Financial Account Type	Code List	Identifier		Identifier	0	1		AccountingE016
	SC	Code List. Agency. Identifier		Financial Account Type	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Financial Account Type	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Financial Account Type	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000156	DT	Financial Institution Role_ Code. Type	A character string used to represent the role of a financial institution.				Financial Institution Role	Code				
	CC	Code. Content	A character string used to represent the role of a financial institution.	Financial Institution Role	Code				1	1	EDIFICASEU_FinancialInstitutionRole_D11A.TXT	
	SC	Code List. Identifier		Financial Institution Role	Code List	Identifier		Identifier	0	1		AccountingE015
	SC	Code List. Agency. Identifier		Financial Institution Role	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Financial Institution Role	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Financial Institution Role	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000123	DT	Financial_ Adjustment Reason_ Code. Type	A character string used to represent a financial adjustment reason.				Financial_ Adjustment Reason	Code				
	CC	Code. Content	A character string used to represent a financial adjustment reason.	Financial_ Adjustment Reason	Code				1	1	UNECE_AdjustmentReasonCodeFinancial_D19B.TXT	
	SC	Code List. Identifier		Financial_ Adjustment Reason	Code List	Identifier		Identifier	0	1		4465_Financial
	SC	Code List. Agency. Identifier		Financial_ Adjustment Reason	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Financial_ Adjustment Reason	Code List	Version		Identifier	0	1		D19B
UN02000186	DT	Financing Status_ Code. Type	A character string used to specify a financing status.				Financing Status	Code				
	CC	Code. Content	A character string used to specify a financing status.	Accounting Account Status	Code				1	1	FinancingStatus_D19B.TXT	
	SC	Code List. Identifier		Accounting Account Status	Code List	Identifier		Identifier	0	1		Financing Status 
	SC	Code List. Agency. Identifier		Accounting Account Status	Code List	Agency		Identifier	0	1		5
	SC	Code List. Version. Identifier		Accounting Account Status	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Accounting Account Status	Code List	Uniform Resource		Identifier	0	1		https://www.iso20022.org/standardsrepository/public/wqt/Description/mx/dico/codesets/_ZUFYg9p-Ed-ak6NoX_4Aeg_1488265087
UN02000188	DT	Financing Status Reason_ Code. Type	A character string used to specify a financing status reason.				Financing Status Reason	Code				
	CC	Code. Content	A character string used to specify a financing status reason.	Accounting Account Type	Code				1	1	FinancingStatusReason_D19B.TXT	
	SC	Code List. Identifier		Accounting Account Type	Code List	Identifier		Identifier	0	1		Financing Status Reason
	SC	Code List. Agency. Identifier		Accounting Account Type	Code List	Agency		Identifier	0	1		5
	SC	Code List. Version. Identifier		Accounting Account Type	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Accounting Account Type	Code List	Uniform Resource		Identifier	0	1		https://www.iso20022.org/standardsrepository/public/wqt/Description/mx/dico/codesets/_aqgY5Np-Ed-ak6NoX_4Aeg_1593858714
UN02000153	DT	Formatted_ Date Time. Type	A formatted point in the progression of time.				Formatted	Date Time				
	CC	Date Time. Content	A formatted point in the progression of time.	Formatted	Date Time				1	1		
	SC	Date Time. Format. Text		Formatted	Date Time	Format		Text	0	1	UNECE_TimePointFormatCode2379_D19B.TXT	
UN02000074	DT	Freight Charge Tariff Class_ Code. Type	A character string used to represent the freight charge tariff class.				Freight Charge Tariff Class	Code				
	CC	Code. Content	A character string used to represent the freight charge tariff class.	Freight Charge Tariff Class	Code				1	1	UNECE_FreightChargeTariffCode_D19B.TXT	
	SC	Code List. Identifier		Freight Charge Tariff Class	Code List	Identifier		Identifier	0	1		5243
	SC	Code List. Agency. Identifier		Freight Charge Tariff Class	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Freight Charge Tariff Class	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Freight Charge Tariff Class	Code	Name		Text	0	1		
UN02000097	DT	Freight Charge Type_ Identifier. Type	A character string used to represent the freight charge type.				Freight Charge Type	Identifier				
	CC	Identifier. Content	A character string used to represent the freight charge type.	Freight Charge Type	Identifier				1	1	UNECE_FreightCostCode_4.TXT	
	SC	Identification Scheme. Identifier		Freight Charge Type	Identification Scheme	Identifier		Identifier	0	1		Recommendation 23
	SC	Identification Scheme Agency. Identifier		Freight Charge Type	Identification Scheme Agency	Identifier		Identifier	0	1		6
	SC	Identification Scheme. Version. Identifier		Freight Charge Type	Identification Scheme	Version		Identifier	0	1		4
UN02000029	DT	Funding Type_ Code. Type	A character string used to represent or replace a type of funding.				Funding Type	Code				
	CC	Code. Content	A character string used to represent or replace a type of funding.	Funding Type	Code				1	1	UNECE_FundingTypeCode_D10B.TXT	
	SC	Code List. Identifier		Funding Type	Code List	Identifier		Identifier	0	1		9659
	SC	Code List. Agency. Identifier		Funding Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Funding Type	Code List	Version		Identifier	0	1		D10B
UN02000057	DT	Goods Type Extension_ Code. Type	A character string used to represent an extended type of goods.				Goods Type Extension	Code				
	CC	Code. Content	A character string used to represent an extended type of goods.	Goods Type Extension	Code				1	1	UNECE_GoodsTypeExtensionCode_D19B.TXT	
	SC	Code List. Identifier		Goods Type Extension	Code List	Identifier		Identifier	0	1		7361
	SC	Code List. Agency. Identifier		Goods Type Extension	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Goods Type Extension	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Goods Type Extension	Code	Name		Text	0	1		
UN02000058	DT	Goods Type_ Code. Type	A character string used to represent a type of goods.				Goods Type	Code				
	CC	Code. Content	A character string used to represent a type of goods.	Goods Type	Code				1	1	UNECE_GoodsTypeCode_D19B.TXT	
	SC	Code List. Identifier		Goods Type	Code List	Identifier		Identifier	0	1		7357
	SC	Code List. Agency. Identifier		Goods Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Goods Type	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Goods Type	Code	Name		Text	0	1		
UN02000040	DT	Government Action_ Code. Type	A character string used to replace or represent a government action.				Government Action	Code				
	CC	Code. Content	A character string used to replace or represent a government action.	Government Action	Code				1	1	UNECE_GovernmentActionCode_D19B.TXT	
	SC	Code List. Identifier		Government Action	Code List	Identifier		Identifier	0	1		9417
	SC	Code List. Agency. Identifier		Government Action	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Government Action	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Government Action	Code	Name		Text	0	1		
UN02000030	DT	Hierarchical Structure Type_ Code. Type	A character string used to represent or replace a type of hierarchical structure.				Hierarchical Structure Type	Code				
	CC	Code. Content	A character string used to represent or replace a type of hierarchical structure.	Hierarchical Structure Type	Code				1	1	UNECE_HierarchicalStructureTypeCode_D10B.TXT	
	SC	Code List. Identifier		Hierarchical Structure Type	Code List	Identifier		Identifier	0	1		9661
	SC	Code List. Agency. Identifier		Hierarchical Structure Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Hierarchical Structure Type	Code List	Version		Identifier	0	1		D10B
UN02000007	DT	IBAN_ Identifier. Type	A character string used to represent the International Bank Account Number Type.				IBAN	Identifier				
	CC	Identifier. Content	A character string used to represent the International Bank Account Number Type.	IBAN	Identifier				1	1		
	SC	Identification Scheme. Identifier		IBAN	Identification Scheme	Identifier		Identifier	0	1		13616
	SC	Identification Scheme Agency. Identifier		IBAN	Identification Scheme Agency	Identifier		Identifier	0	1		5
	SC	Identification Scheme. Version. Identifier		IBAN	Identification Scheme	Version		Identifier	0	1		2007
UN02000113	DT	Invoice_ Document_ Code. Type	A character string used to represent a type of invoice document.				Invoice_ Document	Code				
	CC	Code. Content	A character string used to represent a type of invoice document.	Invoice_ Document	Code				1	1	UNECE_DocumentNameCodeInvoice_D19B.TXT	
	SC	Code List. Identifier		Invoice_ Document	Code List	Identifier		Identifier	0	1		1001_Invoice
	SC	Code List. Agency. Identifier		Invoice_ Document	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Invoice_ Document	Code List	Version		Identifier	0	1		D19B
UN02000144	DT	Language_ Code. Type	A character string used to represent a language.				Language	Code				
	CC	Code. Content	A character string used to represent a language.	Language	Code				1	1	ISO_ISOAlpha2LanguageCode_20061027.TXT	
	SC	Code List. Identifier		Language	Code List	Identifier		Identifier	0	1		ISO 639-1 2A
	SC	Code List. Agency. Identifier		Language	Code List	Agency		Identifier	0	1		5
	SC	Code List. Version. Identifier		Language	Code List	Version		Identifier	0	1		2006/10/27
UN02000050	DT	Language_ Identifier. Type	A character string used to represent a language.				Language	Identifier				
	CC	Identifier. Content	A character string used to represent a language.	Language	Identifier				1	1	ISO_ISOAlpha2LanguageCode_20061027.TXT	
	SC	Identification Scheme. Identifier		Language	Identification Scheme	Identifier		Identifier	0	1		ISO 639-1 2A
	SC	Identification Scheme Agency. Identifier		Language	Identification Scheme Agency	Identifier		Identifier	0	1		5
	SC	Identification Scheme. Version. Identifier		Language	Identification Scheme	Version		Identifier	0	1		2006/10/27
UN02000138	DT	Lifetime End Cost_ Code. Type	A character string used to represent the type of a lifetime end cost.				Lifetime End Cost	Code				
	CC	Code. Content	A character string used to represent the type of a lifetime end cost.	Lifetime End Cost	Code				1	1	EDIFICASEU_LifetimeEndCost_D11A.TXT	
	SC	Code List. Identifier		Lifetime End Cost	Code List	Identifier		Identifier	0	1		AccountingE206
	SC	Code List. Agency. Identifier		Lifetime End Cost	Code List	Agency		Identifier	0	1		210
	SC	Code List. Version. Identifier		Lifetime End Cost	Code List	Version		Identifier	0	1		D11A
	SC	Code List. Uniform Resource. Identifier		Lifetime End Cost	Code List	Uniform Resource		Identifier	0	1		http://www.edificas.eu/index.php/eng/Download/Code-lists
UN02000124	DT	Line Status_ Code. Type	A character string used to represent a line status.				Line Status	Code				
	CC	Code. Content	A character string used to represent a line status.	Line Status	Code				1	1	UNECE_LineStatusCode_D19B.TXT	
	SC	Code List. Identifier		Line Status	Code List	Identifier		Identifier	0	1		1229
	SC	Code List. Agency. Identifier		Line Status	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Line Status	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Line Status	Code List	Uniform Resource		Identifier	0	1		
UN02000092	DT	Linear_ Unit_ Measure. Type	The numeric value determined by linear measuring.				Linear_ Unit	Measure				
	CC	Measure. Content	The numeric value determined by linear measuring.	Linear	Measure				1	1		
	SC	Measure Unit. Code		Linear	Measure Unit	Code		Code	0	1	UNECE_MeasurementUnitCommonCodeLinear_4.TXT	
	SC	Measure Unit. Code List Version. Identifier		Linear	Measure Unit	Code List Version		Identifier	0	1		4
UN02000041	DT	Location Function_ Code. Type	A character string used to replace or represent a location function.				Location Function	Code				
	CC	Code. Content	A character string used to replace or represent a location function.	Location Function	Code				1	1	UNECE_LocationFunctionCode_D19B.TXT	
	SC	Code List. Identifier		Location Function	Code List	Identifier		Identifier	0	1		3227
	SC	Code List. Agency. Identifier		Location Function	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Location Function	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Location Function	Code	Name		Text	0	1		
UN02000051	DT	Logistics Charge Calculation Basis_ Code. Type	A character string used to represent the type of basis on which logistic charges are to be calculated.				Logistics Charge Calculation Basis	Code				
	CC	Code. Content	A character string used to represent the type of basis on which logistic charges are to be calculated.	Logistics Charge Calculation Basis	Code				1	1	UNECE_FreightChargeQuantityUnitBasisCode_D19B.TXT	
