Unique UN Assigned ID	 ABIE/ BBIE/ ASBIE/ACC/BCC/ASCC/DT/CC/SC	"Dictionary Entry Name
(auto generated)"	"Definition
Mandatory"	Object Class Term	Property Term	Representation Term	Associated Object Class	Business Term(s)	Usage Rule(s)	Occurrence Min	Occurrence Max	Short Name
UN00000307	BCC	Currency Exchange. Conversion Rate. Date Time	"The date, time, date time or other date time value of the conversion rate for this currency exchange."	Currency Exchange	Conversion Rate	Date Time				0	1	Conversion Rate Date Time
UN00002651	BCC	Currency Exchange. Rate Type. Code	The code specifying the type of rate for this currency exchange.	Currency Exchange	Rate Type	Code				0	1	Rate Type Code
UN00000308	ASCC	Currency Exchange. Applicable. Contract	Contract information applicable to this currency exchange.	Currency Exchange	Applicable		Contract			0	unbounded	Applicable Contract
UN00003189	ASCC	Currency Exchange. Referenced. Document	A referenced document for this currency exchange.	Currency Exchange	Referenced		Document			0	unbounded	Referenced Document
UN00008267	ASCC	Currency Exchange. Associated. Document	An associated document for this currency exchange.	Currency Exchange	Associated		Document			0	unbounded	Associated Document
UN00002430	ACC	Current Coverage Claim Free Record. Details	Information based upon claims history that is used in a premium pricing mechanism for the current coverage.	Current Coverage Claim Free Record								Current Coverage Claim Free Record
UN00002431	BCC	Current Coverage Claim Free Record. Claim Count. Quantity	The number of claims on which a claim free record level code is based.	Current Coverage Claim Free Record	Claim Count	Quantity				0	1	Number Of Claims
UN00002432	BCC	Current Coverage Claim Free Record. Period. Code	"The code specifying the period of coverage for the current policy to which the claim free record applies, e.g. actual year, previous year, two years ago."	Current Coverage Claim Free Record	Period	Code				0	1	Period Code
UN00002433	ASCC	Current Coverage Claim Free Record. Specified. Claim Free Record	The claim free record specified for this current coverage claim free record.	Current Coverage Claim Free Record	Specified		Claim Free Record			0	1	Specified Claim Free Record
UN00008510	ACC	Custody. Details	The control and care of a person or property.	Custody								Custody
UN00008511	BCC	Custody. Average. Amount	The average monetary value for this custody.	Custody	Average	Amount				0	1	Average Amount
UN00008512	BCC	Custody. Maximum. Amount	The maximum monetary value for this custody.	Custody	Maximum	Amount				0	1	Maximum Amount
UN00008513	ASCC	Custody. Specified. Location	A location specified for this custody.	Custody	Specified		Location			0	unbounded	Location
UN00008514	ASCC	Custody. Specified. Period	A period specified for this custody.	Custody	Specified		Period			0	unbounded	Period
UN00003279	ACC	Customer Class. Details	The conditions and requirements of the type of person who may use or purchase a product.	Customer Class								Customer Class
UN00003280	BCC	Customer Class. Category. Code	"The code specifying the category of a customer class, such as adult or child."	Customer Class	Category	Code				0	1	Category Code
UN00003281	BCC	Customer Class. Category Name. Text	"The category name, expressed as text, of a customer class."	Customer Class	Category Name	Text				0	1	Category Name
UN00003282	BCC	Customer Class. Upper Age Limit. Numeric	The upper age limit in number of years for the category of a customer class.	Customer Class	Upper Age Limit	Numeric				0	1	Upper Age Limit Numeric
UN00003283	BCC	Customer Class. Lower Age Limit. Numeric	The lower age limit in number of years for the category of a customer class.	Customer Class	Lower Age Limit	Numeric				0	1	Lower Age Limit Numeric
UN00003284	BCC	Customer Class. Gender. Code	The code specifying the gender in a customer class.	Customer Class	Gender	Code				0	1	Gender Code
UN00003285	BCC	Customer Class. Meal Service Category. Code	The code specifying the meal service category for a customer class.	Customer Class	Meal Service Category	Code				0	1	Meal Service Category Code
UN00003286	BCC	Customer Class. Special Bedding Service Offered. Indicator	The indication of whether or not special bedding service is offered for a customer class.	Customer Class	Special Bedding Service Offered	Indicator				0	1	Special Bedding Service Offered Indicator
UN00003287	BCC	Customer Class. Description. Text	The textual description of a customer class.	Customer Class	Description	Text				0	1	Description
UN00001860	ACC	Customs Procedure. Details	Any procedure based on the World Customs Organization (WCO) Kyoto Convention and related to the border crossing of internationally traded goods.	Customs Procedure								Deprecated Customs Procedure
UN00001861	BCC	Customs Procedure. Type. Code	A code specifying a type of customs procedure.	Customs Procedure	Type	Code				0	unbounded	Deprecated Type Code
UN00001862	BCC	Customs Procedure. Previous Procedure. Code	A code specifying a procedure which has been completed prior to this customs procedure.	Customs Procedure	Previous Procedure	Code				0	unbounded	Deprecated Previous Procedure Code
UN00001863	BCC	Customs Procedure. Goods Status. Code	A code specifying a status of goods for this customs procedure.	Customs Procedure	Goods Status	Code				0	unbounded	Deprecated Goods Status Code
UN00001864	BCC	Customs Procedure. Request Override. Code	"A code specifying a request, including a reason, to override previously submitted information for this customs procedure, such as due to an error condition."	Customs Procedure	Request Override	Code				0	unbounded	Deprecated Request Override Code
UN00001865	BCC	Customs Procedure. Guarantee. Code	"The code specifying an undertaking given in cash, bond or as a written guarantee to ensure that an obligation will be fulfilled for this customs procedure."	Customs Procedure	Guarantee	Code				0	1	Deprecated Guarantee Code
UN00001866	BCC	Customs Procedure. Guarantee. Text	"The undertaking, expressed as text, given in cash, bond or as a written guarantee to ensure that an obligation will be fulfilled for this customs procedure."	Customs Procedure	Guarantee	Text				0	1	Deprecated Guarantee Text
UN00001867	BCC	Customs Procedure. Transaction Nature. Code	A code specifying the nature of a transaction for this customs procedure.	Customs Procedure	Transaction Nature	Code				0	unbounded	Deprecated Transaction Nature Code
UN00001868	BCC	Customs Procedure. Valuation Basis. Amount	"The monetary value of the basis on which the valuation is, or will be, calculated for this customs procedure."	Customs Procedure	Valuation Basis	Amount				0	1	Deprecated Valuation Basis Amount
UN00001869	BCC	Customs Procedure. Total Consignment Value. Amount	"The total monetary value for customs purposes of a consignment of goods whether or not all of the goods are subject to the same customs procedure or have the same tariff/statistical heading, country information and duty regime."	Customs Procedure	Total Consignment Value	Amount				0	1	Deprecated Total Consignment Value Amount
UN00001870	BCC	Customs Procedure. Tariff. Quantity	"A tariff quantity, used for the calculation of duty, under this customs procedure."	Customs Procedure	Tariff	Quantity				0	unbounded	Deprecated Tariff Quantity
UN00001871	BCC	Customs Procedure. Tariff Deduction. Quantity	A quantity to be deducted from the tariff quantity for the calculation of duty under this customs procedure.	Customs Procedure	Tariff Deduction	Quantity				0	unbounded	Deprecated Tariff Deduction Quantity
UN00001872	BCC	Customs Procedure. Performance. Date Time	"A date, time, date time, or other date time value on which this customs procedure was, or will be, performed."	Customs Procedure	Performance	Date Time				0	unbounded	Deprecated Performance Date Time
UN00001873	BCC	Customs Procedure. Declarant Assigned Declaration. Identifier	The unique identifier of a customs declaration relating to this customs procedure as assigned by the declarant.	Customs Procedure	Declarant Assigned Declaration	Identifier				0	1	Deprecated Declarant Assigned Declaration IF
UN00001874	BCC	Customs Procedure. Export License Control Classification. Identifier	"The unique identifier of the export licence classification for control purposes relevant to this customs procedure, such as per the Wassenaar agreement concerning trade in weapons and dual-use goods and technologies."	Customs Procedure	Export License Control Classification	Identifier				0	1	Deprecated Export License Control Classification ID
UN00001875	BCC	Customs Procedure. Control Start Date Confirmation. Indicator	The indication of whether or not the start date of a control has been confirmed for this customs procedure.	Customs Procedure	Control Start Date Confirmation	Indicator				0	1	Deprecated Control Start Date Confirmation Indicator
UN00001876	BCC	Customs Procedure. Control Requirement. Indicator	The indication of whether or not a control is required for this customs procedure.	Customs Procedure	Control Requirement	Indicator				0	1	Deprecated Control Requirement Indicator
UN00001877	BCC	Customs Procedure. Duty Payable. Amount	A monetary value of the duty payable for this customs procedure.	Customs Procedure	Duty Payable	Amount				0	unbounded	Deprecated Due Payable Amount
UN00001878	BCC	Customs Procedure. Other Charges Payable. Amount	A monetary value of all other charges payable for this customs procedure.	Customs Procedure	Other Charges Payable	Amount				0	unbounded	Deprecated Other Charges Payable Amount
UN00001879	BCC	Customs Procedure. Total Payable. Amount	A monetary value of the total payable for this customs procedure including duty and other charges.	Customs Procedure	Total Payable	Amount				0	unbounded	Deprecated Total Payable Amount
UN00002909	BCC	Customs Procedure. Information. Text	"Information, expressed as text, for this customs procedure."	Customs Procedure	Information	Text				0	unbounded	Deprecated Information
UN00002910	BCC	Customs Procedure. Tariff Quota. Identifier	A unique identifier of a tariff quota for this customs procedure.	Customs Procedure	Tariff Quota	Identifier				0	unbounded	Deprecated Tariff Quota ID
UN00002911	BCC	Customs Procedure. Deferred Payment Method. Indicator	The indication of whether or not the total payable for this customs procedure will be made by the deferred payment method.	Customs Procedure	Deferred Payment Method	Indicator				0	1	Deprecated Deferred Payment Method Indicator
UN00002912	BCC	Customs Procedure. Control Result. Text	"A control result, expressed as text, for this customs procedure."	Customs Procedure	Control Result	Text				0	unbounded	Deprecated Control Result
UN00002913	BCC	Customs Procedure. Origin Criteria. Text	"The origin criteria, expressed as text, for this customs procedure."	Customs Procedure	Origin Criteria	Text				0	1	Deprecated Origin Criteria
UN00002981	BCC	Customs Procedure. Control Duration. Measure	"A control duration measure of time for this customs procedure, such as the number of days or hours."	Customs Procedure	Control Duration	Measure				0	unbounded	Deprecated Control Duration
UN00002982	BCC	Customs Procedure. Amendment Reason. Code	A code specifying a reason for an amendment to this customs procedure.	Customs Procedure	Amendment Reason	Code				0	unbounded	Deprecated Amendment Reason Code
UN00002983	BCC	Customs Procedure. Subordinate Category. Code	A code specifying a subordinate category for this customs procedure.	Customs Procedure	Subordinate Category	Code				0	unbounded	Deprecated Subordinate Category Code
UN00001880	ASCC	Customs Procedure. Previous. Document	A previous document related to this customs procedure.	Customs Procedure	Previous		Document			0	unbounded	Deprecated Previous Document
UN00001881	ASCC	Customs Procedure. Additional. Document	An additional document relevant to this customs procedure.	Customs Procedure	Additional		Document			0	unbounded	Deprecated Additional Document
UN00001882	ASCC	Customs Procedure. Consignment. Customs Valuation	The customs valuation of the consignment of goods subject to this customs procedure.	Customs Procedure	Consignment		Customs Valuation			0	1	Deprecated Customs Valuation
UN00001883	ASCC	Customs Procedure. Applicable. Tax	"A tax, levy or duty applicable to this customs procedure."	Customs Procedure	Applicable		Tax			0	unbounded	Deprecated Tax
UN00001884	ASCC	Customs Procedure. Entry Customs Office. Location	"The location of the customs office at which the goods subject to this customs procedure will enter, or have entered, the customs territory of entry."	Customs Procedure	Entry Customs Office		Location			0	1	Deprecated Entry Customs Office Location
UN00001885	ASCC	Customs Procedure. Exit Customs Office. Location	The location of the customs office at which the goods subject to this customs procedure leave or are intended to leave the customs territory of exit.	Customs Procedure	Exit Customs Office		Location			0	1	Deprecated Exit Customs Office Location
UN00001886	ASCC	Customs Procedure. Transit Customs Office. Location	The location of the customs office which is responsible for transit formalities en route for the goods which are subject to this customs procedure.	Customs Procedure	Transit Customs Office		Location			0	1	Deprecated Transit Customs Office Location
UN00001887	ASCC	Customs Procedure. Transit Release Customs Office. Location	"The location of the customs office at which the goods subject to this customs procedure are released, or have been released, from a customs transit regime."	Customs Procedure	Transit Release Customs Office		Location			0	1	Deprecated Transit Release Customs Office Location
UN00001888	ASCC	Customs Procedure. Declaration Lodgement. Location	The location at which a declaration has been lodged for this customs procedure.	Customs Procedure	Declaration Lodgement		Location			0	1	Deprecated Declation Lodgement Location
UN00001889	ASCC	Customs Procedure. Payment Office. Location	"The location of a customs office at which a payment relevant to this customs procedure is to be, or has been, made."	Customs Procedure	Payment Office		Location			0	1	Deprecated Payment Office Location
UN00001890	ASCC	Customs Procedure. Statement. Note	A statement note for this customs procedure.	Customs Procedure	Statement		Note			0	unbounded	Deprecated Note
UN00002914	ASCC	Customs Procedure. Specified. Financial Account	A financial account specified for this customs procedure.	Customs Procedure	Specified		Financial Account			0	unbounded	Deprecated Financial Account
UN00002915	ASCC	Customs Procedure. Reported. Status	A status reported for this customs procedure.	Customs Procedure	Reported		Status			0	unbounded	Deprecated Reported Status
UN00002916	ASCC	Customs Procedure. Exemption Claimant. Party	A party who claims an exemption from this customs procedure.	Customs Procedure	Exemption Claimant		Party			0	unbounded	Deprecated Exemption Claimant Party
UN00002984	ASCC	Customs Procedure. Consignment Destination. Location	A consignment destination location for this customs procedure.	Customs Procedure	Consignment Destination		Location			0	unbounded	Deprecated Consignment Destination Location
UN00002985	ASCC	Customs Procedure. Export Customs Office. Location	The location of the responsible customs office for export formalities for the goods which are subject to this customs procedure.	Customs Procedure	Export Customs Office		Location			0	1	Deprecated Export Customs Office Location
UN00002986	ASCC	Customs Procedure. Import Customs Office. Location	The location of the responsible customs office for import formalities for the goods which are subject to this customs procedure.	Customs Procedure	Import Customs Office		Location			0	1	Deprecated Import Customs Office Location
UN00002987	ASCC	Customs Procedure. Applicable. Currency Exchange	The applicable currency exchange for this customs procedure.	Customs Procedure	Applicable		Currency Exchange			0	1	Deprecated Currency Exchange
UN00002053	ACC	Customs Valuation. Details	"An assessment of the worth of an object, such as its monetary value, for customs purposes."	Customs Valuation								Customs Valuation
UN00002054	BCC	Customs Valuation. Adjustment. Amount	A monetary value of an adjustment for this customs valuation.	Customs Valuation	Adjustment	Amount				0	unbounded	Adjustment Amount
UN00002055	BCC	Customs Valuation. Adjustment. Percent	"An adjustment, expressed as a percentage, for this customs valuation."	Customs Valuation	Adjustment	Percent				0	unbounded	Adjustment Percent
UN00002056	BCC	Customs Valuation. Method. Code	"A code specifying the method by which the customs valuation has been, or will be, determined."	Customs Valuation	Method	Code				0	unbounded	Method Code
UN00002057	BCC	Customs Valuation. WTO Addition. Code	The code specifying any additions necessary under the World Trade Organization (WTO) Valuation Agreement used for the assessment of this customs valuation.	Customs Valuation	WTO Addition	Code				0	1	WTO Addition Code
UN00002058	BCC	Customs Valuation. Charge Apportion Method. Code	The code specifying the method of the apportion of charges for this customs valuation.	Customs Valuation	Charge Apportion Method	Code				0	1	Charge Apportion Method Code
UN00002917	BCC	Customs Valuation. Buyer Seller Relationship Price Influence. Indicator	The indication of whether or not the buyer seller relationship influences the price of the goods for this customs valuation.	Customs Valuation	Buyer Seller Relationship Price Influence	Indicator				0	1	Buyer Seller Relationship Price Influence Indicator
UN00002918	BCC	Customs Valuation. Sale Restriction. Indicator	The indication of whether or not there is any restriction imposed on the sale of the goods for this customs valuation.	Customs Valuation	Sale Restriction	Indicator				0	1	Sale Restriction Indicator
UN00002919	BCC	Customs Valuation. Sale Price Condition. Indicator	The indication of whether or not there is any condition imposed on the sale price of the goods for this customs valuation.	Customs Valuation	Sale Price Condition	Indicator				0	1	Sale Price Condition Indicator
UN00002920	BCC	Customs Valuation. Royalty License Fee. Indicator	The indication of whether or not there is any royalty or licence fee related to the goods for this customs valuation.	Customs Valuation	Royalty License Fee	Indicator				0	1	Royalty Licence Fee Indicator
UN00002988	BCC	Customs Valuation. Other Charge. Amount	A monetary value added or subtracted from the total invoice price not previously taken into account for this customs valuation.	Customs Valuation	Other Charge	Amount				0	unbounded	Other Charge Amount
UN00002989	BCC	Customs Valuation. Buyer Seller Relationship. Indicator	"The indication of whether or not there is a relationship between the buyer and the seller, such as a financial relationship."	Customs Valuation	Buyer Seller Relationship	Indicator				0	1	Buyer Seller Relationship Indicator
UN00005826	BCC	Customs Valuation. Charge Type. Code	A code specifying the type of charge for this customs valuation.	Customs Valuation	Charge Type	Code				0	unbounded	Charge Type Code
UN00005827	BCC	Customs Valuation. Freight Charge. Amount	"A monetary value of a freight charge for this customs valuation, such as the costs incurred by the shipper in moving goods, by whatever means, from one place to another under the terms of the contract of carriage."	Customs Valuation	Freight Charge	Amount				0	unbounded	Freight Charge Amount
UN00005828	BCC	Customs Valuation. Total Export Exit To Import Entry. Amount	"The monetary value of the total charge or charges of freight, insurance and all other costs and expenses calculated from the export exit location to the import entry location for this customs valuation."	Customs Valuation	Total Export Exit To Import Entry	Amount				0	1	Total Export Exit To Import Entry Amount
UN00006552	BCC	Customs Valuation. Type. Code	The code specifying the type of customs valuation.	Customs Valuation	Type	Code				0	1	Type Code
UN00008596	BCC	Customs Valuation. Sale Restriction. Text	"A restriction, expressed as text, imposed on the sale of the goods for this customs valuation."	Customs Valuation	Sale Restriction	Text				0	unbounded	Sale Restriction Text
UN00002921	ASCC	Customs Valuation. Applicable. Currency Exchange	The currency exchange applicable to this customs valuation.	Customs Valuation	Applicable		Currency Exchange			0	1	Applicable Currency Exchange
UN00005829	ASCC	Customs Valuation. Loading. Event	A loading event referred to in this customs valuation.	Customs Valuation	Loading		Event			0	unbounded	Loading Event
UN00005830	ASCC	Customs Valuation. Goods. Payment Terms	The terms and conditions by which payment has been or will be made for the goods which are subject to this customs valuation.	Customs Valuation	Goods		Payment Terms			0	1	Goods Payment Terms
UN00006222	ACC	Damage Area. Details	"A specific part of an object that has lost its original capability or condition, such as after an accident."	Damage Area								Damage Area
UN00006223	BCC	Damage Area. Position. Code	"The code specifying the position of the damage area, such as front of vehicle, back of vehicle."	Damage Area	Position	Code				0	1	Position Code
UN00006224	BCC	Damage Area. Position Description. Text	The textual description of the position of the damage area.	Damage Area	Position Description	Text				0	1	Position Description
UN00006225	BCC	Damage Area. Severity. Code	The code specifying the severity of damage for the damage area.	Damage Area	Severity	Code				0	1	Severity Code
UN00008515	BCC	Damage Area. Damage Type. Code	A code specifying a type of damage to the damage area.	Damage Area	Damage Type	Code				0	unbounded	Damage Type Code
UN00007112	ACC	Damage. Details	"Loss or harm to persons, animals or the environment resulting from one or more hazards."	Damage								Damage
UN00007113	BCC	Damage. Severity. Indicator	The indication of whether or not this damage is severe.	Damage	Severity	Indicator				0	1	Severity Indicator
UN00007114	BCC	Damage. Affected Subject. Code	"A code specifying subjects affected by this damage, such as environment, animal health or human health."	Damage	Affected Subject	Code				0	unbounded	Affected Subject Code
UN00007115	BCC	Damage. Severity Justification. Text	"A severity justification, expressed as text, for this damage."	Damage	Severity Justification	Text				0	unbounded	Severity Justification Text
UN00007116	BCC	Damage. Affected Case. Numeric	A number of affected cases for this damage.	Damage	Affected Case	Numeric				0	unbounded	Number Of Affected Cases
UN00007117	BCC	Damage. Symptom. Text	"Symptoms, expressed as text, for this damage."	Damage	Symptom	Text				0	unbounded	Symptom Text
UN00007118	ASCC	Damage. Observed. Health Hazard	A health hazard observed in relation to this damage.	Damage	Observed		Health Hazard			0	unbounded	Observed Health Hazard
UN00001573	ACC	Dangerous Goods. Details	A hazardous or non-hazardous substance which may pose risks to people and/or the environment for which the transportation is regulated by dangerous goods regulations.	Dangerous Goods								Dangerous Goods
UN00001574	BCC	Dangerous Goods. UNDG Identification. Code	The code specifying the unique United Nations Dangerous Goods (UNDG) number assigned to the dangerous goods.	Dangerous Goods	UNDG Identification	Code				0	1	UNDG ID
UN00001575	BCC	Dangerous Goods. Regulatory Authority Name. Text	"The name, expressed as text, for the regulatory authority for the dangerous goods."	Dangerous Goods	Regulatory Authority Name	Text				0	1	Regulatory Authority Name
UN00001576	BCC	Dangerous Goods. Regulation. Code	A code specifying a regulation applicable to the dangerous goods.	Dangerous Goods	Regulation	Code				0	unbounded	Regulation Code
UN00001577	BCC	Dangerous Goods. Regulation Name. Text	"A name, expressed as text, for a regulation of the dangerous goods."	Dangerous Goods	Regulation Name	Text				0	unbounded	Regulation Name
UN00001578	BCC	Dangerous Goods. Technical Name. Text	"A technical name, expressed as text, for the dangerous goods."	Dangerous Goods	Technical Name	Text			"Proper shipping name for these dangerous goods, supplemented as necessary with the correct technical name, by which this dangerous substance or article may be correctly identified or which is sufficiently informative to permit identification by reference to generally available literature."	0	unbounded	Technical Name
UN00001579	BCC	Dangerous Goods. Information. Text	Textual information for the dangerous goods.	Dangerous Goods	Information	Text				0	unbounded	Information
UN00001580	BCC	Dangerous Goods. EMS. Identifier	The unique transport emergency procedure (EMS) identifier applicable for the dangerous goods.	Dangerous Goods	EMS	Identifier		Emergency Procedures for Ships Carrying Dangerous Goods Number		0	1	EMS ID
UN00001582	BCC	Dangerous Goods. TREM. Identifier	The unique TRansport EMergency (TREM) card identifier for the dangerous goods.	Dangerous Goods	TREM	Identifier		TRansport Emergency Card Number		0	1	TREM ID
UN00001583	BCC	Dangerous Goods. Upper Part Orange Hazard Placard. Identifier	The unique upper part of the orange hazard placard identifier for the dangerous goods.	Dangerous Goods	Upper Part Orange Hazard Placard	Identifier				0	1	Upper Part Orange Hazard Placard ID
UN00001584	BCC	Dangerous Goods. Lower Part Orange Hazard Placard. Identifier	The unique lower part of the orange hazard placard identifier of the dangerous goods.	Dangerous Goods	Lower Part Orange Hazard Placard	Identifier				0	1	Lower Part Orange Hazard Placard ID
UN00001581	BCC	Dangerous Goods. MFAG. Identifier	The unique Medical First Aid Guide (MFAG) identifier for the dangerous goods.	Dangerous Goods	MFAG	Identifier		Medical First Aid Guide Number		0	1	MFAG ID
UN00001585	BCC	Dangerous Goods. Packaging Danger Level. Code	A code specifying the packaging danger level for the dangerous goods.	Dangerous Goods	Packaging Danger Level	Code				0	unbounded	Packaging Danger Level Code
UN00001586	BCC	Dangerous Goods. Marking. Identifier	The unique identifier of the marking of the dangerous goods.	Dangerous Goods	Marking	Identifier				0	1	Marking ID
UN00001587	BCC	Dangerous Goods. Packing Instruction Type. Code	A code specifying a type of packing instruction for the dangerous goods.	Dangerous Goods	Packing Instruction Type	Code				0	unbounded	Packing Instruction Type Code
UN00001588	BCC	Dangerous Goods. Pollutant Level. Code	A code specifying the level of pollution of the dangerous goods.	Dangerous Goods	Pollutant Level	Code				0	unbounded	Pollutant Level Code
UN00001589	BCC	Dangerous Goods. Gross Weight. Measure	A measure of the weight (mass) of these dangerous goods including packaging but excluding transport equipment.	Dangerous Goods	Gross Weight	Measure				0	unbounded	Gross Weight
UN00001590	BCC	Dangerous Goods. Hazard Type. Code	A code specifying the type of hazard for the dangerous goods.	Dangerous Goods	Hazard Type	Code				0	unbounded	Hazard Type Code
UN00001591	BCC	Dangerous Goods. Hazard Classification. Identifier	A unique identifier for this hazard classification for the dangerous goods.	Dangerous Goods	Hazard Classification	Identifier				0	unbounded	Hazard Classification ID
UN00001592	BCC	Dangerous Goods. Hazard Class Version. Identifier	The unique identifier of the version of a hazard class for the dangerous goods.	Dangerous Goods	Hazard Class Version	Identifier				0	1	Hazard Class Version ID
UN00001593	BCC	Dangerous Goods. Gross Volume. Measure	"A measure of the gross volume, normally calculated by multiplying the maximum length, width and height of the dangerous goods."	Dangerous Goods	Gross Volume	Measure		Cube		0	unbounded	Gross Volume
UN00001594	BCC	Dangerous Goods. Pollutant. Indicator	An indication of whether or not the dangerous goods have a pollutant content.	Dangerous Goods	Pollutant	Indicator				0	unbounded	Pollutant Indicator
UN00001891	BCC	Dangerous Goods. Net Weight. Measure	A measure of the net weight of these dangerous goods.	Dangerous Goods	Net Weight	Measure				0	unbounded	Net Weight
UN00002922	BCC	Dangerous Goods. Subsidiary Risk. Identifier	The subsidiary risk identifier for these dangerous goods.	Dangerous Goods	Subsidiary Risk	Identifier				0	1	Subsidiary Risk ID
UN00002923	BCC	Dangerous Goods. Remark. Text	"A remark, expressed as text, for these dangerous goods."	Dangerous Goods	Remark	Text				0	unbounded	Remark
UN00003233	BCC	Dangerous Goods. Marking. Text	"Marking, expressed as text, for these dangerous goods."	Dangerous Goods	Marking	Text				0	unbounded	Marking Text
UN00004692	BCC	Dangerous Goods. Proper Shipping Name. Text	"The proper shipping name, expressed as text, for the dangerous goods, such as chemical kit."	Dangerous Goods	Proper Shipping Name	Text				0	1	Proper Shipping Name
UN00004693	BCC	Dangerous Goods. Compatibility Group. Code	The code specifying the compatibility group for the dangerous goods.	Dangerous Goods	Compatibility Group	Code				0	1	Compatibility Group Code
UN00004694	BCC	Dangerous Goods. Reportable. Quantity	The reportable quantity for the dangerous goods.	Dangerous Goods	Reportable	Quantity				0	1	Reportable Quantity
UN00004695	BCC	Dangerous Goods. Tunnel Restriction. Code	The code specifying the tunnel restriction for the dangerous goods.	Dangerous Goods	Tunnel Restriction	Code				0	1	Tunnel Restriction Code
UN00004696	BCC	Dangerous Goods. Special Provision. Identifier	The unique identifier of the special provision for the dangerous goods.	Dangerous Goods	Special Provision	Identifier				0	1	Special Provision ID
UN00004697	BCC	Dangerous Goods. Category. Code	"The code specifying the category for the dangerous goods, such as I-White, II-Yellow or III-Yellow."	Dangerous Goods	Category	Code				0	1	Category Code
UN00004698	BCC	Dangerous Goods. IMDG Segregation Group. Code	The code specifying the IMDG (International Maritime Dangerous Goods regulation) segregation group for the dangerous goods.	Dangerous Goods	IMDG Segregation Group	Code				0	1	IMDG Segregation Group Code
UN00004699	BCC	Dangerous Goods. Q-Value. Numeric	The number of the Q-Value for the dangerous goods.	Dangerous Goods	Q-Value	Numeric				0	1	Q-Value Numeric
UN00006066	BCC	Dangerous Goods. Limited Quantity. Code	A code specifying facilitations for transport of limited quantities of these dangerous goods.	Dangerous Goods	Limited Quantity	Code				0	unbounded	Limited Quantity Code
UN00006553	BCC	Dangerous Goods. Package Type. Code	The code specifying the package type for the dangerous goods.	Dangerous Goods	Package Type	Code				0	1	Package Type Code
UN00001595	ASCC	Dangerous Goods. Transport Expert. Contact	A transport expert contact for the dangerous goods.	Dangerous Goods	Transport Expert		Contact			0	unbounded	Transport Expert Contact
UN00001596	ASCC	Dangerous Goods. Emergency. Contact	A person or department to be contacted in the event of any emergency related to the dangerous goods.	Dangerous Goods	Emergency		Contact			0	unbounded	Emergency Contact
UN00001597	ASCC	Dangerous Goods. Flashpoint Temperature. Measurement	A measurement of the flashpoint temperature of the dangerous goods.	Dangerous Goods	Flashpoint Temperature		Measurement			0	unbounded	Flashpoint Temperature Measurement
UN00001598	ASCC	Dangerous Goods. Transported. Hazardous Material	A hazardous material transported in the dangerous goods.	Dangerous Goods	Transported		Hazardous Material			0	unbounded	Transported Hazardous Material
UN00004700	ASCC	Dangerous Goods. Control Temperature. Measurement	A measurement of the control temperature of the dangerous goods.	Dangerous Goods	Control Temperature		Measurement			0	unbounded	Control Temperature Measurement
UN00004701	ASCC	Dangerous Goods. Emergency Temperature. Measurement	A measurement of the emergency temperature of the dangerous goods.	Dangerous Goods	Emergency Temperature		Measurement			0	unbounded	Emergency Temperature Measurement
UN00004702	ASCC	Dangerous Goods. Radioactive. Material	A radioactive material in the dangerous goods.	Dangerous Goods	Radioactive		Material			0	unbounded	Radioactive Material
UN00006554	ASCC	Dangerous Goods. Handling. Instructions	Handling instructions for the dangerous goods.	Dangerous Goods	Handling		Instructions			0	unbounded	Handling Instructions
UN00006555	ASCC	Dangerous Goods. Associated. Transport Equipment	Transport equipment associated with the dangerous goods.	Dangerous Goods	Associated		Transport Equipment			0	unbounded	Associated Transport Equipment
UN00008653	ASCC	Dangerous Goods. Specified. Package	A package specified for these dangerous goods.	Dangerous Goods	Specified		Package			0	unbounded	Package
UN00008533	ACC	Data Backup. Details	Information relating to media and data backup practices.	Data Backup								Data Backup
UN00008534	BCC	Data Backup. Frequency. Code	A code specifying the frequency of data backup.	Data Backup	Frequency	Code				0	unbounded	Frequency Code
UN00008535	ASCC	Data Backup. Specified. Location	A location specified for this data backup.	Data Backup	Specified		Location			0	unbounded	Location
UN00008536	ASCC	Data Backup. Specified. Party	A party specified for this data backup.	Data Backup	Specified		Party			0	unbounded	Party
UN00001386	ACC	Data Node. Details	"A single element or node within a data structure, usually a hierarchical structure."	Data Node								Data Node
UN00001387	BCC	Data Node. Identification. Identifier	A unique identifier for this data node.	Data Node	Identification	Identifier				0	unbounded	ID
UN00001388	BCC	Data Node. Name. Text	"A name, expressed as text, for this data node."	Data Node	Name	Text				0	unbounded	Name
UN00001389	BCC	Data Node. Description. Text	A textual description of this data node.	Data Node	Description	Text				0	unbounded	Description
UN00001390	BCC	Data Node. Hierarchical Level. Numeric	"A number (integer) representing how deeply nested within the hierarchical tree structure the data node lies.  For example, level 1 may mean it is a top level node, and level 4 may mean that there are three levels of nodes above this node in the tree."	Data Node	Hierarchical Level	Numeric				0	unbounded	Hierarchical Level Number
UN00001391	BCC	Data Node. Calculation Method. Code	A code specifying a calculation method for this data node.	Data Node	Calculation Method	Code				0	unbounded	Calculation Method Code
UN00001392	BCC	Data Node. Summary Exclusion. Indicator	An indication of whether or not the values within this data node should be excluded from summaries at a higher level.	Data Node	Summary Exclusion	Indicator				0	unbounded	Summary Exclusion Indicator
