Unique UN Assigned ID	 ABIE/ BBIE/ ASBIE/ACC/BCC/ASCC/DT/CC/SC	"Dictionary Entry Name
(auto generated)"	Short Name	"Definition
Mandatory"	Publication comments	Object Class Term Qualifier(s)	Object Class Term	Property Term Qualifier(s)	Property Term	Datatype Qualifier(s)	Representation Term	Qualified Data Type UID	Associated Object Class Term Qualifier(s)	Associated Object Class	Business Term(s)	Usage Rule(s)	Sequence Number	Occurrence Min	Occurrence Max	Business Process	Product	Industry	Region (Geopolitical)	Official Constraints	Role	Supporting Role	System Constraints	Example(s)	BIE/CC/DT Version	Ref Library Version	Submitter Name	Ref Component UN ID	Ref CR ID	Unique submitter ID	CR Status Date	CR Status	Library Maintenance Comment	TDED
UN01007914	ABIE	AAA Chart Of Accounts_ Tax. Details	AAA Chart Of Accounts Tax	An AAA (Accounting And Audit) chart of accounts tax required of businesses.		AAA Chart Of Accounts	Tax													"Accounting, audit and reporting"	Accounting And Audit Chart Of Accounts	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01007915	BBIE	AAA Chart Of Accounts_ Tax. Identification. Identifier	ID	The unique identifier for this AAA chart of accounts tax.		AAA Chart Of Accounts	Tax		Identification		Identifier						1	0	1	"Accounting, audit and reporting"	Accounting And Audit Chart Of Accounts	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01007916	BBIE	AAA Chart Of Accounts_ Tax. Calculated. Amount	Calculated Amount	The monetary value resulting from the calculation of the AAA chart of accounts tax.		AAA Chart Of Accounts	Tax		Calculated		Amount						2	0	1	"Accounting, audit and reporting"	Accounting And Audit Chart Of Accounts	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01007917	BBIE	AAA Chart Of Accounts_ Tax. Type. Code	Type Code	"The code specifying a type of AAA chart of accounts tax, such as a code for a Value Added Tax (VAT)."		AAA Chart Of Accounts	Tax		Type	Tax Type	Code	UN02000015					3	0	1	"Accounting, audit and reporting"	Accounting And Audit Chart Of Accounts	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									(5153)
UN01007918	BBIE	AAA Chart Of Accounts_ Tax. Exemption Reason. Text	Exemption Reason Text	"The reason, expressed as text, for exemption from this AAA chart of accounts tax."		AAA Chart Of Accounts	Tax		Exemption Reason		Text						4	0	1	"Accounting, audit and reporting"	Accounting And Audit Chart Of Accounts	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01007919	BBIE	AAA Chart Of Accounts_ Tax. Calculated. Rate	Calculated Rate	The rate used to calculate the AAA chart of accounts tax amount.		AAA Chart Of Accounts	Tax		Calculated		Rate						5	0	1	"Accounting, audit and reporting"	Accounting And Audit Chart Of Accounts	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01007920	BBIE	AAA Chart Of Accounts_ Tax. Calculation Sequence. Numeric	Calculation Sequence Number	The numeric expression of the sequence in which this AAA chart of accounts tax is to be or has been applied when multiple taxes are applicable per calculation.		AAA Chart Of Accounts	Tax		Calculation Sequence		Numeric						6	0	1	"Accounting, audit and reporting"	Accounting And Audit Chart Of Accounts	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01007921	BBIE	AAA Chart Of Accounts_ Tax. Basis. Quantity	Basis Quantity	The quantity used as the basis in calculating the amount for this AAA chart of accounts tax.		AAA Chart Of Accounts	Tax		Basis		Quantity						7	0	1	"Accounting, audit and reporting"	Accounting And Audit Chart Of Accounts	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01007922	BBIE	AAA Chart Of Accounts_ Tax. Basis. Amount	Basis Amount	The monetary value used as the basis in calculating the amount of this AAA chart of accounts tax.		AAA Chart Of Accounts	Tax		Basis		Amount						8	0	1	"Accounting, audit and reporting"	Accounting And Audit Chart Of Accounts	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01007923	BBIE	AAA Chart Of Accounts_ Tax. Category. Code	Category Code	"The code specifying the category to which this AAA chart of accounts tax applies, such as exempt from tax, standard rate, free export item - tax not charged."		AAA Chart Of Accounts	Tax		Category	Tax Category	Code	UN02000014					9	0	1	"Accounting, audit and reporting"	Accounting And Audit Chart Of Accounts	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									(5305)
UN01007924	BBIE	AAA Chart Of Accounts_ Tax. Currency. Code	Currency Code	The code specifying the currency of this AAA chart of accounts tax.		AAA Chart Of Accounts	Tax		Currency		Code						10	0	1	"Accounting, audit and reporting"	Accounting And Audit Chart Of Accounts	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01007925	BBIE	AAA Chart Of Accounts_ Tax. Jurisdiction. Text	Jurisdiction Text	"The jurisdiction, expressed as text, to which this AAA chart of accounts tax applies."		AAA Chart Of Accounts	Tax		Jurisdiction		Text						11	0	1	"Accounting, audit and reporting"	Accounting And Audit Chart Of Accounts	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01007926	BBIE	AAA Chart Of Accounts_ Tax. Customs Duty. Indicator	Customs Duty Indicator	The indication of whether or not this AAA chart of accounts tax is a customs duty.		AAA Chart Of Accounts	Tax		Customs Duty		Indicator						12	0	1	"Accounting, audit and reporting"	Accounting And Audit Chart Of Accounts	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01007927	BBIE	AAA Chart Of Accounts_ Tax. Exemption Reason. Code	Exemption Reason Code	The code specifying the reason for exemption from this AAA chart of accounts tax.		AAA Chart Of Accounts	Tax		Exemption Reason	Tax Exemption Reason	Code	UN02000108					13	0	1	"Accounting, audit and reporting"	Accounting And Audit Chart Of Accounts	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01007928	BBIE	AAA Chart Of Accounts_ Tax. Tax Basis Allowance. Rate	Tax Basis Allowance Rate	The rate of the tax basis allowance (deduction or discount) used to calculate this AAA chart of accounts tax.		AAA Chart Of Accounts	Tax		Tax Basis Allowance		Rate						14	0	1	"Accounting, audit and reporting"	Accounting And Audit Chart Of Accounts	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009435	ABIE	AAA Entry_ Accounting Account. Details	AAA Entry Accounting Account	"A specific AAA (Accounting and Audit) account for booking debits and credits for general accounting, cost accounting or budget accounting."		AAA Entry	Accounting Account													"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009436	BBIE	AAA Entry_ Accounting Account. Identification. Identifier	ID	The unique identifier for this AAA entry accounting account.		AAA Entry	Accounting Account		Identification		Identifier						1	1	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009437	BBIE	AAA Entry_ Accounting Account. Sub Account. Identifier	Sub-Account ID	The unique sub account identifier for this AAA entry accounting account.		AAA Entry	Accounting Account		Sub Account		Identifier						2	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009438	BBIE	AAA Entry_ Accounting Account. Name. Text	Name	"The name, expressed as text, of this AAA entry accounting account."		AAA Entry	Accounting Account		Name		Text						3	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009439	BBIE	AAA Entry_ Accounting Account. Abbreviated Name. Text	Abbreviated Name	"The abbreviated name, expressed as text, of this AAA entry accounting account."		AAA Entry	Accounting Account		Abbreviated Name		Text						4	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009440	BBIE	AAA Entry_ Accounting Account. Set Trigger. Code	Set Trigger Code	The code specifying the set trigger for this AAA entry accounting account to be used in response to a specific event or a set of events.		AAA Entry	Accounting Account		Set Trigger	Accounting_ Document	Code	UN02000110					5	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									(1001)
UN01009441	BBIE	AAA Entry_ Accounting Account. Type. Code	Type Code	"The code specifying the type of AAA entry accounting account, such as a general account, payable, receivable, budget account, cost accounting account, job, or building site."		AAA Entry	Accounting Account		Type	Accounting Account Type	Code	UN02000101					6	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009442	BBIE	AAA Entry_ Accounting Account. Amount Type. Code	Amount Type Code	The code specifying the amount type for this AAA entry accounting account.		AAA Entry	Accounting Account		Amount Type	Accounting Amount Type	Code	UN02000102					7	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009443	BBIE	AAA Entry_ Accounting Account. Main Accounts Chart. Identifier	Main Accounts Chart ID	The unique identifier for the main accounts chart for this AAA entry accounting account.		AAA Entry	Accounting Account		Main Accounts Chart		Identifier						8	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009444	BBIE	AAA Entry_ Accounting Account. Main Accounts Chart Reference. Identifier	Main Accounts Chart Reference ID	The unique identifier of the main accounts chart reference for this AAA entry accounting account.		AAA Entry	Accounting Account		Main Accounts Chart Reference		Identifier						9	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009445	BBIE	AAA Entry_ Accounting Account. Accounting Year End. Date Time	Accounting Year End Date Time	"The date, time, date time, or other date time value of the end of an accounting year for this AAA entry accounting account."		AAA Entry	Accounting Account		Accounting Year End		Date Time						10	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009446	ASBIE	AAA Entry_ Accounting Account. Derived. AAA Entry_ Report	Derived Report	"A linked report which is derived from values within this AAA entry accounting account, such as a tax return or financial statement."		AAA Entry	Accounting Account		Derived				AAA Entry	Report			1	0	unbounded	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009447	ASBIE	AAA Entry_ Accounting Account. Fiscal. AAA Entry_ Capital Asset	Fiscal Capital Asset	The fiscal entry capital asset for this AAA entry accounting account.		AAA Entry	Accounting Account		Fiscal				AAA Entry	Capital Asset			2	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009448	ASBIE	AAA Entry_ Accounting Account. Economic. AAA Entry_ Capital Asset	Economic Capital Asset	The economic entry capital asset for this AAA entry accounting account.		AAA Entry	Accounting Account		Economic				AAA Entry	Capital Asset			3	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009449	ASBIE	AAA Entry_ Accounting Account. IFRS. AAA Entry_ Capital Asset	IFRS Capital Asset	The International Financial Reporting Standards (IFRS) capital asset for this AAA entry accounting account.		AAA Entry	Accounting Account		IFRS				AAA Entry	Capital Asset			4	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009408	ABIE	AAA Entry_ Accounting Entry Line. Details	AAA Entry Accounting Entry Line	An AAA (Accounting and Audit) line posted into an account as part of an accounting entry.		AAA Entry	Accounting Entry Line													"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009409	BBIE	AAA Entry_ Accounting Entry Line. Comment. Text	Comment Text	"The comment, expressed as text, for this AAA accounting entry line."		AAA Entry	Accounting Entry Line		Comment		Text						1	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009410	BBIE	AAA Entry_ Accounting Entry Line. Category. Code	Category Code	"The code specifying the category of this AAA accounting entry line, such as opening balance, normal, or simulation."		AAA Entry	Accounting Entry Line		Category	Accounting Entry Line Category	Code	UN02000105					2	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009411	BBIE	AAA Entry_ Accounting Entry Line. Source. Code	Source Code	"The code specifying the source of this AAA accounting entry line, such as import or manual input."		AAA Entry	Accounting Entry Line		Source	Accounting Entry Line Source	Code	UN02000106					3	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009412	BBIE	AAA Entry_ Accounting Entry Line. Last Change. Date Time	Last Change Date Time	"The date, time, date time, or other date time value of the last change to this AAA accounting entry line."		AAA Entry	Accounting Entry Line		Last Change		Date Time						4	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009413	BBIE	AAA Entry_ Accounting Entry Line. Last Change Responsible Person Name. Text	Last Change Responsible Person Name	"The name or initials, expressed as text, of the person responsible for the last change to this AAA accounting entry line."		AAA Entry	Accounting Entry Line		Last Change Responsible Person Name		Text						5	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009414	BBIE	AAA Entry_ Accounting Entry Line. Actual. Quantity	Actual Quantity	The actual quantity for this AAA accounting entry line.		AAA Entry	Accounting Entry Line		Actual		Quantity						6	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01010159	BBIE	AAA Entry_ Accounting Entry Line. Nature. Text	Nature Text	"The nature, expressed as text, of this AAA accounting entry line, such as a product or service description."		AAA Entry	Accounting Entry Line		Nature		Text						7	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009415	ASBIE	AAA Entry_ Accounting Entry Line. Specified. AAA Entry_ Accounting Line Index	Accounting Line Index	An accounting line index specified for this AAA accounting entry line.		AAA Entry	Accounting Entry Line		Specified				AAA Entry	Accounting Line Index			1	0	unbounded	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009416	ASBIE	AAA Entry_ Accounting Entry Line. Repeated. AAA Entry_ Monetary Allocation	Repeated Monetary Allocation	A monetary allocation repeated for this AAA accounting entry line.		AAA Entry	Accounting Entry Line		Repeated				AAA Entry	Monetary Allocation			2	0	unbounded	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009417	ASBIE	AAA Entry_ Accounting Entry Line. Repeated. AAA Entry_ Monetary Instalment	Repeated Monetary Instalment	A monetary instalment repeated for this AAA accounting entry line.		AAA Entry	Accounting Entry Line		Repeated				AAA Entry	Monetary Instalment			3	0	unbounded	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009418	ASBIE	AAA Entry_ Accounting Entry Line. Related. AAA Entry_ Accounting Line Monetary Value	Related Accounting Line Monetary Value	A monetary value related to this AAA accounting entry line.		AAA Entry	Accounting Entry Line		Related				AAA Entry	Accounting Line Monetary Value			4	1	unbounded	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009419	ASBIE	AAA Entry_ Accounting Entry Line. Related. AAA Entry_ Tax	Related Tax	The tax related to this AAA entry accounting entry line.		AAA Entry	Accounting Entry Line		Related				AAA Entry	Tax			5	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01010176	ASBIE	AAA Entry_ Accounting Entry Line. Repeated. AAA Entry_ Payment	Repeated Payment	A payment repeated for this AAA accounting entry line.		AAA Entry	Accounting Entry Line		Repeated				AAA Entry	Payment			6	0	unbounded	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.1									
UN01009394	ABIE	AAA Entry_ Accounting Entry. Details	AAA Entry Accounting Entry	An AAA (Accounting and Audit) entry into accounting books.		AAA Entry	Accounting Entry													"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009395	BBIE	AAA Entry_ Accounting Entry. Identification. Identifier	ID	The unique identifier for this AAA accounting entry.		AAA Entry	Accounting Entry		Identification		Identifier						1	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009396	BBIE	AAA Entry_ Accounting Entry. Processing Status. Code	Processing Status Code	"The code specifying the processing status for this AAA accounting entry, such as validated, not validated, proposed, simulated, deferred, or removed."		AAA Entry	Accounting Entry		Processing Status	Accounting Entry Processing	Code	UN02000107					2	1	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009398	BBIE	AAA Entry_ Accounting Entry. Value Date. Date Time	Value Date Time	"The date, time, date time, or other date time value of the value date of this AAA accounting entry."		AAA Entry	Accounting Entry		Value Date		Date Time						4	1	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009399	BBIE	AAA Entry_ Accounting Entry. Removal. Indicator	Removal Indicator	The indication of whether or not this AAA accounting entry must be removed.		AAA Entry	Accounting Entry		Removal		Indicator						5	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009400	BBIE	AAA Entry_ Accounting Entry. Unbalanced. Indicator	Unbalanced Indicator	The indication of whether or not the debit and credit amounts of this AAA accounting entry are unbalanced.		AAA Entry	Accounting Entry		Unbalanced		Indicator						6	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009401	BBIE	AAA Entry_ Accounting Entry. Related Entry. Identifier	Related Entry ID	The unique identifier of an entry related to this AAA accounting entry.		AAA Entry	Accounting Entry		Related Entry		Identifier						7	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009402	BBIE	AAA Entry_ Accounting Entry. Category. Code	Category Code	"The code specifying the category of this AAA accounting entry, such as financial accounting, budget, comparison, standard, recurring, or reordered."		AAA Entry	Accounting Entry		Category	Accounting Entry Category	Code	UN02000104					8	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009403	BBIE	AAA Entry_ Accounting Entry. Purpose. Text	Purpose Text	"The purpose, expressed as text, for this AAA accounting entry."		AAA Entry	Accounting Entry		Purpose		Text						9	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009404	BBIE	AAA Entry_ Accounting Entry. Capture. Date Time	Capture Date Time	"The date, time, date time, or other date time value of the capture of this AAA accounting entry."		AAA Entry	Accounting Entry		Capture		Date Time						10	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009405	BBIE	AAA Entry_ Accounting Entry. Reversal. Date Time	Reversal Date Time	"The date, time, date time, or other date time value for the reversal of this AAA accounting entry."		AAA Entry	Accounting Entry		Reversal		Date Time						11	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009406	BBIE	AAA Entry_ Accounting Entry. Validation. Date Time	Validation Date Time	"The date, time, date time, or other date time value for the validation of this AAA accounting entry."		AAA Entry	Accounting Entry		Validation		Date Time						12	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009407	ASBIE	AAA Entry_ Accounting Entry. Detailed. AAA Entry_ Accounting Entry Line	Detailed Accounting Entry Line	An accounting line entry detailed for this AAA accounting entry.		AAA Entry	Accounting Entry		Detailed				AAA Entry	Accounting Entry Line			1	1	unbounded	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01010175	ASBIE	AAA Entry_ Accounting Entry. Specified. AAA Entry_ Accounting Journal	Specified Accounting Journal	The accounting journal specified for this AAA accounting entry.		AAA Entry	Accounting Entry		Specified				AAA Entry	Accounting Journal			2	1	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01010160	ABIE	AAA Entry_ Accounting Journal. Details	AAA Entry Accounting Journal	A book or file where particularities of an AAA (Accounting and Audit) entry of one specific category are recorded.		AAA Entry	Accounting Journal													"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01010161	BBIE	AAA Entry_ Accounting Journal. Identification. Identifier	ID	The identifier for this AAA entry accounting journal.		AAA Entry	Accounting Journal		Identification		Identifier						1	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.1									(1171)
UN01010162	BBIE	AAA Entry_ Accounting Journal. Name. Text	Name	"The name, expressed as text, of this AAA entry accounting journal."		AAA Entry	Accounting Journal		Name		Text						2	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									(1170)
UN01010163	BBIE	AAA Entry_ Accounting Journal. Type. Code	Type Code	"The code specifying the type of AAA entry accounting journal, such as financial, cost, budget."		AAA Entry	Accounting Journal		Type	Accounting Journal	Code	UN02000139					3	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01010164	BBIE	AAA Entry_ Accounting Journal. Category. Code	Category Code	"The code specifying the category of this AAA entry accounting journal, such as purchase, sales, cash, miscellaneous."		AAA Entry	Accounting Journal		Category	Accounting Journal Category	Code	UN02000140					4	0	1	"Accounting, audit and reporting"	"Accounting, audit and reporting, Accounting entry"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009466	ABIE	AAA Entry_ Accounting Line Index. Details	AAA Entry Accounting Line Index	The identification by reference of a line in an AAA (Accounting and Audit) accounting book or a computerized data base.		AAA Entry	Accounting Line Index													"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009467	BBIE	AAA Entry_ Accounting Line Index. Line. Numeric	Line Number	The number of the line for this AAA entry accounting line index.		AAA Entry	Accounting Line Index		Line		Numeric						1	1	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009468	BBIE	AAA Entry_ Accounting Line Index. Folio. Numeric	Folio Number	The number of the folio for this AAA entry accounting line index.		AAA Entry	Accounting Line Index		Folio		Numeric						2	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009420	ABIE	AAA Entry_ Accounting Line Monetary Value. Details	AAA Entry Accounting Line Monetary Value	The material or monetary worth of a thing that is associated with an entry line that is a part of an AAA (Accounting and Audit) accounting entry.		AAA Entry	Accounting Line Monetary Value													"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009421	BBIE	AAA Entry_ Accounting Line Monetary Value. Local Accounting Currency. Amount	Local Accounting Currency Amount	The monetary value of the AAA entry accounting line in the currency local to where the accounting records are required.		AAA Entry	Accounting Line Monetary Value		Local Accounting Currency		Amount						1	1	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009422	BBIE	AAA Entry_ Accounting Line Monetary Value. Voucher Currency. Amount	Voucher Currency Amount	The monetary value of the AAA entry line in the accounting voucher currency.		AAA Entry	Accounting Line Monetary Value		Voucher Currency		Amount						2	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009423	BBIE	AAA Entry_ Accounting Line Monetary Value. Alternate Currency. Amount	Alternate Currency Amount	"The monetary value of the AAA entry line in another currency, such as a reporting currency, a consolidation currency, or a currency in the euro transition period."		AAA Entry	Accounting Line Monetary Value		Alternate Currency		Amount						3	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009424	BBIE	AAA Entry_ Accounting Line Monetary Value. Alternate Currency Amount Type. Code	Alternate Currency Amount Type Code	"The code specifying the type of the alternate currency amount, such as payment amount or Euro transition conversion amount, for this AAA line monetary value."		AAA Entry	Accounting Line Monetary Value		Alternate Currency Amount Type	Alternate Currency Amount Type	Code	UN02000111					4	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009425	BBIE	AAA Entry_ Accounting Line Monetary Value. Debit Credit. Code	Debit Credit Code	The code specifying the AAA entry debit/credit value of the accounting line monetary value.		AAA Entry	Accounting Line Monetary Value		Debit Credit	Accounting Debit Credit_ Status	Code	UN02000103					5	1	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									(4405)
UN01009426	BBIE	AAA Entry_ Accounting Line Monetary Value. Matching. Identifier	Matching ID	"The unique matching identifier for this AAA entry accounting line monetary value, used to associate the amount of an accounting line with the opposite signed amount of another line in the same account."		AAA Entry	Accounting Line Monetary Value		Matching		Identifier						6	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009427	BBIE	AAA Entry_ Accounting Line Monetary Value. Ticking. Identifier	Ticking ID	"The unique ticking identifier for this AAA entry accounting line monetary value, used to associate the amount of an accounting line with the amount of a line from another account."		AAA Entry	Accounting Line Monetary Value		Ticking		Identifier						7	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
UN01009428	BBIE	AAA Entry_ Accounting Line Monetary Value. Application Number. Identifier	Application Number ID	"The unique application number identifier for this AAA entry accounting line monetary value, used for applying it to the corresponding line of the amount of this accounting line."		AAA Entry	Accounting Line Monetary Value		Application Number		Identifier						8	0	1	"Accounting, audit"	"Accounting, audit"	In All Contexts	In All Contexts	None	In All Contexts	In All Contexts	In All Contexts		1.0									
