Module,num,Kind,Table,No,Name,DictionaryEntryName,Description,XBRLGL,ObjectClassTermQualifier,ObjectClassTerm,PropertyTerm,RepresentationTerm,Datatype,Representation,AssociatedObjectClassTermQualifier,AssociatedObjectClass,Level,PK_REF,RefField,RefTable,Occurrence
GL,198,ASBIE,GL Details,22,Activity Records,ADC_ General Ledger Line. Recorded. ADC_ Activity Records,"The operation records on this record such as create, approve, last modify this record.",Use corresponding element of XBRL GL taxonomy.,ADC,General Ledger Line,Recorded,,,,ADC,Activity Records,1,,,,1..1
GL,199,RBIE,GL Details,23,Posted User ID,ADC_ General Ledger Line. Posted By. ADC_ User,The unique identifier for the person who posted the journal entry to ledger. Typically auto-generated by the system. Shall match the User_ID in the BAS_User table.,,ADC,General Ledger Line,Posted By,,String,%25s,ADC,User,2,REF,User_ID,BAS_User,0..1
GL,200,RBIE,GL Details,24,Account Segment Employee,ADC_ General Ledger Line. Related. ADC_ Employee,"This field is a fixed account segment, recording information related to an employee (e.g. loan to corporate officers). The value stored in this field stored is Employee_ID. Shall match the Employee_ID in the BAS_Employee table through GL_Account_Segment.",,ADC,General Ledger Line,Related,,String,%60s,ADC,Employee,2,REF,Employee_ID,BAS_Employee,0..1
GL,201,RBIE,GL Details,25,Account Segment Project,ADC_ General Ledger Line. Related. ADC_ Project,"This field is a fixed account segment, recording information related to a project. EXAMPLE Construction projects which require a separate accounting. The value of this field stored is Project_ID. Shall match the Project_ID in the BAS_Project table through GL_Account_Segment.",,ADC,General Ledger Line,Related,,String,%60s,ADC,Project,2,REF,Project_ID,BAS_Project,0..1
GL,202,RBIE,GL Details,26,Account Segment Bank Account,ADC_ General Ledger Line. Related. ADC_ Bank Account,"This field is a fixed account segment, recording information related to bank accounts. The value of this field stored is Bank_Account_Number, and we can get more information of a certain bank account in the BAS_Bank_Account table. Shall match the Bank_Account_Number in the BAS_Bank_Account table through GL_Account_Segment.",,ADC,General Ledger Line,Related,,String,%60s,ADC,Bank Account,2,REF,Bank_Account_Number,BAS_Bank_Account,0..1
GL,203,BBIE,GL Details,27,Account Segment X,ADC_ General Ledger Line. Account Segment X. Identifier,Reserved field that shall be used for supplementary information associated with particular account. The 'X' signifies that each unique account segment will be captured in a separate field.,,ADC,General Ledger Line,Account Segment X,Identifier,String,%60s,,,2,,,,0..1
GL,204,RBIE,GL Details,28,Business Segment X,ADC_ General Ledger Line. X. ADC_ Business Segment,"A reserved field that shall be used for business segments/structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with a unique reference level. For example, division, department, business unit, purchasing organization, project or legal entity.",gl-bus:organizationIdentifier,ADC,General Ledger Line,X,,String,%25s,ADC,Business Segment,1,,,,1..n
GL,205,IDBIE,GL Source,1,Source Code,ADC_ General Ledger Source. ID,"The code of the posting source (code for source from which the journal entry originated. EXAMPLE Sales journal, cash receipts journal, general journal, payroll journal, accountant manual entry and spreadsheet). The code shall be a unique indicator for the underlying source.",gl-cor:sourceJournalID if an enumerated set is feasible; gl-cor:sourceJournalDescription otherwise.,ADC,General Ledger Source,Identification,Identifier,String,%25s,,,1,PK,,,1..1
GL,206,BBIE,GL Source,2,Source Description,ADC_ General Ledger Source. Description,A description of the source system.,gl-bus:batchDescription if gl-cor:sourceJournalDescription is used above.,ADC,General Ledger Source,Description,Text,String,%1000s,,,1,,,,1..1
GL,207,BBIE,GL Source,3,ERP Subledger Module,ADC_ General Ledger Source. ERP Subledger Module. Code,"Description of the subledger or ERP module from which the journal entry originated. Should tie back to a system or significant accounting process. In some instances, can be represented by the source system.",gl-bus:measurableDescription,ADC,General Ledger Source,ERP Subledger Module,Code,String,%100s,,,2,,,,0..1
GL,208,BBIE,GL Source,4,System Manual Identifier,ADC_ General Ledger Source. System Manual. Identifier,This indicates whether the journal entry is system-generated (S) or manually-entered (M). EXAMPLE S is system-generated and M is manually-entered.,gl-bus: entryOrigin,ADC,General Ledger Source,System Manual,Identifier,String,%1c,,,2,,,,0..1
GL,209,BBIE,GL Source,5,Business Process Major,ADC_ General Ledger Source. Business Process Major. Code,The major class of transaction associated with a business process. EXAMPLE Sales.,gl-bus:measurableCodeDescription,ADC,General Ledger Source,Business Process Major,Code,String,%100s,,,2,,,,0..1
GL,210,BBIE,GL Source,6,Business Process Minor,ADC_ General Ledger Source. Business Process Minor. Code,"A sub-process of the major business process. EXAMPLE Orders, returns, and discounts.",gl-bus:measurableCodeCategory,ADC,General Ledger Source,Business Process Minor,Code,String,%100s,,,2,,,,0..1
GL,211,RBIE,GL Account Segment,1,GL Account Number,ADC_ General Ledger Account Segment. GL Account Number. ADC_ Chart Of Accounts,The GL account number. This number is generated either by manual input or by the system. Shall match the GL_Account_Number used in the BAS_Chart_Of_Accounts table.,gl-cor:accountMainID,ADC,General Ledger Account Segment,GL Account Number,,String,%100s,ADC,Chart Of Accounts,1,PK/REF,GL_Account_Number,BAS_Chart_Of_Accounts,1..1
GL,212,IDBIE,GL Account Segment,2,Account Segment Number,ADC_ General Ledger Account Segment. ID,"The number of the Account_Segment. Case 1 If the value of this field is 0, the record is used to explain a fixed account segment that is distinguished by Account_Segment_Name of the record. Case 2 If the value of this field is 5, the record is used to explain the No.5 field of Account_Segment_X, named Account_Segment_5 in the tables, such as GL_Details. This number is generated either by manual input or by the system.","gl-cor:documentReference / Rather than using a data field, use XML's ID at the top level of the structure. You can use both XML IDs and IDREFs to create physical links between related documents.",ADC,General Ledger Account Segment,Identification,Identifier,String,%60s,,,1,PK,,,1..1
GL,213,BBIE,GL Account Segment,3,Account Segment Name,ADC_ General Ledger Account Segment. Account Segment. Name,"The name of the Account_Segment. Case 1 If the value of Account_Segment_Number of the record is 0, the field contains the name of a fixed account segment, such as Account_Segment_Employee. Case 2 If the value of Account_Segment_Number of the record is 5, the field value should be the name of a customized account segment, like welfare expenditure.",,ADC,General Ledger Account Segment,Account Segment,Name,String,%200s,,,1,,,,1..1
GL,214,BBIE,GL Account Segment,4,Corresponding File,ADC_ General Ledger Account Segment. Corresponding File,"The table corresponding to account segment. Case 1 If the value of Account_Segment_Number of the record is 0, the field contains the table name corresponding to the fixed account segment, such as BAS_Employee for Account_Segment_Employee. Case 2 If the value of Account_Segment_Number is larger than 0, and no other table besides BAS_Customized_ACC_Segment contains the basic information of the customized account segment, the field value should be BAS_Customized_ACC_Segment. Case 3 If the value of Account_Segment_Number is larger than 0, and there is a table contains the basic information of the customized account segment, the field value should be the table's name, such as BAS_Customer.",,ADC,General Ledger Account Segment,Corresponding File,Text,String,%200s,,,1,,,,1..1
GL,215,BBIE,GL Account Segment,5,Account Segment Description,ADC_ General Ledger Account Segment. Description,The detailed description of the Account_Segment_Name.,gl-cor:entryComment,ADC,General Ledger Account Segment,Description,Text,String,%1000s,,,1,,,,1..1
GL,216,RBIE,GL Account Segment,6,Customized ACC Segment Code,ADC_ General Ledger Account Segment. Related. ADC_ Customized Account Segment,The code of the customized account segment. Shall match the Customized_ACC_Segment_Code in the BAS_Customized_ACC_Segment table.,,ADC,General Ledger Account Segment,Related,,String,%60s,ADC,Customized Account Segment,1,REF,Customized_ACC_Segment_Code,BAS_Customized_ACC_Segment,1..1
GL,217,RBIE,GL Accounts Period Balance,7,GL Account Number,ADC_ General Ledger Account Period Balance. GL Account Number. ADC_ Chart Of Accounts,The GL account number. This number is generated either by manual input or by the system. Shall match the GL_Account_Number used in the BAS_Chart_Of_Accounts table.,gl-cor:accountMainID,ADC,General Ledger Account Period Balance,GL Account Number,,String,%100s,ADC,Chart Of Accounts,1,PK/REF,GL_Account_Number,BAS_Chart_Of_Accounts,1..1
GL,218,RBIE,GL Accounts Period Balance,8,Fiscal Period,ADC_ General Ledger Account Period Balance. Defined. ADC_ Fiscal Period,"Accounting period in which the Effective_Date occurs. The year shall be shown in four digits as YYYY, which is part of the extended format and the YYYY-MM-DD in ISO 8601-1. Shall match the Fiscal_Year in the BAS_Accounting_Period table.",gl-bus:fiscalYearEnd,ADC,General Ledger Account Period Balance,Defined,,String,%4c,ADC,Fiscal Period,1,REF,Fiscal_Year,BAS_Accounting_Period,1..1
GL,219,ASBIE,GL Accounts Period Balance,9,Debit Quantity,ADC_ General Ledger Account Period Balance. Debit. ADC_ Measurement Quantity,The quantity information associated with debiting inventory or PPE.,gl-bus:measurableQuantity,ADC,General Ledger Account Period Balance,Debit,,,,ADC,Measurement Quantity,1,,,,1..1
GL,220,ASBIE,GL Accounts Period Balance,10,Credit Quantity,ADC_ General Ledger Account Period Balance. Credit. ADC_ Measurement Quantity,The quantity information associated with crediting inventory or PPE.,gl-bus:measurableQuantity,ADC,General Ledger Account Period Balance,Credit,,,,ADC,Measurement Quantity,1,,,,1..1
GL,221,ASBIE,GL Accounts Period Balance,11,Beginning Quantity,ADC_ General Ledger Account Period Balance. Beginning. ADC_ Measurement Quantity,The beginning quantity of inventory or PPE account.,gl-bus:measurableQuantity,ADC,General Ledger Account Period Balance,Beginning,,,,ADC,Measurement Quantity,1,,,,1..1
GL,222,ASBIE,GL Accounts Period Balance,12,Ending Quantity,ADC_ General Ledger Account Period Balance. Ending. ADC_ Measurement Quantity,The ending quantity of inventory or PPE account.,gl-bus:measurableQuantity,ADC,General Ledger Account Period Balance,Ending,,,,ADC,Measurement Quantity,1,,,,1..1
GL,223,ASBIE,GL Accounts Period Balance,13,Multicurrency Debit Amount,ADC_ General Ledger Account Period Balance. Debit. ADC_ Multi Currency Amount,The cumulative debit total of multi currency during the Accounting_Period.,gl-muc:multicurrencyDetail,ADC,General Ledger Account Period Balance,Debit,,,,ADC,Multi Currency Amount,1,,,,1..1
GL,224,ASBIE,GL Accounts Period Balance,14,Multicurrency Credit Amount,ADC_ General Ledger Account Period Balance. Credit. ADC_ Multi Currency Amount,The cumulative credit total amount of multi currency during the Accounting_Period.,gl-muc:multicurrencyDetail,ADC,General Ledger Account Period Balance,Credit,,,,ADC,Multi Currency Amount,1,,,,1..1
GL,225,BBIE,GL Accounts Period Balance,15,BEG Balance Indicator,ADC_ General Ledger Account Period Balance. Beginning Balance. Indicator,The beginning balance direction for the account. This indicates whether beginning balance is debit or credit. EXAMPLE C=credit; D=debit.,,ADC,General Ledger Account Period Balance,Beginning Balance,Indicator,String,%1c,,,1,,,,1..1
GL,226,BBIE,GL Accounts Period Balance,16,Ending Balance Indicator,ADC_ General Ledger Account Period Balance. Ending Balance. Indicator,The ending balance direction for the account. This indicates whether ending balance is debit or credit. EXAMPLE C=credit; D=debit.,,ADC,General Ledger Account Period Balance,Ending Balance,Indicator,String,%1c,,,1,,,,1..1
GL,227,ASBIE,GL Accounts Period Balance,17,Multicurrency Beginning Balance,ADC_ General Ledger Account Period Balance. Beginning_ Balance. ADC_ Multi Currency Amount,The beginning balance of multi currency.,gl-muc:multicurrencyDetail,ADC,General Ledger Account Period Balance,Balance,,,,ADC,Multi Currency Amount,1,,,,1..1
GL,228,ASBIE,GL Accounts Period Balance,18,Multicurrency Ending Balance,ADC_ General Ledger Account Period Balance. Ending_ Balance. ADC_ Multi Currency Amount,The ending balance of multi currency.,gl-muc:multicurrencyDetail,ADC,General Ledger Account Period Balance,Balance,,,,ADC,Multi Currency Amount,1,,,,1..1
GL,229,RBIE,GL Accounts Period Balance,19,Account Segment Employee,ADC_ General Ledger Account Period Balance. Related. ADC_ Employee,"This field is a fixed account segment, recording information related to an employee (e.g. loan to corporate officers). The value stored in this field stored is Employee_ID. Shall match the Employee_ID in the BAS_Employee table through GL_Account_Segment.",,ADC,General Ledger Account Period Balance,Related,,String,%60s,ADC,Employee,2,REF,Employee_ID,BAS_Employee,0..1
GL,230,RBIE,GL Accounts Period Balance,20,Account Segment Project,ADC_ General Ledger Account Period Balance. Related. ADC_ Project,"This field is a fixed account segment, recording information related to a project; for example, construction projects which require a separate accounting. The value of this field stored is Project_ID. Shall match the Project_ID in the BAS_Project table through GL_Account_Segment.",,ADC,General Ledger Account Period Balance,Related,,String,%60s,ADC,Project,2,REF,Project_ID,BAS_Project,0..1
GL,231,RBIE,GL Accounts Period Balance,21,Account Segment Bank Account,ADC_ General Ledger Account Period Balance. Related. ADC_ Bank Account,"This field is a fixed account segment, recording information related to bank accounts. The value of this field stored is Bank_Account_Number, and we can get more information of a certain bank account in the BAS_Bank_Account table. Shall match the Bank_Account_Number in the BAS_Bank_Account table through GL_Account_Segment.",,ADC,General Ledger Account Period Balance,Related,,String,%60s,ADC,Bank Account,2,REF,Bank_Account_Number,BAS_Bank_Account,0..1
GL,232,BBIE,GL Accounts Period Balance,22,Account Segment X,ADC_ General Ledger Account Period Balance. Account Segment X. Identifier,Reserved field that shall be used for supplementary information associated with particular account. The 'X' signifies that each unique account segment will be captured in a separate field.,,ADC,General Ledger Account Period Balance,Account Segment X,Identifier,String,%60s,,,2,,,,0..1
GL,233,RBIE,GL Accounts Period Balance,23,Business Segment X,ADC_ General Ledger Account Period Balance. X. ADC_ Business Segment,"A reserved field that shall be used for business segments/structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with a unique reference level. For example, division, department, business unit, purchasing organization, project or legal entity.",gl-bus:organizationIdentifier,ADC,General Ledger Account Period Balance,X,,String,%25s,ADC,Business Segment,1,,,,1..n
AR,234,IDBIE,AR Open Accounts Receivable,1,Transaction ID,ADC_ Open Accounts Receivable. ID,The unique identifier for the transaction of an open AR includes invoice and cash received. Typically auto-generated by the system.,"gl-cor:documentReference / Rather than using a data field, use XML's ID at the top level of the structure. You can use both XML IDs and IDREFs to create physical links between related documents.",ADC,Open Accounts Receivable,Identification,Identifier,String,%60s,,,1,PK,,,1..1
AR,235,RBIE,AR Open Accounts Receivable,2,Invoice ID,ADC_ Open Accounts Receivable. Originating. ADC_ Invoice Generated,"The unique identifier for the invoice, from which AR is derived. Typically auto-generated by the system. May be set to NULL if adjustment is at customer (not invoice) level. Otherwise shall match the Invoice_ID in the SAL_Invoices_Generated table.",gl-taf:originatingDocumentNumber with gl-taf:originatingDocumentType = invoice*,ADC,Open Accounts Receivable,Originating,,String,%60s,ADC,Invoice Generated,1,REF,Invoice_ID,SAL_Invoices_Generated,1..1
AR,236,RBIE,AR Open Accounts Receivable,3,Customer Account ID,ADC_ Open Accounts Receivable. Payer. ADC_ Customer,The unique identifier for the customer payment is expected or to whom unused credits have been applied. Typically auto-generated by the system. Shall match the Customer_Account_ID in the BAS_Customer table.,gl-cor:identifierCode with gl-cor:identifierType = customer,ADC,Open Accounts Receivable,Payer,,String,%100s,ADC,Customer,1,REF,Customer_Account_ID,BAS_Customer,1..1
AR,237,RBIE,AR Open Accounts Receivable,4,Sales Contract ID,ADC_ Open Accounts Receivable. Originating. ADC_ Sales Contract,"The unique identifier for the sales contract, from which AR is derived. Typically auto-generated by the system. May be set to NULL if no transaction related to Sales_Contract_ID. Otherwise shall match the Sales_Contract_ID in the SAL_Contracts table.","gl-cor:documentReference  / Rather than use a data field, use XML's ID and IDREF to create the physical link from detail to summary structure.",ADC,Open Accounts Receivable,Originating,,String,%60s,ADC,Sales Contract,2,REF,Sales_Contract_ID,SAL_Contracts,0..1
AR,238,RBIE,AR Open Accounts Receivable,5,Project ID,ADC_ Open Accounts Receivable. Originating. ADC_ Project,"The unique identifier for the project, from which AR is derived. Typically auto-generated by the system. If no transaction related to Project_ID, may be set to NULL. Otherwise shall match the Project_ID in the BAS_Project table.",,ADC,Open Accounts Receivable,Originating,,String,%60s,ADC,Project,2,REF,Project_ID,BAS_Project,0..1
AR,239,RBIE,AR Open Accounts Receivable,6,Fiscal Period,ADC_ Open Accounts Receivable. Defined. ADC_ Fiscal Period,"Accounting period in which the Transaction_Date occurs. The year shall be shown in four digits as YYYY, which is part of the extended format and the YYYY-MM-DD in ISO 8601-1. Shall match the Fiscal_Year in the BAS_Accounting_Period table.",gl-bus:fiscalYearEnd,ADC,Open Accounts Receivable,Defined,,String,%4c,ADC,Fiscal Period,1,REF,Fiscal_Year,BAS_Accounting_Period,1..1
AR,240,BBIE,AR Open Accounts Receivable,7,Transaction Date,ADC_ Open Accounts Receivable. Transaction. Date,"The date of the transaction, regardless of the date the transaction is created. This is the date from which the due date is calculated based on the invoice terms.",gl-cor:documentDate,ADC,Open Accounts Receivable,Transaction,Date,Date,%10c,,,1,,,,1..1
AR,241,RBIE,AR Open Accounts Receivable,8,Journal ID,ADC_ Open Accounts Receivable. Corresponding. ADC_ General Ledger Line,The unique identifier for the journal entry. Typically auto-generated by the system. Shall match the Journal_ID in the GL_Details table.,"Rather than using a data field, use XML's ID at the top level of the structure. You can use both XML IDs and IDREFs to create physical links between related documents.",ADC,Open Accounts Receivable,Corresponding,,String,%100s,ADC,General Ledger Line,2,REF,Journal_ID,GL_Details,0..1
AR,242,BBIE,AR Open Accounts Receivable,9,Transaction Due Date,ADC_ Open Accounts Receivable. Transaction Due. Date,"The date payment is due from the customer. Not all transactions will have a due date. May be set to NULL, if there is no due date. EXAMPLE Credit memos. Aging of a receivable is usually calculated based on this date.",gl-cor:maturityDate,ADC,Open Accounts Receivable,Transaction Due,Date,Date,%10c,,,1,,,,1..1
AR,243,BBIE,AR Open Accounts Receivable,10,Reference Number,ADC_ Open Accounts Receivable. Reference Number. Code,"The number of an internally or externally generated transaction; for example, check number, wire transfer number, or original document ID.",gl-cor:documentNumber,ADC,Open Accounts Receivable,Reference Number,Code,String,%100s,,,2,,,,0..1
AR,244,BBIE,AR Open Accounts Receivable,11,Reference Date,ADC_ Open Accounts Receivable. Reference Date,"The date on an internally or externally generated transaction; for example, check date or wire transfer date.",gl-cor:documentDate,ADC,Open Accounts Receivable,Reference Date,Date,Date,%10c,,,2,,,,0..1
AR,245,ASBIE,AR Open Accounts Receivable,12,Multicurrrency Amount,ADC_ Open Accounts Receivable. Monetary Amount. ADC_ Multi Currency Amount,Transaction monetary amount recorded in the multi currency.,gl-muc:multicurrencyDetail,ADC,Open Accounts Receivable,Monetary Amount,,,,ADC,Multi Currency Amount,1,,,,1..1
AR,246,ASBIE,AR Open Accounts Receivable,13,Multicurrency Balance,ADC_ Open Accounts Receivable. Balance. ADC_ Multi Currency Amount,"Balance monetary amount recorded in the multi currency. The balance here refers to the remaining balance unreceived or needing settlement, which can be calculated by analyzing net of the originating invoice and any cash received and adjustments against it.",gl-muc:multicurrencyDetail,ADC,Open Accounts Receivable,Balance,,,,ADC,Multi Currency Amount,1,,,,1..1
AR,247,BBIE,AR Open Accounts Receivable,14,Remark,ADC_ Open Accounts Receivable. Remark,Freeform text description.,gl-cor:entryComment,ADC,Open Accounts Receivable,Remark,Text,String,%500s,,,2,,,,0..1
AR,248,BBIE,AR Open Accounts Receivable,15,Grouping Code,ADC_ Open Accounts Receivable. Grouping. Code,The code of grouping related items for different purposes.,gl-bus:batchID,ADC,Open Accounts Receivable,Grouping,Code,String,%100s,,,2,,,,0..1
AR,249,RBIE,AR Open Accounts Receivable,16,Business Segment X,ADC_ Open Accounts Receivable. X. ADC_ Business Segment,"A reserved field that shall be used for business segments/structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with a unique reference level. For example, division, department, business unit, purchasing organization, project or legal entity.",gl-bus:organizationIdentifier,ADC,Open Accounts Receivable,X,,String,%25s,ADC,Business Segment,1,,,,1..n
AR,250,IDBIE,AR Cash Received,1,Receipt ID,ADC_ Cash Received. ID,The unique identifier for the transaction of cash received. Typically auto-generated by the system.,"gl-cor:documentReference / Rather than using a data field, use XML's ID at the top level of the structure. You can use both XML IDs and IDREFs to create physical links between related documents.",ADC,Cash Received,Identification,Identifier,String,%60s,,,1,PK,,,1..1
AR,251,BBIE,AR Cash Received,2,Receipt Number,ADC_ Cash Received. Receipt Number. Code,"The number of the cash received, from which AR is derived. This number is generated either by manual input or by the system.",gl-cor:documentNumber,ADC,Cash Received,Receipt Number,Code,String,%100s,,,1,,,,1..1
AR,252,RBIE,AR Cash Received,3,Customer Account ID,ADC_ Cash Received. Payer. ADC_ Customer,The unique identifier for the customer from whom payment is received or to whom credits have been applied. Typically auto-generated by the system. Shall match the Customer_Account_ID in the BAS_Customer table.,gl-cor:identifierCode with gl-cor:identifierType = payer,ADC,Cash Received,Payer,,String,%100s,ADC,Customer,1,REF,Customer_Account_ID,BAS_Customer,1..1
AR,253,RBIE,AR Cash Received,4,Sales Contract ID,ADC_ Cash Received. Originating. ADC_ Sales Contract,"The unique identifier for the sales contract, from which AR is derived. Typically auto-generated by the system. May be set to NULL, if no transaction is related to Sales_Contract_ID. Otherwise shall match the Sales_Contract_ID in the SAL_Contracts table.","gl-cor:documentReference  / Rather than use a data field, use XML's ID and IDREF to create the physical link from detail to summary structure.",ADC,Cash Received,Originating,,String,%60s,ADC,Sales Contract,2,REF,Sales_Contract_ID,SAL_Contracts,0..1
AR,254,RBIE,AR Cash Received,5,Project ID,ADC_ Cash Received. Originating. ADC_ Project,"The unique identifier for the project, from which AR is derived. Typically auto-generated by the system. May be set to NULL, if no transaction is related to Project_ID. Otherwise shall match the Project_ID in the BAS_Project table.",,ADC,Cash Received,Originating,,String,%60s,ADC,Project,2,REF,Project_ID,BAS_Project,0..1
AR,255,RBIE,AR Cash Received,6,Journal ID,ADC_ Cash Received. Corresponding. ADC_ General Ledger Line,The unique identifier for journal entry. Typically auto-generated by the system. Shall match the Journal_ID in the GL_Details table.,"Rather than using a data field, use XML's ID at the top level of the structure. You can use both XML IDs and IDREFs to create physical links between related documents.",ADC,Cash Received,Corresponding,,String,%100s,ADC,General Ledger Line,2,REF,Journal_ID,GL_Details,0..1
AR,256,RBIE,AR Cash Received,7,Fiscal Period,ADC_ Cash Received. Defined. ADC_ Fiscal Period,"Accounting period in which the Receipt_Date occurs. The year shall be shown in four digits as YYYY, which is part of the extended format and the YYYY-MM-DD in ISO 8601-1. Shall match the Fiscal_Year in the BAS_Accounting_Period table.",gl-bus:fiscalYearEnd,ADC,Cash Received,Defined,,String,%4c,ADC,Fiscal Period,1,REF,Fiscal_Year,BAS_Accounting_Period,1..1
AR,257,BBIE,AR Cash Received,8,Receipt Date,ADC_ Cash Received. Receipt. Date,"The receipt date of the account receivable by the customer. For example, the received date of check, wire transfer and cash.",gl-bus:documentReceivedDate,ADC,Cash Received,Receipt,Date,Date,%10c,,,1,,,,1..1
AR,258,RBIE,AR Cash Received,9,Settlement Method Code,ADC_ Cash Received. Settlement Method. ADC_ Settlement Method,"The code value or indicator of the method by which the transaction debit or credit amount was extinguished or apportioned to the debt by the customer; for example, check, wire transfer and cash. Shall match the Settlement_Method_Code in the BAS_Settlement_Method table.",,ADC,Cash Received,Settlement Method,,String,%60s,ADC,Settlement Method,1,REF,Settlement_Method_Code,BAS_Settlement_Method,1..1
AR,259,BBIE,AR Cash Received,10,Reference Number,ADC_ Cash Received. Reference Number. Code,"The number of an internally or externally generated transaction; for example, check number, wire transfer number, or original document ID.",gl-cor:documentNumber,ADC,Cash Received,Reference Number,Code,String,%100s,,,1,,,,1..1
AR,260,BBIE,AR Cash Received,11,Reference Date,ADC_ Cash Received. Reference Date,"The date on an internally or externally generated transaction; for example, check date or wire transfer date.",gl-cor:documentDate,ADC,Cash Received,Reference Date,Date,Date,%10c,,,1,,,,1..1
AR,261,ASBIE,AR Cash Received,12,Multicurrrency Amount,ADC_ Cash Received. Monetary Amount. ADC_ Multi Currency Amount,Transaction monetary amount recorded in the multi currency.,gl-muc:multicurrencyDetail,ADC,Cash Received,Monetary Amount,,,,ADC,Multi Currency Amount,1,,,,1..1
AR,262,BBIE,AR Cash Received,13,Amount Credit Debit Indicator,ADC_ Cash Received. Credit Debit Indicator,This indicates whether the amount is a credit or a debit. EXAMPLE C=credit; D=debit.,gl-cor:debitCreditCode,ADC,Cash Received,Credit Debit Indicator,Indicator,String,%1c,,,1,,,,1..1
AR,263,BBIE,AR Cash Received,14,Remark,ADC_ Cash Received. Remark,Freeform text description.,gl-cor:entryComment,ADC,Cash Received,Remark,Text,String,%500s,,,2,,,,0..1
AR,264,RBIE,AR Cash Received,15,GL Debit Account Number,ADC_ Cash Received. Debit_ GL Account Number. ADC_ Chart Of Accounts,The GL account number on which the debit side of the transaction has been posted. Shall match the GL_Account_Number in the BAS_Chart_Of_Accounts table.,gl-cor:accountMainID with gl-cor:accountPurposeDescription = debit-value in a second account structure,ADC,Cash Received,GL Account Number,,String,%100s,ADC,Chart Of Accounts,1,REF,GL_Account_Number,BAS_Chart_Of_Accounts,1..1
AR,265,RBIE,AR Cash Received,16,GL Credit Account Number,ADC_ Cash Received. Credit_ GL Account Number. ADC_ Chart Of Accounts,The GL account number on which the credit side of the transaction has been posted. Shall match the GL_Account_Number in the BAS_Chart_Of_Accounts table.,gl-cor:accountMainID with gl-cor:accountPurposeDescription = debit-value in a second account structure,ADC,Cash Received,GL Account Number,,String,%100s,ADC,Chart Of Accounts,1,REF,GL_Account_Number,BAS_Chart_Of_Accounts,1..1
AR,266,ASBIE,AR Cash Received,17,Activity Records,ADC_ Cash Received. Recorded. ADC_ Activity Records,"The operation records on this record such as create, approve, last modify this record.",Use corresponding element of XBRL GL taxonomy.,ADC,Cash Received,Recorded,,,,ADC,Activity Records,1,,,,1..1
AR,267,RBIE,AR Cash Received,18,Business Segment X,ADC_ Cash Received. X. ADC_ Business Segment,"A reserved field that shall be used for business segments/structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with a unique reference level. For example, division, department, business unit, purchasing organization, project or legal entity.",gl-bus:organizationIdentifier,ADC,Cash Received,X,,String,%25s,ADC,Business Segment,1,,,,1..n
AR,268,IDBIE,AR Cash Application,1,AR Application ID,ADC_ AR Cash Application. ID,The unique identifier for the application of cash from a receipt to each invoice. Typically auto-generated by the system.,"gl-cor:documentReference / Rather than using a data field, use XML's ID at the top level of the structure. You can use both XML IDs and IDREFs to create physical links between related documents.",ADC,AR Cash Application,Identification,Identifier,String,%100s,,,1,PK,,,1..1
AR,269,RBIE,AR Cash Application,2,Fiscal Period,ADC_ AR Cash Application. Defined. ADC_ Fiscal Period,"Accounting period in which the  AR_Application_Date occurs. The year shall be shown in four digits as YYYY, which is part of the extended format and the YYYY-MM-DD in ISO 8601-1. Shall match the Fiscal_Year in the BAS_Accounting_Period table.",gl-bus:fiscalYearEnd,ADC,AR Cash Application,Defined,,String,%4c,ADC,Fiscal Period,1,REF,Fiscal_Year,BAS_Accounting_Period,1..1
AR,270,BBIE,AR Cash Application,3,AR Application Date,ADC_ AR Cash Application. Application. Date,"The date of the cash application transaction, regardless of the date the transaction is created.",gl-cor:documentDate,ADC,AR Cash Application,Application,Date,Date,%10c,,,1,,,,1..1
AR,271,RBIE,AR Cash Application,4,Customer Account ID,ADC_ AR Cash Application. Payer. ADC_ Customer,The unique identifier for the customer from whom payment is expected or to whom unused credits have been applied. Typically auto-generated by the system. Shall match the Customer_Account_ID in the BAS_Customer table.,gl-cor:identifierCode with gl-cor:identifierType = customer,ADC,AR Cash Application,Payer,,String,%100s,ADC,Customer,1,REF,Customer_Account_ID,BAS_Customer,1..1
AR,272,RBIE,AR Cash Application,5,Receipt ID,ADC_ AR Cash Application. Originating. ADC_ Cash Received,"The unique identifier for the transactional document, from which AR is derived. Typically autogenerated by the system. Shall match the Receipt_ID in the AR_Cash_Received table.",gl-taf:originatingDocumentNumber with gl-taf:originatingDocumentType = check*,ADC,AR Cash Application,Originating,,String,%60s,ADC,Cash Received,1,REF,Receipt_ID,AR_Cash_Received,1..1
