Module	#	Kind	Table	No.	Name	DictionaryEntryName	Description	XBRL_GL_TaxonomyElement	ObjectClassTermQualifier	ObjectClassTerm	PropertyTermQualifier	PropertyTerm	DatatypeQualifier	RepresentationTerm	AssociatedObjectClassTermQualifier	AssociatedObjectClass	Datatype	Representation	Level	Key	RefField	RefTable	OccurrenceMin	OccurrenceMax
AR	30	ASBIE	AR Cash Received	12	Multicurrrency Amount	ADC_ Cash Received. Monetary Amount. ADC_ Multi Currency Amount	Transaction monetary amount recorded in the multi currency.	gl-muc:multicurrencyDetail	ADC	Cash Received		Monetary Amount			ADC	Multi Currency Amount			1				1	1
AR	30	BBIE	AR Cash Received	13	Amount Credit Debit Indicator	ADC_ Cash Received. Credit Debit Indicator	This indicates whether the amount is a credit or a debit. EXAMPLE C=credit; D=debit.	gl-cor:debitCreditCode	ADC	Cash Received		Credit Debit Indicator		Indicator			String	%1c	1				1	1
AR	30	BBIE	AR Cash Received	14	Remark	ADC_ Cash Received. Remark	Freeform text description.	gl-cor:entryComment	ADC	Cash Received		Remark		Text			String	%500s	2				0	1
AR	30	RBIE	AR Cash Received	15	GL Debit Account Number	ADC_ Cash Received. Debit_ GL Account Number. ADC_ Chart Of Accounts	The GL account number on which the debit side of the transaction has been posted. Shall match the GL_Account_Number in the BAS_Chart_Of_Accounts table.	"gl-cor:accountMainID with gl-cor:accountPurposeDescription = ""debit-value"" in a second account structure"	ADC	Cash Received	Debit	GL Account Number			ADC	Chart Of Accounts	String	%100s	1	REF	GL_Account_Number	BAS_Chart_Of_Accounts	1	1
AR	30	RBIE	AR Cash Received	16	GL Credit Account Number	ADC_ Cash Received. Credit_ GL Account Number. ADC_ Chart Of Accounts	The GL account number on which the credit side of the transaction has been posted. Shall match the GL_Account_Number in the BAS_Chart_Of_Accounts table.	"gl-cor:accountMainID with gl-cor:accountPurposeDescription = ""debit-value"" in a second account structure"	ADC	Cash Received	Credit	GL Account Number			ADC	Chart Of Accounts	String	%100s	1	REF	GL_Account_Number	BAS_Chart_Of_Accounts	1	1
AR	30	ASBIE	AR Cash Received	17	Activity Records	ADC_ Cash Received. Recorded. ADC_ Activity Records	"The operation records on this record such as create, approve, last modify this record."	Use corresponding element of XBRL GL taxonomy.	ADC	Cash Received		Recorded			ADC	Activity Records			1				1	1
AR	30	RBIE	AR Cash Received	18	Business Segment X	ADC_ Cash Received. X. ADC_ Business Segment	"A reserved field that shall be used for business segments/structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with a unique reference level. For example, division, department, business unit, purchasing organization, project or legal entity."	gl-bus:organizationIdentifier	ADC	Cash Received		X			ADC	Business Segment	String	%25s	1				1	n
AR	31	ABIE	AR Cash Application	0		ADC_ AR Cash Application. Details	"The information of all cash receipts applied against the invoice during the period under review is contained in Table 65. The file will record for each application of cash receipt to an invoice. For example, if a cash receipt was applied to three invoices, there will be three records for that receipt, one for each of the invoices to which the cash was applied. In the context of this process, cash means any type of receipt received including checks, wire transfers and cash."		ADC	AR Cash Application													0	n
AR	31	IDBIE	AR Cash Application	1	AR Application ID	ADC_ AR Cash Application. ID	The unique identifier for the application of cash from a receipt to each invoice. Typically auto-generated by the system.	"gl-cor:documentReference / Rather than using a data field, use XML's ID at the top level of the structure. You can use both XML IDs and IDREFs to create physical links between related documents."	ADC	AR Cash Application		Identification		Identifier			String	%100s	1	PK			1	1
AR	31	RBIE	AR Cash Application	2	Fiscal Period	ADC_ AR Cash Application. Defined. ADC_ Fiscal Period	"Accounting period in which the  AR_Application_Date occurs. The year shall be shown in four digits as ""YYYY"", which is part of the extended format and the ""YYYY-MM-DD"" in ISO 8601-1. Shall match the Fiscal_Year in the BAS_Accounting_Period table."	gl-bus:fiscalYearEnd	ADC	AR Cash Application		Defined			ADC	Fiscal Period	String	%4c	1	REF	Fiscal_Year	BAS_Accounting_Period	1	1
AR	31	BBIE	AR Cash Application	3	AR Application Date	ADC_ AR Cash Application. Application. Date	"The date of the cash application transaction, regardless of the date the transaction is created."	gl-cor:documentDate	ADC	AR Cash Application		Application		Date			Date	%10c	1				1	1
AR	31	RBIE	AR Cash Application	4	Customer Account ID	ADC_ AR Cash Application. Payer. ADC_ Customer	The unique identifier for the customer from whom payment is expected or to whom unused credits have been applied. Typically auto-generated by the system. Shall match the Customer_Account_ID in the BAS_Customer table.	"gl-cor:identifierCode with gl-cor:identifierType = ""customer"""	ADC	AR Cash Application		Payer			ADC	Customer	String	%100s	1	REF	Customer_Account_ID	BAS_Customer	1	1
AR	31	RBIE	AR Cash Application	5	Receipt ID	ADC_ AR Cash Application. Originating. ADC_ Cash Received	"The unique identifier for the transactional document, from which AR is derived. Typically autogenerated by the system. Shall match the Receipt_ID in the AR_Cash_Received table."	"gl-taf:originatingDocumentNumber with gl-taf:originatingDocumentType = ""check""*"	ADC	AR Cash Application		Originating			ADC	Cash Received	String	%60s	1	REF	Receipt_ID	AR_Cash_Received	1	1
AR	31	RBIE	AR Cash Application	6	Invoice ID	ADC_ AR Cash Application. Originating. ADC_ Invoice Generated	"The unique identifier for the invoice, from which AR is derived. Typically auto-generated by the system. May be set to NULL if adjustment is at customer (not invoice) level. Otherwise shall match the Invoice_ID in the SAL_Invoices_Generated table."	"gl-taf:originatingDocumentNumber with gl-taf:originatingDocumentType = ""invoice""*"	ADC	AR Cash Application		Originating			ADC	Invoice Generated	String	%60s	1	REF	Invoice_ID	SAL_Invoices_Generated	1	1
AR	31	RBIE	AR Cash Application	7	Settlement Method Code	ADC_ AR Cash Application. Settlement Method. ADC_ Settlement Method	"The code of the settlement method. Various methods can be used to settle transactions and transfer money; for example, check, wire transfer and cash. Shall match the Settlement_Method_Code in the BAS_Settlement_Method table."		ADC	AR Cash Application		Settlement Method			ADC	Settlement Method	String	%60s	1	REF	Settlement_Method_Code	Settlement_Method	1	1
AR	31	ASBIE	AR Cash Application	8	Multicurrrency Amount	ADC_ AR Cash Application. Monetary Amount. ADC_ Multi Currency Amount	Transaction monetary amount recorded in the functional or group currency. No multi-currency translation should be performed on this amount because all transactions are recorded in a single currency.	gl-muc:multicurrencyDetail	ADC	AR Cash Application		Monetary Amount			ADC	Multi Currency Amount			1				1	1
AR	31	BBIE	AR Cash Application	9	Remark	ADC_ AR Cash Application. Remark	Freeform text description.	gl-cor:entryComment	ADC	AR Cash Application		Remark		Text			String	%500s	2				0	1
AR	31	RBIE	AR Cash Application	10	GL Debit Account Number	ADC_ AR Cash Application. Debit_ GL Account Number. ADC_ Chart Of Accounts	The GL account number on which the debit side of the transaction has been posted. Shall match the GL_Account_Number in the BAS_Chart_Of_Accounts table.	"gl-cor:accountMainID with gl-cor:accountPurposeDescription = ""debit-value"" in a second account structure"	ADC	AR Cash Application	Debit	GL Account Number			ADC	Chart Of Accounts	String	%100s	1	REF	GL_Account_Number	BAS_Chart_Of_Accounts	1	1
AR	31	RBIE	AR Cash Application	11	GL Credit Account Number	ADC_ AR Cash Application. Credit_ GL Account Number. ADC_ Chart Of Accounts	The GL account number on which the credit side of the transaction has been posted. Shall match the GL_Account_Number in the BAS_Chart_Of_Accounts table.	"gl-cor:mainAccountID with gl-cor:mainAccountPurposeDescriptio gl-cor:accountMainID with gl-cor:accountPurposeDescription n = ""credit-value"" in a second account structure"	ADC	AR Cash Application	Credit	GL Account Number			ADC	Chart Of Accounts	String	%100s	1	REF	GL_Account_Number	BAS_Chart_Of_Accounts	1	1
AR	31	ASBIE	AR Cash Application	12	Activity Records	ADC_ AR Cash Application. Recorded. ADC_ Activity Records	"The operation records on this record such as create, approve, last modify this record."	Use corresponding element of XBRL GL taxonomy.	ADC	AR Cash Application		Recorded			ADC	Activity Records			1				1	1
AR	31	RBIE	AR Cash Application	13	Business Segment X	ADC_ AR Cash Application. X. ADC_ Business Segment	"A reserved field that shall be used for business segments/structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with a unique reference level. For example, division, department, business unit, purchasing organization, project or legal entity."	gl-bus:organizationIdentifier	ADC	AR Cash Application		X			ADC	Business Segment	String	%25s	1				1	n
AR	32	ABIE	AR Adjustments	0		ADC_ AR Adjustment. Details	"All adjustments recorded against the invoice and impacting the invoice balance during the period are contained in Table 67. For example, write-offs, credit memos, and other adjustments. The data set shall contain one record for each adjustment to each invoice. For example, if an adjustment transaction impacted three invoices, there shall be three records for that adjustment; one for each of the invoices impacted by the adjustment."		ADC	AR Adjustment													0	n
AR	32	IDBIE	AR Adjustments	1	Adjustment ID	ADC_ AR Adjustment. ID	The unique identifier for the adjustment of record. Typically autogenerated by the system.	"gl-cor:documentReference / Rather than using a data field, use XML's ID at the top level of the structure. You can use both XML IDs and IDREFs to create physical links between related documents."	ADC	AR Adjustment		Identification		Identifier			String	%100s	1	PK			1	1
AR	32	BBIE	AR Adjustments	2	Adjustment Number	ADC_ AR Adjustment. Adjustment  Number. Code	"The number of the adjustment of record. This number is generated either by manual input or by the system. This number can be created by concatenating fields to uniquely identify each transaction. EXAMPLE Serial number, document type, and adjustment date."		ADC	AR Adjustment		Adjustment  Number		Code			String	%100s	1				1	1
AR	32	BBIE	AR Adjustments	3	Adjustment Type Name	ADC_ AR Adjustment. Adjustment Type. Name	"The name of the method by which the transaction debit or credit amount was extinguished or apportioned to the debt by the customer. EXAMPLE Credit memo, debit memo, finance charge and other adjustments."	gl-cor:documentType using provided enumerations or gl-cor:documentType = {other} and and gl-bus:paymentMethod.	ADC	AR Adjustment		Adjustment Type		Name			String	%60s	1				1	1
AR	32	BBIE	AR Adjustments	4	Adjustment Document Number	ADC_ AR Adjustment. Adjustment Document Number. Code	"The number of an internally generated adjustment document. EXAMPLE Credit memo. The number is usually generated by manual input or is system generated. EXAMPLE Document number, document type, and year."	gl-cor:documentNumber	ADC	AR Adjustment		Adjustment Document Number		Code			String	%100s	1				1	1
AR	32	RBIE	AR Adjustments	5	Invoice ID	ADC_ AR Adjustment. Originating. ADC_ Invoice Generated	"The unique identifier for the invoice, from which AR is derived. Typically auto-generated by the system. This field represents the invoice against which the adjustment is applied, if relevant. May be set to NULL if adjustment is at customer (not invoice) level. Otherwise shall match the Invoice_ID in the SAL_Invoices_Generated table."	"gl-taf:originatingDocumentNumer with gl-taf:originatingDocumentType = ""invoice"""	ADC	AR Adjustment		Originating			ADC	Invoice Generated	String	%60s	1	REF	Invoice_ID	SAL_Invoices_Generated	1	1
AR	32	RBIE	AR Adjustments	6	Journal ID	ADC_ AR Adjustment. Corresponding. ADC_ General Ledger Line	The unique identifier for journal entry. Typically auto-generated by the system. Shall match the Journal_ID in the GL_Details table.	"Rather than using a data field, use XML's ID at the top level of the structure. You can use both XML IDs and IDREFs to create physical links between related documents."	ADC	AR Adjustment		Corresponding			ADC	General Ledger Line	String	%100s	2	REF	Journal_ID	GL_Details	0	1
AR	32	RBIE	AR Adjustments	7	Fiscal Period	ADC_ AR Adjustment. Fiscal Year. ADC_ Fiscal Period	"Accounting period in which the Adjustment_Date occurs. The year shall be shown in four digits as ""YYYY"", which is part of the extended format and the ""YYYY-MM-DD"" in ISO 8601-1. Shall match the Fiscal_Year in the BAS_Accounting_Period table."	gl-bus:fiscalYearEnd	ADC	AR Adjustment		Fiscal Year			ADC	Fiscal Period	String	%4c	1	REF	Fiscal_Year	BAS_Accounting_Period	1	1
AR	32	BBIE	AR Adjustments	9	Adjustment Date	ADC_ AR Adjustment. Adjustment. Date	"The date of the adjustment, regardless of the date the adjustment is created."	gl-cor:postingDate	ADC	AR Adjustment		Adjustment		Date			Date	%10c	1				1	1
AR	32	RBIE	AR Adjustments	10	Customer Account ID	ADC_ AR Adjustment. Payer. ADC_ Customer	The unique identifier for the customer from whom payment is expected or to whom unused credits have been applied. Typically auto-generated by the system. Shall match the Customer_Account_ID in the BAS_Customer table.	"gl-cor:identifierCode with gl-cor:identifierType = ""customer"""	ADC	AR Adjustment		Payer			ADC	Customer	String	%100s	1	REF	Customer_Account_ID	BAS_Customer	1	1
AR	32	ASBIE	AR Adjustments	11	Adjustment Multicurrrency Amount	ADC_ AR Adjustment. Monetary Amount. ADC_ Multi Currency Amount	Adjusted monetary amount recorded in the multi currency.	gl-muc:multicurrencyDetail	ADC	AR Adjustment		Monetary Amount			ADC	Multi Currency Amount			1				1	1
AR	32	ASBIE	AR Adjustments	12	Activity Records	ADC_ AR Adjustment. Recorded. ADC_ Activity Records	"The operation records on this record such as create, approve, last modify this record."	Use corresponding element of XBRL GL taxonomy.	ADC	AR Adjustment		Recorded			ADC	Activity Records			1				1	1
AR	32	ASBIE	AR Adjustments	13		ADC_ AR Adjustment. Charged. ADC_ Local TaxN	The amount of Tax1 included in the transaction. Recorded in local currency.	Use corresponding element of XBRL GL taxonomy.	ADC	AR Adjustment		Charged			ADC	Local TaxN			1				1	n
AR	32	RBIE	AR Adjustments	14	GL Debit Account Number	ADC_ AR Adjustment. Debit_ GL Account Number. ADC_ Chart Of Accounts	The GL account number on which the debit side of the transaction has been posted. Shall match the GL_Account_Number in the BAS_Chart_Of_Accounts table.	"gl-cor:accountMainID with gl-cor:accountPurposeDescription = ""debit-value"" in a second account structure"	ADC	AR Adjustment	Debit	GL Account Number			ADC	Chart Of Accounts	String	%100s	2	REF	GL_Account_Number	BAS_Chart_Of_Accounts	0	1
AR	32	RBIE	AR Adjustments	15	GL Credit Account Number	ADC_ AR Adjustment. Credit_ GL Account Number. ADC_ Chart Of Accounts	The GL account number on which the credit side of the transaction has been posted. Shall match the GL_Account_Number in the BAS_Chart_Of_Accounts table.	"gl-cor:accountMainID with gl-cor:accountPurposeDescription = ""credit-value"" in a second account structure"	ADC	AR Adjustment	Credit	GL Account Number			ADC	Chart Of Accounts	String	%100s	2	REF	GL_Account_Number	BAS_Chart_Of_Accounts	0	1
AR	32	RBIE	AR Adjustments	16	Business Segment X	ADC_ AR Adjustment. X. ADC_ Business Segment	"A reserved field that shall be used for business segments/structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with a unique reference level. For example, division, department, business unit, purchasing organization, project or legal entity."	gl-bus:organizationIdentifier	ADC	AR Adjustment		X			ADC	Business Segment	String	%25s	1				1	n
AR	32	ASBIE	AR Adjustments	17	Accounts Receivable Adjustment Line	ADC_ AR Adjustment. Defined. ADC_ AR Adjustment Line	Line item details for the invoices included in the AR_Adjustments are contained in Table 69. The file will record for each invoice line item impacted by each adjustment.		ADC	AR Adjustment		Defined			ADC	AR Adjustment Line							1	n
AR	33	ABIE	AR Adjustments Details	0		ADC_ AR Adjustment Line. Details	Line item details for the invoices included in the AR_Adjustments are contained in Table 69. The file will record for each invoice line item impacted by each adjustment.		ADC	AR Adjustment Line													0	n
AR	33	RBIE	AR Adjustments Details	1	Adjustment ID	ADC_ AR Adjustment Line. Detail to Summary. ADC_ AP Adjustment	The unique identifier for the adjustment of record. Typically autogenerated by the system. Shall match the Adjustment_ID in the AR_Adjustments table.	"gl-cor:documentReference  / Rather than use a data field, use XML's ID and IDREF to create the physical link from detail to summary structure."	ADC	AR Adjustment Line		Detail to Summary			ADC	AP Adjustment	String	%100s	1	REF	Adjustment_ID	AR_Adjustments	1	1
AR	33	IDBIE	AR Adjustments Details	2	Adjustment Line ID	ADC_ AR Adjustment Line. ID	The unique identifier for the adjustment line. Typically autogenerated by the system.	"gl-cor:documentReference / Rather than using a data field, use XML's ID at the top level of the structure. You can use both XML IDs and IDREFs to create physical links between related documents."	ADC	AR Adjustment Line		Identification		Identifier			String	%60s	1	PK			1	1
AR	33	BBIE	AR Adjustments Details	3	Adjustment Line Number	ADC_ AR Adjustment Line. Adjustment Line Number. Code	The number of the line item of the adjustment of record. This number is generated either by manual input or by the system.	gl-cor:lineNumber	ADC	AR Adjustment Line		Adjustment Line Number		Code			String	%10s	1				1	1
AR	33	RBIE	AR Adjustments Details	4	Invoice ID	ADC_ AR Adjustment Line. Originating. ADC_ Invoice Generated	"The unique identifier for the invoice, from which AR is derived. Typically auto-generated by the system. This field represents the invoice to which the adjustment is applied, if relevant. May be set to NULL if adjustment is at customer (not invoice) level. Otherwise shall match the Invoice_ID in the SAL_Invoices_Generated_Details table."	"gl-taf:originatingDocumentNumer with gl-taf:originatingDocumentType = ""invoice"""	ADC	AR Adjustment Line		Originating			ADC	Invoice Generated	String	%60s	1	REF	Invoice_ID	SAL_Invoices_Generated_Details	1	1
AR	33	RBIE	AR Adjustments Details	5	Invoice Line ID	ADC_ AR Adjustment Line. Originating. ADC_ Invoice Generated Line	The unique identifier for an invoice line. Typically auto-generated by the system. May be set to NULL if adjustment is at customer (not invoice) level. Otherwise shall match the Invoice_Line_ID in the SAL_Invoices_Generated_Details table.	"gl-taf:originatingDocumentNumer with gl-taf:originatingDocumentType = ""invoice"""	ADC	AR Adjustment Line		Originating			ADC	Invoice Generated Line	String	%60s	1	REF	Invoice_Line_ID	SAL_Invoices_Generated_Details	1	1
AR	33	RBIE	AR Adjustments Details	6	Journal ID	ADC_ AR Adjustment Line. Corresponding. ADC_ General Ledger Line	The unique identifier for journal entry. Typically auto-generated by the system. Shall match the Journal_ID in the GL_Details table.	"Rather than using a data field, use XML's ID at the top level of the structure. You can use both XML IDs and IDREFs to create physical links between related documents."	ADC	AR Adjustment Line		Corresponding			ADC	General Ledger Line	String	%100s	2	REF	Journal_ID	GL_Details	0	1
AR	33	ASBIE	AR Adjustments Details	7	ADJ Line Multicurrrency Amount	ADC_ AR Adjustment Line. Monetary Amount. ADC_ Multi Currency Amount	Adjusted monetary amount recorded in the functional or group currency. No multi-currency translation should be performed on this amount because all transactions are recorded in a single currency.	gl-muc:multicurrencyDetail	ADC	AR Adjustment Line		Monetary Amount			ADC	Multi Currency Amount			1				1	1
AR	33	ASBIE	AR Adjustments Details	8	Local Tax N	ADC_ AR Adjustment Line. Charged. ADC_ Local TaxN	The amount of Tax included in the transaction. Recorded in local currency.	Use corresponding element of XBRL GL taxonomy.	ADC	AR Adjustment Line		Charged			ADC	Local TaxN			1				1	n
AR	33	RBIE	AR Adjustments Details	9	GL Debit Account Number	ADC_ AR Adjustment Line. Debit_ GL Account Number. ADC_ Chart Of Accounts	The GL account number on which the debit side of the transaction has been posted. Shall match the GL_Account_Number in the BAS_Chart_Of_Accounts table.	"gl-cor:accountMainID with gl-cor:accountPurposeDescription = ""debit-value"" in a second account structure"	ADC	AR Adjustment Line	Debit	GL Account Number			ADC	Chart Of Accounts	String	%100s	2	REF	GL_Account_Number	BAS_Chart_Of_Accounts	0	1
AR	33	RBIE	AR Adjustments Details	10	GL Credit Account Number	ADC_ AR Adjustment Line. Credit_ GL Account Number. ADC_ Chart Of Accounts	The GL account number on which the credit side of the transaction has been posted. Shall match the GL_Account_Number in the BAS_Chart_Of_Accounts table.	"gl-cor:accountMainID with gl-cor:accountPurposeDescription = ""credit-value"" in a second account structure"	ADC	AR Adjustment Line	Credit	GL Account Number			ADC	Chart Of Accounts	String	%100s	2	REF	GL_Account_Number	BAS_Chart_Of_Accounts	0	1
AR	33	RBIE	AR Adjustments Details	11	Business Segment X	ADC_ AR Adjustment Line. X. ADC_ Business Segment	"A reserved field that shall be used for business segments/structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with a unique reference level. For example, division, department, business unit, purchasing organization, project or legal entity."	gl-bus:organizationIdentifier	ADC	AR Adjustment Line		X			ADC	Business Segment	String	%25s	1				1	n
Sales	34	ABIE	SAL Contracts	0		ADC_ Sales Contract. Details	"The summary information of sales contracts placed during the period under review is contained in Table 72. In situations where companies only require sales orders, the sales contract(s) may not always be available. The file will record for each contract."		ADC	Sales Contract													0	n
Sales	34	IDBIE	SAL Contracts	1	Sales Contract ID	ADC_ Sales Contract. ID	The unique identifier for the sales contract. Typically auto-generated by the system.	"gl-cor:documentReference with gl-cor:documentType = ""order- customer"""	ADC	Sales Contract		Identification		Identifier			String	%60s	1	PK			1	1
Sales	34	BBIE	SAL Contracts	2	Sales Contract Number	ADC_ Sales Contract. Sales Contract Number. Code	The number of the sales contract. This number is generated either by manual input or by the system.		ADC	Sales Contract		Sales Contract Number		Code			String	%80s	1				1	1
Sales	34	BBIE	SAL Contracts	3	Contract Type Name	ADC_ Sales Contract. Contract Type. Name	"The name of contract type used in sales activities. EXAMPLE Framework agreement, short-term contract."		ADC	Sales Contract		Contract Type		Name			String	%80s	1				1	1
Sales	34	BBIE	SAL Contracts	4	Contract Beginning Date	ADC_ Sales Contract. Beginning. Date	The beginning date of the contract.		ADC	Sales Contract		Beginning		Date			Date	%10c	1				1	1
Sales	34	BBIE	SAL Contracts	5	Contract Ending Date	ADC_ Sales Contract. Ending. Date	The ending date of the contract.		ADC	Sales Contract		Ending		Date			Date	%10c	1				1	1
Sales	34	RBIE	SAL Contracts	6	Customer Account ID	ADC_ Sales Contract. Receiving. ADC_ Customer	The unique identifier for the receiving customer. Typically auto-generated by the system. Shall match the Customer_Account_ID in the BAS_Customer table.	"gl-cor:identifierCode with gl-cor:identifierType = ""customer"""	ADC	Sales Contract		Receiving			ADC	Customer	String	%100s	1	REF	Customer_Account_ID	BAS_Customer	1	1
Sales	34	RBIE	SAL Contracts	7	Sales Organization Code	ADC_ Sales Contract. Sales Organization. ADC_ Business Segment	The unique code of the sales organization which signed the contract. Shall match the Business_Segment_Code in the BAS_Business_Segment table.	gl-bus:organizationIdentifier	ADC	Sales Contract		Sales Organization			ADC	Business Segment	String	%25s	1	REF	Business_Segment_Code	BAS_Business_Segment	1	n
Sales	34	RBIE	SAL Contracts	8	Salesperson ID	ADC_ Sales Contract. Salesperson. ADC_ Employee	The unique identifier for the salesperson. Shall match the Employee_ID in the BAS_Employee table.		ADC	Sales Contract		Salesperson			ADC	Employee	String	%60s	1	REF	Employee_ID	BAS_Employee	1	1
Sales	34	RBIE	SAL Contracts	9	Settlement Method Code	ADC_ Sales Contract. Settlement Method. ADC_ Settlement Method	The code value or indicator of the method by which the transaction (i.e. the debit or credit amount) amount was extinguished or apportioned to the debt by the customer or the supplier. Shall match the Settlement_Method_Code in the BAS_Settlement_Method table.		ADC	Sales Contract		Settlement Method			ADC	Settlement Method	String	%60s	2	REF	Settlement_Method_Code	BAS_Settlement_Method	0	1
Sales	34	RBIE	SAL Contracts	10	Payment Term Code	ADC_ Sales Contract. Payment Term. ADC_ Payment Term	"The code of the payment term. Shall match the Payment_Term_Code in the BAS_Payment_Term table; for example, cash on delivery, payment 30 days after delivery date."		ADC	Sales Contract		Payment Term			ADC	Payment Term	String	%80s	2	REF	Payment_Term_Code	BAS_Payment_Term	0	1
Sales	34	BBIE	SAL Contracts	11	Status	ADC_ Sales Contract. Status	"The status of the sales contract. EXAMPLE New, Save, Submit and Frozen."		ADC	Sales Contract		Status		Text			String	%30s	1				1	1
Sales	34	BBIE	SAL Contracts	12	Remark	ADC_ Sales Contract. Remark	Freeform text description.	gl-cor:entryComment	ADC	Sales Contract		Remark		Text			String	%500s	1				1	1
Sales	34	ASBIE	SAL Contracts	13	Activity Records	ADC_ Sales Contract. Recorded. ADC_ Activity Records	"The operation records on this record such as create, approve, last modify this record."	Use corresponding element of XBRL GL taxonomy.	ADC	Sales Contract		Recorded			ADC	Activity Records			1				1	1
Sales	34	RBIE	SAL Contracts	14	Business Segment X	ADC_ Sales Contract. X. ADC_ Business Segment	"A reserved field that shall be used for business segments/structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with a unique reference level. For example, division, department, business unit, purchasing organization, project or legal entity."	gl-bus:organizationIdentifier	ADC	Sales Contract		X			ADC	Business Segment	String	%25s	1				1	n
Sales	34	ASBIE	SAL Contracts	15	Sales Contract Line	ADC_ Sales Contract. Defined. ADC_ Sales Contract Line	"Line item details for the sales contracts are contained in Table 74. Each line includes product, quantity, customer, price per unit and trading amount. The file will record for each contract line item."		ADC	Sales Contract		Defined			ADC	Sales Contract Line							1	n
Sales	35	ABIE	SAL Contracts Details	0		ADC_ Sales Contract Line. Details	"Line item details for the sales contracts are contained in Table 74. Each line includes product, quantity, customer, price per unit and trading amount. The file will record for each contract line item."		ADC	Sales Contract Line													0	n
Sales	35	RBIE	SAL Contracts Details	1	Sales Contract ID	ADC_ Sales Contract Line. Detail to Summary. ADC_ Sales Contract	The unique identifier for the sales contract. Typically auto-generated by the system. Shall match the Sales_Contract_ID in the SAL_Contracts table.	"gl-cor:documentReference  / Rather than use a data field, use XML's ID and IDREF to create the physical link from detail to summary structure."	ADC	Sales Contract Line		Detail to Summary			ADC	Sales Contract	String	%60s	1	REF	Sales_Contract_ID	SAL_Contracts	1	1
Sales	35	IDBIE	SAL Contracts Details	2	Sales Contract Line ID	ADC_ Sales Contract Line. ID	The unique identifier for a sales contract line. Typically auto-generated by the system.	"gl-cor:lineNumber / Rather than using a data field, use XML's ID at the top level of the structure. You can use both XML IDs and IDREFs to create physical links between related documents."	ADC	Sales Contract Line		Identification		Identifier			String	%60s	1	PK			1	1
Sales	35	BBIE	SAL Contracts Details	3	Sales Contract Line Number	ADC_ Sales Contract Line. Line Number. Code	"The number of a sales contract line. The number is usually generated by manual input or is system generated; for example, including contract ID, date and serial number."	"gl-cor:lineNumber / Rather than using a data field, use XML's ID at the top level of the structure. You can use both XML IDs and IDREFs to create physical links between related documents."	ADC	Sales Contract Line		Line Number		Code			String	%10s	2				0	1
Sales	35	RBIE	SAL Contracts Details	4	Settlement Organization Code	ADC_ Sales Contract Line. Settlement Organization. ADC_ Business Segment	"The unique code of the settlement organization. Both parties have settlement unit code, which is used to identify an organization for sales order settlement. Shall match the Business_Segment_Code in the BAS_Business_Segment table."	gl-bus:organizationIdentifier	ADC	Sales Contract Line		Settlement Organization			ADC	Business Segment	String	%25s	2	REF	Business_Segment_Code	BAS_Business_Segment	0	n
Sales	35	RBIE	SAL Contracts Details	5	Dispatch Organization Code	ADC_ Sales Contract Line. Dispatch Organization. ADC_ Business Segment	The unique code of the dispatch organization. The dispatch unit refers to the unit who send out goods belonging to the seller. Shall match the Business_Segment_Code in the BAS_Business_Segment table.	gl-bus:organizationIdentifier	ADC	Sales Contract Line		Dispatch Organization			ADC	Business Segment	String	%25s	1	REF	Business_Segment_Code	BAS_Business_Segment	1	n
Sales	35	RBIE	SAL Contracts Details	6	Product ID	ADC_ Sales Contract Line. Corresponding. ADC_ Product	The unique identifier for the product. Typically auto-generated by the system. Shall match the Inventory_Product_ID in the INV_Product table.	gl-bus:measurableIDOther	ADC	Sales Contract Line		Corresponding			ADC	Product	String	%75s	1	REF	Inventory_Product_ID	INV_Product	1	1
Sales	35	ASBIE	SAL Contracts Details	7	Contract Quantity	ADC_ Sales Contract Line. Sales_ Contract. ADC_ Measurement Quantity	The quantity of the sales product in the contract.	gl-bus:measurableQuantity	ADC	Sales Contract Line	Sales	Contract			ADC	Measurement Quantity			1				1	1
Sales	35	BBIE	SAL Contracts Details	8	Tax Exclude Unit Price	ADC_ Sales Contract Line. Tax Exclude Unit Price. Amount	The unit price (excluding tax) in transaction currency.		ADC	Sales Contract Line		Tax Exclude Unit Price		Amount			Decimal	%22.8f	1				1	1
Sales	35	BBIE	SAL Contracts Details	9	Tax Include Unit Price	ADC_ Sales Contract Line. Tax Include Unit Price. Amount	The unit price (including tax) in transaction currency.		ADC	Sales Contract Line		Tax Include Unit Price		Amount			Decimal	%22.8f	1				1	1
Sales	35	BBIE	SAL Contracts Details	10	Tax Exclude Amount	ADC_ Sales Contract Line. Tax Exclude. Amount	The amount (excluding tax) in transaction currency.		ADC	Sales Contract Line		Tax Exclude		Amount			Decimal	%22.4f	1				1	1
Sales	35	BBIE	SAL Contracts Details	11	Tax Include Amount	ADC_ Sales Contract Line. Tax Include. Amount	The amount (including tax) in transaction currency.		ADC	Sales Contract Line		Tax Include		Amount			Decimal	%22.4f	1				1	1
