seq,module,ObjectClassTermQualifier,ObjectClassTerm,num,Kind,Name,Occurrence,PropertyTerm,RepresentationTerm,AssociatedObjectClassTermQualifier,AssociatedObjectClass,ReferencedObjectClassQualifier,ReferencedObjectClass,Description,DictionaryEntryName,Table,PK_REF,RefField,RefTable,Datatype,Representation,XBRLGL
1345,Ledger Entrues,,Trial Balance,5,ASBIE,Ending Multicurrrency Amount,1..1,Balance,,,Multi Currency Amount,,,Ending balance amount for the period.,Trial Balance. Balance. Multi Currency Amount,GL Trial Balance,,,,,,with optional gl-cor:xbrlInclude = ending_balance
1346,Ledger Entrues,,Trial Balance,6,RFBIE,Business Segment X,1..n,X,,,,,Business Segment,"A reserved field that shall be used for business segments/structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with a unique reference level. For example, division, department, business unit, purchasing organization, project or legal entity.",Trial Balance. X. Business Segment,GL Trial Balance,,,,String,%25s,gl-bus:organizationIdentifier
1347,Ledger Entrues,,General Ledger Line,0,ABIE,General Ledger Line,0..n,Details,,,,,,"All of the journal entry details for each transaction of ADCS are contained in Table 52. For example, the associated journal entry ID, the associated account number, and the debits or credits associated with the journal entry line are contained. This table should be at the journal entry line level.",General Ledger Line. Details,GL Details,,,,,,
1348,Ledger Entrues,,General Ledger Line,1,IDBIE,Journal ID,1..1,Identification,Identifier,,,,,The unique identifier for the journal entry. Typically auto-generated by the system.,,GL Details,PK,,,String,%100s,"gl-cor:entryNumber and gl-cor:lineNumber / Rather than using data fields, use XML's ID at the top level of the structure. You can use both XML IDs and IDREFs to create physical links between related documents."
1349,Ledger Entrues,,General Ledger Line,2,BBIE,Journal Number,1..1,Number,Code,,,,,"The number of the journal entry; for example, including serial number, document type, and date.",General Ledger Line. Number. Code,GL Details,,,,String,%100s,gl-cor:entryNumber 
1350,Ledger Entrues,,General Ledger Line,3,RFBIE,GL Account Number,1..1,GL Account Number,,,,,Chart Of Accounts,The GL account number. Shall match the GL_Account_Number used in the BAS_Chart_Of_Accounts table.,General Ledger Line. GL Account Number. Chart Of Accounts,GL Details,REF,GL_Account_Number,BAS_Chart_Of_Accounts,String,%100s,gl-cor:accountMainID
1351,Ledger Entrues,,General Ledger Line,4,RFBIE,Fiscal Period,1..1,Referenced,,,,,Fiscal Period,"Accounting period in which the Effective_Date occurs. The year shall be shown in four digits as YYYY, which is part of the extended format and the YYYY-MM-DD in ISO 8601-1. Shall match the Fiscal_Year in the BAS_Accounting_Period table.",General Ledger Line. Defined. Fiscal Period,GL Details,REF,Fiscal_Year,BAS_Accounting_Period,String,%4c,gl-bus:fiscalYearEnd
1352,Ledger Entrues,,General Ledger Line,5,BBIE,Effective Date,1..1,Effective,Date,,,,,"The date of the journal entry, no matter when the entry is received or created. This sometimes refers to the accounting date or accounting effective date; for example, if the user wants to see the financial results for the period ending March 5, 20X1, the journal entry may be created on any day during the open period and be assigned to the period ending March 5, 20X1.",General Ledger Line. Effective. Date,GL Details,,,,Date,%10c,gl-cor:postingDate
1353,Ledger Entrues,,General Ledger Line,6,BBIE,Journal Line Number,1..1,Number,Code,,,,,The number of the line within a journal entry. This number is generated either by manual input or by the system.,General Ledger Line. Number. Code,GL Details,,,,String,%100s,gl-cor:lineNumber
1354,Ledger Entrues,,General Ledger Line,7,RFBIE,Journal Entry Type Code,0..1,Journal Entry Type,,,,,Journal Entry Type,The code of journal entry type. Shall match the Journal Entry_Type_Code in the BAS_Journal_Entry_Type table.,General Ledger Line. Journal Entry Type. Journal Entry Type,GL Details,REF,Journal Entry_Type_Code,BAS_Journal_Entry_Type,String,%60s,
1355,Ledger Entrues,,General Ledger Line,8,BBIE,Journal Entry Header Description,1..1,Description,Text,,,,,Description of the entire journal entry as described by the journal entry header.,General Ledger Line. Description. Text,GL Details,,,,String,%1000s,gl-cor:entryComment
1356,Ledger Entrues,,General Ledger Line,9,BBIE,Journal Entry Line Description,1..1,Description,Text,,,,,Description of the individual line within the journal entry.,General Ledger Line. Description. Text,GL Details,,,,String,%1000s,gl-cor:detailComment
1357,Ledger Entrues,,General Ledger Line,10,RFBIE,Source Code,1..1,Originating,,,,,General Ledger Source,"Code for source from which the journal entry originated. EXAMPLE Sales journal, cash receipts journal, general journal, payroll journal, accountant manual entry, or spreadsheet. Shall match the Source_Code in the GL_Source table.",General Ledger Line. Originating. General Ledger Source,GL Details,REF,Source_Code,GL_Source,String,%25s,gl-cor:sourceJournalID if an enumerated set is feasible; gl-cor:sourceJournalDescription otherwise.
1358,Ledger Entrues,,General Ledger Line,11,BBIE,Bill Number,0..1,Bill Number,Code,,,,,"The number of the bill. A bill usually includes bank drafts, promissory notes and checks. A bill may be issued by the drawer who agreed upon themselves or entrust the drawee at sight; a specified date to the payee or bearer unconditionally pays a certain amount of securities. This number is generated either by manual input or by the system.",General Ledger Line. Bill Number. Code,GL Details,,,,String,%100s,
1359,Ledger Entrues,,General Ledger Line,12,RFBIE,Bill Type Code,0..1,Referenced,,,,,Bill Type,"The type of the bill. EXAMPLE Bank drafts, promissory notes and checks. Shall match the Bill_Type_Code in the BAS_Bill_Type table.",General Ledger Line. Related. Bill Type,GL Details,REF,Bill_Type_Code,BAS_Bill_Type,String,%60s,
1360,Ledger Entrues,,General Ledger Line,13,BBIE,Bill Date,0..1,Bill Date,Date,,,,,The date of the bill.,General Ledger Line. Bill Date. Date,GL Details,,,,Date,%10c,
1361,Ledger Entrues,,General Ledger Line,14,ASBIE,Quantity,0..1,Quantity,,,Measurement Quantity,,,"The quantity of items referenced in the journal entry line. When the GL_Account_Number is for inventories or fixed assets, this field is effective, if not, this field is NULL.",General Ledger Line. Quantity. Measurement Quantity,GL Details,,,,,,gl-bus:measurableQuantity
1362,Ledger Entrues,,General Ledger Line,15,BBIE,Unit Price,0..1,Unit Price,Amount,,,,,"The per unit price of the inventory or PPE. This field is associated with Quantity and Amount; for example, if the account is inventory or PPE, we can multiply Quantity by Unit_Price to get total line Amount.",General Ledger Line. Unit Price. Amount,GL Details,,,,Decimal,%22.8f,
1363,Ledger Entrues,,General Ledger Line,16,ASBIE,Multicurrrency Amount,1..1,Monetary Amount,,,Multi Currency Amount,,,Monetary amount recorded in the multi currency.,General Ledger Line. Monetary Amount. Multi Currency Amount,GL Details,,,,,,gl-muc:multicurrencyDetail
1364,Ledger Entrues,,General Ledger Line,17,RFBIE,Settlement Method Code,0..1,Settlement Method,,,,,Settlement Method,"The code value or indicator of the settlement method used for cash receipt from customers (i.e. sales) and cash payment to suppliers (i.e. purchase); for example, check, wire transfer and cash. Shall match the Settlement_Method_Code in the BAS_Settlement_Method table.",General Ledger Line. Settlement Method. Settlement Method,GL Details,REF,Settlement_Method_Code,BAS_Settlement_Method,String,%60s,
1365,Ledger Entrues,,General Ledger Line,18,BBIE,Credit Debit Indicator,1..1,Credit Debit,Indicator,,,,,This indicates whether the amount is a credit or a debit. EXAMPLE C=credit; D=debit.,General Ledger Line. Credit Debit. Indicator,GL Details,,,,String,%1c,gl-cor:debitCreditCode
1366,Ledger Entrues,,General Ledger Line,19,BBIE,Reversal Indicator,1..1,Reversal,Indicator,,,,,"Indicates whether this entry is a reversal or to be reversed. EXAMPLE 1 = entry is a reversal, 2 = entry is being reversed, and empty () = none of the above or system generated indicators.",General Ledger Line. Reversal. Indicator,GL Details,,,,String,%1c,gl-usk:reverse true = entry is to be reversed false with gl-usk:reversingDate = provided = entry is a reversal not provided = none of the above.
1367,Ledger Entrues,,General Ledger Line,20,RFBIE,Reversal Journal ID,0..1,Reversal,,,,,General Ledger Line,"When the Reversal_Indicator = 1, this field identifies the Journal_ID of the entry being reversed.",General Ledger Line. Reversal. General Ledger Line,GL Details,,,,String,%100s,gl-usk:reversingStdId
1368,Ledger Entrues,,General Ledger Line,21,BBIE,Cancellation Sign,0..1,Cancellation Sign,Indicator,,,,,The sign of cancellation of a journal entry already formed but not yet posted. EXAMPLE 0=entry is not cancelled; 1=entry is cancelled.,General Ledger Line. Cancellation Sign. Indicator,GL Details,,,,Boolean,%1c,
1369,Ledger Entrues,,General Ledger Line,22,ASBIE,Activity Records,1..1,Recorded,,,Activity Records,,,"The operation records on this record such as create, approve, last modify this record.",General Ledger Line. Recorded. Activity Records,GL Details,,,,,,Use corresponding element of XBRL GL taxonomy.
1370,Ledger Entrues,,General Ledger Line,23,RFBIE,Posted User ID,0..1,Posted By,,,,,User,The unique identifier for the person who posted the journal entry to ledger. Typically auto-generated by the system. Shall match the User_ID in the BAS_User table.,General Ledger Line. Posted By. User,GL Details,REF,User_ID,BAS_User,String,%25s,
1371,Ledger Entrues,,General Ledger Line,24,RFBIE,Account Segment Employee,0..1,Referenced,,,,,Employee,"This field is a fixed account segment, recording information related to an employee (e.g. loan to corporate officers). The value stored in this field stored is Employee_ID. Shall match the Employee_ID in the BAS_Employee table through GL_Account_Segment.",General Ledger Line. Related. Employee,GL Details,REF,Employee_ID,BAS_Employee,String,%60s,
1372,Ledger Entrues,,General Ledger Line,25,RFBIE,Account Segment Project,0..1,Referenced,,,,,Project,"This field is a fixed account segment, recording information related to a project. EXAMPLE Construction projects which require a separate accounting. The value of this field stored is Project_ID. Shall match the Project_ID in the BAS_Project table through GL_Account_Segment.",General Ledger Line. Related. Project,GL Details,REF,Project_ID,BAS_Project,String,%60s,
1373,Ledger Entrues,,General Ledger Line,26,RFBIE,Account Segment Bank Account,0..1,Referenced,,,,,Bank Account,"This field is a fixed account segment, recording information related to bank accounts. The value of this field stored is Bank_Account_Number, and we can get more information of a certain bank account in the BAS_Bank_Account table. Shall match the Bank_Account_Number in the BAS_Bank_Account table through GL_Account_Segment.",General Ledger Line. Related. Bank Account,GL Details,REF,Bank_Account_Number,BAS_Bank_Account,String,%60s,
1374,Ledger Entrues,,General Ledger Line,27,RFBIE,Account Segment X,0..1,Account Segment X,,,,,X,Reserved field that shall be used for supplementary information associated with particular account. The 'X' signifies that each unique account segment will be captured in a separate field.,General Ledger Line. Account Segment X. Identifier,GL Details,,,,String,%60s,
1375,Ledger Entrues,,General Ledger Line,28,RFBIE,Business Segment X,1..n,X,,,,,Business Segment,"A reserved field that shall be used for business segments/structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with a unique reference level. For example, division, department, business unit, purchasing organization, project or legal entity.",General Ledger Line. X. Business Segment,GL Details,,,,String,%25s,gl-bus:organizationIdentifier
1376,Master Files,,General Ledger Source,0,ABIE,General Ledger Source,0..n,Details,,,,,,"The additional information about the sources provided in the GL_Details table is contained in Table 54. Each source shall include a description of the ERP system or accounting package, from which the data is extracted, and information related to the business process the data represents.",General Ledger Source. Details,GL Source,,,,,,
1377,Master Files,,General Ledger Source,1,IDBIE,Source Code,1..1,Identification,Identifier,,,,,"The code of the posting source (code for source from which the journal entry originated. EXAMPLE Sales journal, cash receipts journal, general journal, payroll journal, accountant manual entry and spreadsheet). The code shall be a unique indicator for the underlying source.",,GL Source,PK,,,String,%25s,gl-cor:sourceJournalID if an enumerated set is feasible; gl-cor:sourceJournalDescription otherwise.
1378,Master Files,,General Ledger Source,2,BBIE,Source Description,1..1,Description,Text,,,,,A description of the source system.,General Ledger Source. Description. Text,GL Source,,,,String,%1000s,gl-bus:batchDescription if gl-cor:sourceJournalDescription is used above.
1379,Master Files,,General Ledger Source,3,BBIE,ERP Subledger Module,0..1,ERP Subledger Module,Code,,,,,"Description of the subledger or ERP module from which the journal entry originated. Should tie back to a system or significant accounting process. In some instances, can be represented by the source system.",General Ledger Source. ERP Subledger Module. Code,GL Source,,,,String,%100s,gl-bus:measurableDescription
1380,Master Files,,General Ledger Source,4,BBIE,System Manual Identifier,0..1,System Manual,Identifier,,,,,This indicates whether the journal entry is system-generated (S) or manually-entered (M). EXAMPLE S is system-generated and M is manually-entered.,General Ledger Source. System Manual. Identifier,GL Source,,,,String,%1c,gl-bus: entryOrigin
1381,Master Files,,General Ledger Source,5,BBIE,Business Process Major,0..1,Business Process Major,Code,,,,,The major class of transaction associated with a business process. EXAMPLE Sales.,General Ledger Source. Business Process Major. Code,GL Source,,,,String,%100s,gl-bus:measurableCodeDescription
1382,Master Files,,General Ledger Source,6,BBIE,Business Process Minor,0..1,Business Process Minor,Code,,,,,"A sub-process of the major business process. EXAMPLE Orders, returns, and discounts.",General Ledger Source. Business Process Minor. Code,GL Source,,,,String,%100s,gl-bus:measurableCodeCategory
1383,Ledger Entrues,,General Ledger Account Segment,0,ABIE,General Ledger Account Segment,0..n,Details,,,,,,"The code and name for account segment, as well as the GL_Account_Number to which the account segment is related are contained in Table 56. The account segment provides additional information for particular GL_Accounts; for example, the accounts receivable contains the information regarding supplier, customer, employee, and project. Such information would be treated as an account segment below A/R, thus resulting in a lengthy account structure. In light of this, the account segment structure is defined as a set to record related information, efficiently avoiding the case that account names and numbers are extended to be too long and too complex. Account segment is more flexible to capture the complicated information. Some of the most frequently used account segments, for example, project, employee and bank account, have been defined as fixed fields in tables, such as GL_Details. These segments are called fixed account segments in the document. Fixed account segments and other customized account segments are covered in this table. More details are presented in Annex B.",General Ledger Account Segment. Details,GL Account Segment,,,,,,
1384,Ledger Entrues,,General Ledger Account Segment,1,RFBIE,GL Account Number,1..1,GL Account Number,,,,,Chart Of Accounts,The GL account number. This number is generated either by manual input or by the system. Shall match the GL_Account_Number used in the BAS_Chart_Of_Accounts table.,General Ledger Account Segment. GL Account Number. Chart Of Accounts,GL Account Segment,PK/REF,GL_Account_Number,BAS_Chart_Of_Accounts,String,%100s,gl-cor:accountMainID
1385,Ledger Entrues,,General Ledger Account Segment,2,IDBIE,Account Segment Number,1..1,Identification,Identifier,,,,,"The number of the Account_Segment. Case 1 If the value of this field is 0, the record is used to explain a fixed account segment that is distinguished by Account_Segment_Name of the record. Case 2 If the value of this field is 5, the record is used to explain the No.5 field of Account_Segment_X, named Account_Segment_5 in the tables, such as GL_Details. This number is generated either by manual input or by the system.",,GL Account Segment,PK,,,String,%60s,"gl-cor:documentReference / Rather than using a data field, use XML's ID at the top level of the structure. You can use both XML IDs and IDREFs to create physical links between related documents."
1386,Ledger Entrues,,General Ledger Account Segment,3,BBIE,Account Segment Name,1..1,Account Segment,Name,,,,,"The name of the Account_Segment. Case 1 If the value of Account_Segment_Number of the record is 0, the field contains the name of a fixed account segment, such as Account_Segment_Employee. Case 2 If the value of Account_Segment_Number of the record is 5, the field value should be the name of a customized account segment, like welfare expenditure.",General Ledger Account Segment. Account Segment. Name,GL Account Segment,,,,String,%200s,
1387,Ledger Entrues,,General Ledger Account Segment,4,BBIE,Corresponding File,1..1,Corresponding File,Text,,,,,"The table corresponding to account segment. Case 1 If the value of Account_Segment_Number of the record is 0, the field contains the table name corresponding to the fixed account segment, such as BAS_Employee for Account_Segment_Employee. Case 2 If the value of Account_Segment_Number is larger than 0, and no other table besides BAS_Customized_ACC_Segment contains the basic information of the customized account segment, the field value should be BAS_Customized_ACC_Segment. Case 3 If the value of Account_Segment_Number is larger than 0, and there is a table contains the basic information of the customized account segment, the field value should be the table's name, such as BAS_Customer.",General Ledger Account Segment. Corresponding File. Text,GL Account Segment,,,,String,%200s,
1388,Ledger Entrues,,General Ledger Account Segment,5,BBIE,Account Segment Description,1..1,Description,Text,,,,,The detailed description of the Account_Segment_Name.,General Ledger Account Segment. Description. Text,GL Account Segment,,,,String,%1000s,gl-cor:entryComment
1389,Ledger Entrues,,General Ledger Account Segment,6,RFBIE,Customized ACC Segment Code,1..1,Referenced,,,,,Customized Account Segment,The code of the customized account segment. Shall match the Customized_ACC_Segment_Code in the BAS_Customized_ACC_Segment table.,General Ledger Account Segment. Related. Customized Account Segment,GL Account Segment,REF,Customized_ACC_Segment_Code,BAS_Customized_ACC_Segment,String,%60s,
1390,Ledger Entrues,,General Ledger Account Period Balance,7,RFBIE,GL Account Number,1..1,GL Account Number,,,,,Chart Of Accounts,The GL account number. This number is generated either by manual input or by the system. Shall match the GL_Account_Number used in the BAS_Chart_Of_Accounts table.,General Ledger Account Period Balance. GL Account Number. Chart Of Accounts,GL Accounts Period Balance,PK/REF,GL_Account_Number,BAS_Chart_Of_Accounts,String,%100s,gl-cor:accountMainID
1391,Ledger Entrues,,General Ledger Account Period Balance,8,RFBIE,Fiscal Period,1..1,Referenced,,,,,Fiscal Period,"Accounting period in which the Effective_Date occurs. The year shall be shown in four digits as YYYY, which is part of the extended format and the YYYY-MM-DD in ISO 8601-1. Shall match the Fiscal_Year in the BAS_Accounting_Period table.",General Ledger Account Period Balance. Defined. Fiscal Period,GL Accounts Period Balance,REF,Fiscal_Year,BAS_Accounting_Period,String,%4c,gl-bus:fiscalYearEnd
1392,Ledger Entrues,,General Ledger Account Period Balance,9,ASBIE,Debit Quantity,1..1,Debit,,,Measurement Quantity,,,The quantity information associated with debiting inventory or PPE.,General Ledger Account Period Balance. Debit. Measurement Quantity,GL Accounts Period Balance,,,,,,gl-bus:measurableQuantity
1393,Ledger Entrues,,General Ledger Account Period Balance,10,ASBIE,Credit Quantity,1..1,Credit,,,Measurement Quantity,,,The quantity information associated with crediting inventory or PPE.,General Ledger Account Period Balance. Credit. Measurement Quantity,GL Accounts Period Balance,,,,,,gl-bus:measurableQuantity
1394,Ledger Entrues,,General Ledger Account Period Balance,11,ASBIE,Beginning Quantity,1..1,Beginning,,,Measurement Quantity,,,The beginning quantity of inventory or PPE account.,General Ledger Account Period Balance. Beginning. Measurement Quantity,GL Accounts Period Balance,,,,,,gl-bus:measurableQuantity
1395,Ledger Entrues,,General Ledger Account Period Balance,12,ASBIE,Ending Quantity,1..1,Ending,,,Measurement Quantity,,,The ending quantity of inventory or PPE account.,General Ledger Account Period Balance. Ending. Measurement Quantity,GL Accounts Period Balance,,,,,,gl-bus:measurableQuantity
1396,Ledger Entrues,,General Ledger Account Period Balance,13,ASBIE,Multicurrency Debit Amount,1..1,Debit,,,Multi Currency Amount,,,The cumulative debit total of multi currency during the Accounting_Period.,General Ledger Account Period Balance. Debit. Multi Currency Amount,GL Accounts Period Balance,,,,,,gl-muc:multicurrencyDetail
1397,Ledger Entrues,,General Ledger Account Period Balance,14,ASBIE,Multicurrency Credit Amount,1..1,Credit,,,Multi Currency Amount,,,The cumulative credit total amount of multi currency during the Accounting_Period.,General Ledger Account Period Balance. Credit. Multi Currency Amount,GL Accounts Period Balance,,,,,,gl-muc:multicurrencyDetail
1398,Ledger Entrues,,General Ledger Account Period Balance,15,BBIE,BEG Balance Indicator,1..1,Beginning Balance,Indicator,,,,,The beginning balance direction for the account. This indicates whether beginning balance is debit or credit. EXAMPLE C=credit; D=debit.,General Ledger Account Period Balance. Beginning Balance. Indicator,GL Accounts Period Balance,,,,String,%1c,
1399,Ledger Entrues,,General Ledger Account Period Balance,16,BBIE,Ending Balance Indicator,1..1,Ending Balance,Indicator,,,,,The ending balance direction for the account. This indicates whether ending balance is debit or credit. EXAMPLE C=credit; D=debit.,General Ledger Account Period Balance. Ending Balance. Indicator,GL Accounts Period Balance,,,,String,%1c,
1400,Ledger Entrues,,General Ledger Account Period Balance,17,ASBIE,Multicurrency Beginning Balance,1..1,Balance,,,Multi Currency Amount,,,The beginning balance of multi currency.,General Ledger Account Period Balance. Balance. Multi Currency Amount,GL Accounts Period Balance,,,,,,gl-muc:multicurrencyDetail
1401,Ledger Entrues,,General Ledger Account Period Balance,18,ASBIE,Multicurrency Ending Balance,1..1,Balance,,,Multi Currency Amount,,,The ending balance of multi currency.,General Ledger Account Period Balance. Balance. Multi Currency Amount,GL Accounts Period Balance,,,,,,gl-muc:multicurrencyDetail
1402,Ledger Entrues,,General Ledger Account Period Balance,19,RFBIE,Account Segment Employee,0..1,Referenced,,,,,Employee,"This field is a fixed account segment, recording information related to an employee (e.g. loan to corporate officers). The value stored in this field stored is Employee_ID. Shall match the Employee_ID in the BAS_Employee table through GL_Account_Segment.",General Ledger Account Period Balance. Related. Employee,GL Accounts Period Balance,REF,Employee_ID,BAS_Employee,String,%60s,
1403,Ledger Entrues,,General Ledger Account Period Balance,20,RFBIE,Account Segment Project,0..1,Referenced,,,,,Project,"This field is a fixed account segment, recording information related to a project; for example, construction projects which require a separate accounting. The value of this field stored is Project_ID. Shall match the Project_ID in the BAS_Project table through GL_Account_Segment.",General Ledger Account Period Balance. Related. Project,GL Accounts Period Balance,REF,Project_ID,BAS_Project,String,%60s,
1404,Ledger Entrues,,General Ledger Account Period Balance,21,RFBIE,Account Segment Bank Account,0..1,Referenced,,,,,Bank Account,"This field is a fixed account segment, recording information related to bank accounts. The value of this field stored is Bank_Account_Number, and we can get more information of a certain bank account in the BAS_Bank_Account table. Shall match the Bank_Account_Number in the BAS_Bank_Account table through GL_Account_Segment.",General Ledger Account Period Balance. Related. Bank Account,GL Accounts Period Balance,REF,Bank_Account_Number,BAS_Bank_Account,String,%60s,
1405,Ledger Entrues,,General Ledger Account Period Balance,22,RFBIE,Account Segment X,0..1,Account Segment X,,,,,X,Reserved field that shall be used for supplementary information associated with particular account. The 'X' signifies that each unique account segment will be captured in a separate field.,General Ledger Account Period Balance. Account Segment X. Identifier,GL Accounts Period Balance,,,,String,%60s,
1406,Ledger Entrues,,General Ledger Account Period Balance,23,RFBIE,Business Segment X,1..n,X,,,,,Business Segment,"A reserved field that shall be used for business segments/structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with a unique reference level. For example, division, department, business unit, purchasing organization, project or legal entity.",General Ledger Account Period Balance. X. Business Segment,GL Accounts Period Balance,,,,String,%25s,gl-bus:organizationIdentifier
1407,Ledger Entrues,,Open Accounts Receivable,0,ABIE,Open Accounts Receivable,0..n,Details,,,,,,"Details regarding all open, unpaid, or unresolved customer transactions as of a specified date are contained in Table 61. Each row in this table represents the balance expected from the customer for one uniquely identifiable transaction. This data should be at the summary level (by invoice), not at the detailed level (by invoice line item). The sum total of the transaction amounts as of the specified date shall reconcile to the total AR amount in the General Ledger (GL) as of the same date.",Open Accounts Receivable. Details,AR Open Accounts Receivable,,,,,,
1408,Ledger Entrues,,Open Accounts Receivable,1,IDBIE,Transaction ID,1..1,Identification,Identifier,,,,,The unique identifier for the transaction of an open AR includes invoice and cash received. Typically auto-generated by the system.,,AR Open Accounts Receivable,PK,,,String,%60s,"gl-cor:documentReference / Rather than using a data field, use XML's ID at the top level of the structure. You can use both XML IDs and IDREFs to create physical links between related documents."
1409,Ledger Entrues,,Open Accounts Receivable,2,RFBIE,Invoice ID,1..1,Originating,,,,,Invoice Generated,"The unique identifier for the invoice, from which AR is derived. Typically auto-generated by the system. May be set to NULL if adjustment is at customer (not invoice) level. Otherwise shall match the Invoice_ID in the SAL_Invoices_Generated table.",Open Accounts Receivable. Originating. Invoice Generated,AR Open Accounts Receivable,REF,Invoice_ID,SAL_Invoices_Generated,String,%60s,gl-taf:originatingDocumentNumber with gl-taf:originatingDocumentType = invoice*
1410,Ledger Entrues,,Open Accounts Receivable,3,RFBIE,Customer Account ID,1..1,Payer,,,,,Customer,The unique identifier for the customer payment is expected or to whom unused credits have been applied. Typically auto-generated by the system. Shall match the Customer_Account_ID in the BAS_Customer table.,Open Accounts Receivable. Payer. Customer,AR Open Accounts Receivable,REF,Customer_Account_ID,BAS_Customer,String,%100s,gl-cor:identifierCode with gl-cor:identifierType = customer
1411,Ledger Entrues,,Open Accounts Receivable,4,RFBIE,Sales Contract ID,0..1,Originating,,,,,Sales Contract,"The unique identifier for the sales contract, from which AR is derived. Typically auto-generated by the system. May be set to NULL if no transaction related to Sales_Contract_ID. Otherwise shall match the Sales_Contract_ID in the SAL_Contracts table.",Open Accounts Receivable. Originating. Sales Contract,AR Open Accounts Receivable,REF,Sales_Contract_ID,SAL_Contracts,String,%60s,"gl-cor:documentReference  / Rather than use a data field, use XML's ID and IDREF to create the physical link from detail to summary structure."
1412,Ledger Entrues,,Open Accounts Receivable,5,RFBIE,Project ID,0..1,Originating,,,,,Project,"The unique identifier for the project, from which AR is derived. Typically auto-generated by the system. If no transaction related to Project_ID, may be set to NULL. Otherwise shall match the Project_ID in the BAS_Project table.",Open Accounts Receivable. Originating. Project,AR Open Accounts Receivable,REF,Project_ID,BAS_Project,String,%60s,
1413,Ledger Entrues,,Open Accounts Receivable,6,RFBIE,Fiscal Period,1..1,Referenced,,,,,Fiscal Period,"Accounting period in which the Transaction_Date occurs. The year shall be shown in four digits as YYYY, which is part of the extended format and the YYYY-MM-DD in ISO 8601-1. Shall match the Fiscal_Year in the BAS_Accounting_Period table.",Open Accounts Receivable. Defined. Fiscal Period,AR Open Accounts Receivable,REF,Fiscal_Year,BAS_Accounting_Period,String,%4c,gl-bus:fiscalYearEnd
1414,Ledger Entrues,,Open Accounts Receivable,7,BBIE,Transaction Date,1..1,Transaction,Date,,,,,"The date of the transaction, regardless of the date the transaction is created. This is the date from which the due date is calculated based on the invoice terms.",Open Accounts Receivable. Transaction. Date,AR Open Accounts Receivable,,,,Date,%10c,gl-cor:documentDate
1415,Ledger Entrues,,Open Accounts Receivable,8,RFBIE,Journal ID,0..1,Corresponding,,,,,General Ledger Line,The unique identifier for the journal entry. Typically auto-generated by the system. Shall match the Journal_ID in the GL_Details table.,Open Accounts Receivable. Corresponding. General Ledger Line,AR Open Accounts Receivable,REF,Journal_ID,GL_Details,String,%100s,"Rather than using a data field, use XML's ID at the top level of the structure. You can use both XML IDs and IDREFs to create physical links between related documents."
1416,Ledger Entrues,,Open Accounts Receivable,9,BBIE,Transaction Due Date,1..1,Transaction Due,Date,,,,,"The date payment is due from the customer. Not all transactions will have a due date. May be set to NULL, if there is no due date. EXAMPLE Credit memos. Aging of a receivable is usually calculated based on this date.",Open Accounts Receivable. Transaction Due. Date,AR Open Accounts Receivable,,,,Date,%10c,gl-cor:maturityDate
1417,Ledger Entrues,,Open Accounts Receivable,10,BBIE,Reference Number,0..1,Reference Number,Code,,,,,"The number of an internally or externally generated transaction; for example, check number, wire transfer number, or original document ID.",Open Accounts Receivable. Reference Number. Code,AR Open Accounts Receivable,,,,String,%100s,gl-cor:documentNumber
1418,Ledger Entrues,,Open Accounts Receivable,11,BBIE,Reference Date,0..1,Reference Date,Date,,,,,"The date on an internally or externally generated transaction; for example, check date or wire transfer date.",Open Accounts Receivable. Reference Date. Date,AR Open Accounts Receivable,,,,Date,%10c,gl-cor:documentDate
1419,Ledger Entrues,,Open Accounts Receivable,12,ASBIE,Multicurrrency Amount,1..1,Monetary Amount,,,Multi Currency Amount,,,Transaction monetary amount recorded in the multi currency.,Open Accounts Receivable. Monetary Amount. Multi Currency Amount,AR Open Accounts Receivable,,,,,,gl-muc:multicurrencyDetail
1420,Ledger Entrues,,Open Accounts Receivable,13,ASBIE,Multicurrency Balance,1..1,Balance,,,Multi Currency Amount,,,"Balance monetary amount recorded in the multi currency. The balance here refers to the remaining balance unreceived or needing settlement, which can be calculated by analyzing net of the originating invoice and any cash received and adjustments against it.",Open Accounts Receivable. Balance. Multi Currency Amount,AR Open Accounts Receivable,,,,,,gl-muc:multicurrencyDetail
1421,Ledger Entrues,,Open Accounts Receivable,14,BBIE,Remark,0..1,Remark,Text,,,,,Freeform text description.,Open Accounts Receivable. Remark. Text,AR Open Accounts Receivable,,,,String,%500s,gl-cor:entryComment
1422,Ledger Entrues,,Open Accounts Receivable,15,BBIE,Grouping Code,0..1,Grouping,Code,,,,,The code of grouping related items for different purposes.,Open Accounts Receivable. Grouping. Code,AR Open Accounts Receivable,,,,String,%100s,gl-bus:batchID
1423,Ledger Entrues,,Open Accounts Receivable,16,RFBIE,Business Segment X,1..n,X,,,,,Business Segment,"A reserved field that shall be used for business segments/structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with a unique reference level. For example, division, department, business unit, purchasing organization, project or legal entity.",Open Accounts Receivable. X. Business Segment,AR Open Accounts Receivable,,,,String,%25s,gl-bus:organizationIdentifier
