,kind,level,name,Card,,ObjectClassTerm,,PropertyTerm,,RepresentationTerm,,AssociatedObject Class,@type,refpath,@desc
196,BBIE,8,ExtraordinaryDepreciationForPeriod,1..1,,ExtraordinaryDepreciationForPeriod,,ExtraordinaryDepreciationForPeriod,,Monetary,,,SAFmonetaryType,,Amouunt of extraordinary depreciation during the Selectionperiod in the header's default currency.
197,BBIE,6,AccumulatedDepreciation,0..1,,Valuation,,AccumulatedDepreciation,,Monetary,,,SAFmonetaryType,,Bookvalue at the end of the Selectionperiod in the header's default currency.
198,ASBIE,1,GeneralLedgerEntries,0..1,,AuditFile,,Associated,,,,GeneralLedgerEntries,,,
199,ABIE,1,GeneralLedgerEntries,0..1,,GeneralLedgerEntries,,Details,,,,,,,
200,ASBIE,2,NumberOfEntries,1..1,,GeneralLedgerEntries,,Associated,,,,NumberOfEntries,nonNegativeInteger,,Number of entries
201,ABIE,2,NumberOfEntries,1..1,,NumberOfEntries,,Details,,,,,nonNegativeInteger,,Number of entries
202,BBIE,2,TotalDebit,1..1,,NumberOfEntries,,TotalDebit,,Monetary,,,SAFmonetaryType,,The total of all debit amounts in the header's default currency.
203,BBIE,2,TotalCredit,1..1,,NumberOfEntries,,TotalCredit,,Monetary,,,SAFmonetaryType,,The total of all credit amounts in the header's default currency.
204,ASBIE,2,Journal,0..*,,GeneralLedgerEntries,,Associated,,,,Journal,,,
205,ABIE,2,Journal,0..*,,Journal,,Details,,,,,,,
206,BBIE,3,JournalID,1..1,,Journal,,JournalID,,Code,,,SAFshorttextType,,"Source GL journal identifier, or invoices and payments in single ledger systems"
207,BBIE,3,Description,1..1,,Journal,,Description,,Text,,,SAFlongtextType,,Description of the Journal
208,BBIE,3,Type,1..1,,Journal,,Type,,Code,,,SAFcodeType,,Grouping mechanism for journals
209,ASBIE,3,Transaction,0..*,,Journal,,Associated,,,,Transaction,,,
210,ABIE,3,Transaction,0..*,,Transaction,,Details,,,,,,,
211,IDBIE,4,TransactionID,1..1,,Transaction,,TransactionID,,Text,,,SAFmiddle2textType,,"Cross-reference to GL posting. It can contain many different levels to identify the transaction. It could include cost centres such as company, division, region, group and branch/department."
212,BBIE,4,Period,1..1,,Transaction,,Period,,,,,nonNegativeInteger,,Accounting Period
213,BBIE,4,PeriodYear,1..1,,Transaction,,PeriodYear,,,,,,,The year of the Accounting Period.
214,BBIE,4,TransactionDate,1..1,,Transaction,,TransactionDate,,Date,,,date,,Document date
215,BBIE,4,SourceID,0..1,,Transaction,,SourceID,,Text,,,SAFmiddle1textType,,Details of person or application that entered the transaction
216,BBIE,4,TransactionType,0..1,,Transaction,,TransactionType,,Code,,,SAFshorttextType,,"Type of journaltransaction: normal, (automated) periodically, etc."
217,BBIE,4,Description,1..1,,Transaction,,Description,,Text,,,SAFlongtextType,,Description of Journal Transaction
218,BBIE,4,BatchID,0..1,,Transaction,,BatchID,,Text,,,SAFmiddle1textType,,Systems generated ID for batch
219,BBIE,4,SystemEntryDate,1..1,,Transaction,,SystemEntryDate,,Date,,,date,,Date captured  by system
220,BBIE,4,GLPostingDate,1..1,,Transaction,,GLPostingDate,,Date,,,date,,Date posting to GL
221,RFBIE,4,CustomerID,0..1,,Transaction,,CustomerID,,Text,,,SAFmiddle1textType,AuditFile/MasterFiles/Customers/Customer/CustomerID,Unique code for the customer
222,RFBIE,4,SupplierID,0..1,,Transaction,,SupplierID,,Text,,,SAFmiddle1textType,AuditFile/MasterFiles/Suppliers/Supplier/SupplierID,Unique code for the supplier
223,BBIE,4,SystemID,0..1,,Transaction,,SystemID,,Code,,,SAFshorttextType,,Unique number created by the system for the document
224,ASBIE,4,Transaction_Line,1..*,,Transaction,,Associated,,,,Transaction_Line,,,
225,ABIE,4,Transaction_Line,1..*,,Transaction_Line,,Details,,,,,,,
226,BBIE,5,RecordID,1..1,,Transaction_Line,,RecordID,,Code,,,SAFshorttextType,,Identifier to trace entry to journal line or posting reference
227,RFBIE,5,AccountID,1..1,,Transaction_Line,,AccountID,,Text,,,SAFmiddle2textType,AuditFile/MasterFiles/GeneralLedgerAccounts/Account/AccountID,"General Ledger Account code. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department."
228,ASBIE,5,Analysis,0..*,,Transaction_Line,,Associated,,,,AnalysisStructure,AnalysisStructure,,General Ledger analysis codes
229,BBIE,5,ValueDate,0..1,,Transaction_Line,,ValueDate,,Date,,,date,,Effective date from which interest charged. To be reported when this date differs from the transactiondate.
230,BBIE,5,SourceDocumentID,0..1,,Transaction_Line,,SourceDocumentID,,Text,,,SAFmiddle1textType,,Source document number to which line relates
231,RFBIE,5,CustomerID,0..1,,Transaction_Line,,CustomerID,,Text,,,SAFmiddle1textType,AuditFile/MasterFiles/Customers/Customer/CustomerID,Unique code for the customer
232,RFBIE,5,SupplierID,0..1,,Transaction_Line,,SupplierID,,Text,,,SAFmiddle1textType,AuditFile/MasterFiles/Suppliers/Supplier/SupplierID,Unique code for the supplier
233,BBIE,5,Description,1..1,,Transaction_Line,,Description,,Text,,,SAFlongtextType,,Description of the Journal Line.
234,ASBIE,5,choice DebitAmount/CreditAmount,1..1,,Transaction_Line,,Associated,,,,choice_DebitAmount/CreditAmount,,,
235,ABIE,5,choice DebitAmount/CreditAmount,1..1,,choice_DebitAmount/CreditAmount,,Details,,,,,,,
236,ASBIE,6,DebitAmountt,1..1,,choice_DebitAmount/CreditAmount,,Associated,,,,AmountStructure,AmountStructure,,Debit amount information for transaction
237,ASBIE,6,CreditAmountt,1..1,,choice_DebitAmount/CreditAmount,,Associated,,,,AmountStructure,AmountStructure,,Credit amount information for transaction
238,ASBIE,5,TaxInformation,0..*,,Transaction_Line,,Associated,,,,TaxInformationStructure,TaxInformationStructure,,
239,ASBIE,1,SourceDocuments,0..1,,AuditFile,,Associated,,,,SourceDocuments,,,
240,ABIE,1,SourceDocuments,0..1,,SourceDocuments,,Details,,,,,,,
241,ASBIE,2,SalesInvoices,0..1,,SourceDocuments,,Associated,,,,SalesInvoices,,,
242,ABIE,2,SalesInvoices,0..1,,SalesInvoices,,Details,,,,,,,
243,BBIE,3,NumberOfEntries,1..1,,SalesInvoices,,NumberOfEntries,,,,,nonNegativeInteger,,Number of entries
244,BBIE,3,TotalDebit,1..1,,SalesInvoices,,TotalDebit,,Monetary,,,SAFmonetaryType,,The total of all debit amounts in the header's default currency
245,BBIE,3,TotalCredit,1..1,,SalesInvoices,,TotalCredit,,Monetary,,,SAFmonetaryType,,The total of all credit amounts in the header's default currency
246,ASBIE,3,Invoice,1..*,,SalesInvoices,,Associated,,,,InvoiceStructure,InvoiceStructure,,
247,ASBIE,2,PurchaseInvoices,0..1,,SourceDocuments,,Associated,,,,PurchaseInvoices,,,
248,ABIE,2,PurchaseInvoices,0..1,,PurchaseInvoices,,Details,,,,,,,
249,BBIE,3,NumberOfEntries,1..1,,PurchaseInvoices,,NumberOfEntries,,,,,nonNegativeInteger,,Number of entries
250,BBIE,3,TotalDebit,1..1,,PurchaseInvoices,,TotalDebit,,Monetary,,,SAFmonetaryType,,The total of all debit amounts in the header's default currency
251,BBIE,3,TotalCredit,1..1,,PurchaseInvoices,,TotalCredit,,Monetary,,,SAFmonetaryType,,The total of all credit amounts in the header's default currency
252,ASBIE,3,Invoice,1..*,,PurchaseInvoices,,Associated,,,,InvoiceStructure,InvoiceStructure,,
253,ASBIE,2,Payments,0..1,,SourceDocuments,,Associated,,,,Payments,,,
254,ABIE,2,Payments,0..1,,Payments,,Details,,,,,,,
255,BBIE,3,NumberOfEntries,1..1,,Payments,,NumberOfEntries,,,,,nonNegativeInteger,,Number of entries
256,BBIE,3,TotalDebit,1..1,,Payments,,TotalDebit,,Monetary,,,SAFmonetaryType,,The total of all debit amounts in the header's default currency
257,BBIE,3,TotalCredit,1..1,,Payments,,TotalCredit,,Monetary,,,SAFmonetaryType,,The total of all credit amounts in the header's default currency
258,ASBIE,3,Payment,1..*,,Payments,,Associated,,,,Payment,,,
259,ABIE,3,Payment,1..*,,Payment,,Details,,,,,,,
260,BBIE,4,PaymentRefNo,1..1,,Payment,,PaymentRefNo,,Text,,,SAFmiddle1textType,,Unique reference number for payment
261,BBIE,4,Period,0..1,,Payment,,Period,,,,,nonNegativeInteger,,Accounting Period
262,BBIE,4,PeriodYear,0..1,,Payment,,PeriodYear,,,,,,,The year of the Accounting Period.
263,RFBIE,4,TransactionID,0..1,,Payment,,TransactionID,,Text,,,SAFmiddle2textType,AuditFile/GeneralLedgerEntries/Journal/Transaction/TransactionID,"Cross-reference to GL posting. It can contain many different levels to identify the transaction. It could include cost centres such as company, division, region, group and branch/department."
264,BBIE,4,TransactionDate,1..1,,Payment,,TransactionDate,,Date,,,date,,Document date
265,BBIE,4,PaymentMethod,0..1,,Payment,,PaymentMethod,,Code,,,SAFcodeType,,"Cheque, Bank, Giro, Cash, etc."
266,BBIE,4,Description,1..1,,Payment,,Description,,Text,,,SAFlongtextType,,Description of the payment.
267,BBIE,4,BatchID,0..1,,Payment,,BatchID,,Text,,,SAFmiddle1textType,,Systems generated ID for batch
268,BBIE,4,SystemID,0..1,,Payment,,SystemID,,Text,,,SAFmiddle1textType,,Unique number created by the system for the document
269,BBIE,4,SourceID,0..1,,Payment,,SourceID,,Text,,,SAFmiddle1textType,,Details of person or application that entered the transaction
270,ASBIE,4,Payment_Line,1..*,,Payment,,Associated,,,,Payment_Line,,,
271,ABIE,4,Payment_Line,1..*,,Payment_Line,,Details,,,,,,,
272,BBIE,5,PLineNumber,0..1,,Payment_Line,,PLineNumber,,Code,,,SAFshorttextType,,Number of the paymentline
273,BBIE,5,SourceDocumentID,0..1,,Payment_Line,,SourceDocumentID,,Text,,,SAFmiddle1textType,,The source document to which the line relates
274,RFBIE,5,AccountID,0..1,,Payment_Line,,AccountID,,Text,,,SAFmiddle2textType,AuditFile/MasterFiles/GeneralLedgerAccounts/Account/AccountID,"General Ledger Account code. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department."
275,ASBIE,5,Analysis,0..*,,Payment_Line,,Associated,,,,AnalysisStructure,AnalysisStructure,,General Ledger analysis codes
276,RFBIE,5,CustomerID,0..1,,Payment_Line,,CustomerID,,Text,,,SAFmiddle1textType,AuditFile/MasterFiles/Customers/Customer/CustomerID,Unique code for the customer
277,RFBIE,5,SupplierID,0..1,,Payment_Line,,SupplierID,,Text,,,SAFmiddle1textType,AuditFile/MasterFiles/Suppliers/Supplier/SupplierID,Unique code for the supplier
278,BBIE,5,TaxPointDate,0..1,,Payment_Line,,TaxPointDate,,Date,,,date,,Tax Point date where recorded or if not recorded then the Invoice date
279,BBIE,5,Description,0..1,,Payment_Line,,Description,,Text,,,SAFlongtextType,,Description of the payment line.
280,BBIE,5,DebitCreditIndicator,1..1,,Payment_Line,,DebitCreditIndicator,,,,,,,Indicates whether the amounts on line-level are debit or credit amounts. Entry must correspond to entry reflected in General Ledger Entry. Signing of lineamounts is relative to this indicator. E.g. a return can lead to a negative amount.
281,ASBIE,5,PaymentLineAmount,1..1,,Payment_Line,,Associated,,,,AmountStructure,AmountStructure,,Amount for transaction excluding taxes.
282,ASBIE,5,TaxInformation,0..*,,Payment_Line,,Associated,,,,TaxInformationStructure,TaxInformationStructure,,
283,ASBIE,4,Settlement,0..1,,Payment,,Associated,,,,Settlement,,,
284,ABIE,4,Settlement,0..1,,Settlement,,Details,,,,,,,
285,BBIE,5,SettlementDiscount,0..1,,Settlement,,SettlementDiscount,,Text,,,SAFmiddle1textType,,Description Settlement / Other Discount
286,ASBIE,5,SettlementAmount,0..1,,Settlement,,Associated,,,,AmountStructure,AmountStructure,,Settlement amount
287,BBIE,5,SettlementDate,0..1,,Settlement,,SettlementDate,,Date,,,date,,Date settled
288,BBIE,5,PaymentMechanism,0..1,,Settlement,,PaymentMechanism,,Code,,,SAFcodeType,,Payment mechanism
289,ASBIE,4,DocumentTotals,0..1,,Payment,,Associated,,,,DocumentTotals,,,
290,ABIE,4,DocumentTotals,0..1,,DocumentTotals,,Details,,,,,,,
291,ASBIE,5,TaxInformationTotals,0..*,,DocumentTotals,,Associated,,,,TaxInformationStructure,TaxInformationStructure,,Control totals tax payable information. Per TaxType/TaxCode the TaxBase and TaxAmount are summarised.
292,BBIE,5,NetTotal,0..1,,DocumentTotals,,NetTotal,,Monetary,,,SAFmonetaryType,,Total amount excluding tax in the header's default currency.
293,BBIE,5,GrossTotal,1..1,,DocumentTotals,,GrossTotal,,Monetary,,,SAFmonetaryType,,Total amount including tax in the header's default currency.
294,ASBIE,2,MovementOfGoods,0..1,,SourceDocuments,,Associated,,,,MovementOfGoods,,,
295,ABIE,2,MovementOfGoods,0..1,,MovementOfGoods,,Details,,,,,,,
296,BBIE,3,NumberOfMovementLines,1..1,,MovementOfGoods,,NumberOfMovementLines,,,,,nonNegativeInteger,,Number of movementlines in selected period
297,BBIE,3,TotalQuantityReceived,1..1,,MovementOfGoods,,TotalQuantityReceived,,Quantity,,,SAFquantityType,,Quantity of goods received
298,BBIE,3,TotalQuantityIssued,1..1,,MovementOfGoods,,TotalQuantityIssued,,Quantity,,,SAFquantityType,,Quantity of goods issued in selected period
299,ASBIE,3,StockMovement,1..*,,MovementOfGoods,,Associated,,,,StockMovement,,,
300,ABIE,3,StockMovement,1..*,,StockMovement,,Details,,,,,,,
301,BBIE,4,MovementReference,1..1,,StockMovement,,MovementReference,,Text,,,SAFmiddle1textType,,Unique reference to the movement.
302,BBIE,4,MovementDate,1..1,,StockMovement,,MovementDate,,Date,,,date,,Document date
303,BBIE,4,MovementPostingDate,0..1,,StockMovement,,MovementPostingDate,,Date,,,date,,Date of posting of the movement if different to Movement Date
304,BBIE,4,MovementPostingTime,0..1,,StockMovement,,MovementPostingTime,,Time,,,time,,Time of posting of the movement
305,BBIE,4,TaxPointDate,0..1,,StockMovement,,TaxPointDate,,Date,,,date,,Date of supply of goods
306,RFBIE,4,MovementType,1..1,,StockMovement,,MovementType,,Code,,,SAFcodeType,AuditFile/MasterFiles/MovementTypeTable/MovementTypeTableEntry/MovementType,"The movementtype expresses the type of the process for the underlaying lines. E.g. production, sales, purchase. Predescribed TABLE is possible."
307,BBIE,4,SourceID,0..1,,StockMovement,,SourceID,,Text,,,SAFmiddle1textType,,Details of person or application that entered the transaction
308,BBIE,4,SystemID,0..1,,StockMovement,,SystemID,,Text,,,SAFmiddle1textType,,Unique number created by the system for the document
309,ASBIE,4,DocumentReference,0..1,,StockMovement,,Associated,,,,DocumentReference,,,
310,ABIE,4,DocumentReference,0..1,,DocumentReference,,Details,,,,,,,
311,BBIE,5,DocumentType,1..1,,DocumentReference,,DocumentType,,Code,,,SAFshorttextType,,Type of document
312,BBIE,5,DocumentNumber,1..1,,DocumentReference,,DocumentNumber,,Text,,,SAFmiddle1textType,,Reference number of the document
313,BBIE,5,DocumentLine,0..1,,DocumentReference,,DocumentLine,,Code,,,SAFshorttextType,,Line number of the document
314,ASBIE,4,StockMovement_Line,1..*,,StockMovement,,Associated,,,,StockMovement_Line,,,
315,ABIE,4,StockMovement_Line,1..*,,StockMovement_Line,,Details,,,,,,,
316,BBIE,5,LineNumber,1..1,,StockMovement_Line,,LineNumber,,Code,,,SAFshorttextType,,Number of the movementline
317,RFBIE,5,AccountID,0..1,,StockMovement_Line,,AccountID,,Text,,,SAFmiddle2textType,AuditFile/MasterFiles/GeneralLedgerAccounts/Account/AccountID,General Ledger Account code. Can be including sub-account id.
318,RFBIE,5,TransactionID,0..1,,StockMovement_Line,,TransactionID,,Text,,,SAFmiddle2textType,AuditFile/GeneralLedgerEntries/Journal/Transaction/TransactionID,"Cross-reference to GL posting. It can contain many different levels to identify the transaction. It could include cost centres such as company, division, region, group and branch/department."
319,RFBIE,5,CustomerID,0..1,,StockMovement_Line,,CustomerID,,Text,,,SAFmiddle1textType,AuditFile/MasterFiles/Customers/Customer/CustomerID,Unique code for the customer
320,RFBIE,5,SupplierID,0..1,,StockMovement_Line,,SupplierID,,Text,,,SAFmiddle1textType,AuditFile/MasterFiles/Suppliers/Supplier/SupplierID,Unique code for the supplier
321,ASBIE,5,ShipTo,0..1,,StockMovement_Line,,To,,,,ShippingPointStructure,ShippingPointStructure,,Ship To details
322,ASBIE,5,ShipFrom,0..1,,StockMovement_Line,,From,,,,ShippingPointStructure,ShippingPointStructure,,Ship from Details
323,RFBIE,5,ProductCode,1..1,,StockMovement_Line,,ProductCode,,Text,,,SAFmiddle2textType,AuditFile/MasterFiles/Products/Product/ProductCode,Product code
324,BBIE,5,StockAccountNo,0..1,,StockMovement_Line,,StockAccountNo,,Text,,,SAFmiddle2textType,AuditFile/MasterFiles/PhysicalStock/PhysicalStockEntry/StockAccountNo,"Stock batch, lot, serial identification. Not used when there is exactly 1 PhysicalStock entry per ProductCode"
325,BBIE,5,Quantity,1..1,,StockMovement_Line,,Quantity,,Quantity,,,SAFquantityType,,Quantity of goods
326,RFBIE,5,UnitOfMeasure,1..1,,StockMovement_Line,,UnitOfMeasure,,Code,,,SAFcodeType,AuditFile/MasterFiles/UOMTable/UOMTableEntry/UnitOfMeasure,Quantity unit of measure e.g. pack of 12
327,BBIE,5,UOMToUOMPhysicalStockConversionFactor,1..1,,StockMovement_Line,,UOMToUOMPhysicalStockConversionFactor,,Numeric,,,decimal,,Conversion factor of the UOM to UOM Physical Stock
328,BBIE,5,BookValue,0..1,,StockMovement_Line,,BookValue,,Monetary,,,SAFmonetaryType,,Value of the transaction line as registrerd in the general ledger in the header's default currency.
329,RFBIE,5,MovementSubType,1..1,,StockMovement_Line,,MovementSubType,,Code,,,SAFcodeType,AuditFile/MasterFiles/MovementTypeTable/MovementTypeTableEntry/MovementType,"Indentify the type of the movement on line / article level. A movement(type) production contains f.i. use of components, getting finished product, efficiencyloss as movementsubtypes. Predescribed TABLE is possible."
330,BBIE,5,MovementComments,0..1,,StockMovement_Line,,MovementComments,,Text,,,SAFlongtextType,,A reason for the movement
331,ASBIE,5,TaxInformation,0..*,,StockMovement_Line,,Associated,,,,TaxInformationStructure,TaxInformationStructure,,
332,ASBIE,2,AssetTransactions,0..1,,SourceDocuments,,Associated,,,,AssetTransactions,,,Details of all transactions related to an asset during the Selectionperiod.
333,ABIE,2,AssetTransactions,0..1,,AssetTransactions,,Details,,,,,,,Details of all transactions related to an asset during the Selectionperiod.
334,BBIE,3,NumberOfAssetTransactions,1..1,,AssetTransactions,,Associated,,,,,nonNegativeInteger,,Number of movementlines during selected period
335,ASBIE,3,AssetTransaction,1..*,,AssetTransactions,,Associated,,,,AssetTransaction,,,
336,ABIE,3,AssetTransaction,1..*,,AssetTransaction,,Details,,,,,,,
337,RFBIE,4,AssetTransactionID,1..1,,AssetTransaction,,Associated,,Text,,,SAFmiddle2textType,AuditFile/GeneralLedgerEntries/Journal/Transaction/TransactionID,Unique Identification  of the transaction
338,RFBIE,4,AssetID,1..1,,AssetTransaction,,Associated,,Text,,,SAFmiddle1textType,AuditFile/MasterFiles/Assets/Asset/AssetID,Unique identifier of the asset
339,BBIE,4,AssetTransactionType,1..1,,AssetTransaction,,Associated,,Code,,,SAFcodeType,,Code for the type of the transaction
340,BBIE,4,Description,0..1,,AssetTransaction,,Associated,,Text,,,SAFlongtextType,,Description of the type of the transaction.
341,BBIE,4,AssetTransactionDate,1..1,,AssetTransaction,,Associated,,Date,,,date,,Recording date of the transaction type (e. g. assets: date of the addition of the asset)
342,ASBIE,4,Supplier,0..1,,AssetTransaction,,Associated,,,,Supplier,,,Information about the supplier of the asset
343,ABIE,4,Supplier,0..1,,Supplier,,Details,,,,,,,Information about the supplier of the asset
344,BBIE,5,SupplierName,1..1,,Supplier,,SupplierName,,Text,,,SAFmiddle2textType,,Name of the supplier of the asset
345,RFBIE,5,SupplierID,0..1,,Supplier,,SupplierID,,Text,,,SAFmiddle1textType,AuditFile/MasterFiles/Suppliers/Supplier/SupplierID,Unique code for the supplier
346,ASBIE,5,PostalAddress,1..1,,Supplier,,Associated,,,Postal,AddressStructure,AddressStructure,,Address information of the supplier of the asset
347,BBIE,4,TransactionID,0..1,,AssetTransaction,,TransactionID,,Text,,,SAFmiddle2textType,,"Cross-reference to GL posting in the journal. It can contain many different levels to identify the transaction. It could include cost centres such as company, division, region, group and branch/department."
348,ASBIE,4,AssetTransactionValuations,1..1,,AssetTransaction,,Associated,,,,AssetTransactionValuations,,,These amounts of the transaction can differ per asset valuation type.
349,ABIE,4,AssetTransactionValuations,1..1,,AssetTransactionValuations,,Details,,,,,,,These amounts of the transaction can differ per asset valuation type.
350,ASBIE,5,AssetTransactionValuation,1..*,,AssetTransactionValuations,,Associated,,,,AssetTransactionValuation,,,
351,ABIE,5,AssetTransactionValuation,1..*,,AssetTransactionValuation,,Details,,,,,,,
352,BBIE,6,AssetValuationType,0..1,,AssetTransactionValuation,,AssetValuationType,,Code,,,SAFshorttextType,,"Describes the purpose for the reporting: f.i. commercial, tax  in country 1, tax in country 2, etc."
353,BBIE,6,AcquisitionAndProductionCostsOnTransaction,1..1,,AssetTransactionValuation,,AcquisitionAndProductionCostsOnTransaction,,Monetary,,,SAFmonetaryType,,Costs of acquisition and/or production of related asset transaction in the header's default currency at date of transaction.
354,BBIE,6,BookValueOnTransaction,1..1,,AssetTransactionValuation,,BookValueOnTransaction,,Monetary,,,SAFmonetaryType,,Bookvalue of related asset transaction in the header's default currency at date of transaction.
355,BBIE,6,AssetTransactionAmount,1..1,,AssetTransactionValuation,,AssetTransactionAmount,,Monetary,,,SAFmonetaryType,,"Net Amount of related asset transaction in the header's default currency, for instance the net sales revenue."
356,ACC,,InvoiceStructure,1..1,,InvoiceStructure,,Details,,,,,,,Containing all information about sales invoices and suppliers invoices
357,BBIE,1,InvoiceNo,1..1,,InvoiceStructure,,,,Text,,,SAFmiddle2textType,,
358,ASBIE,1,choice_CustomerInfo/SupplierInfo,0..1,,InvoiceStructure,,Associated,,,,choice_CustomerInfo/SupplierInfo,,,
359,ABIE,1,choice_CustomerInfo/SupplierInfo,0..1,,choice_CustomerInfo/SupplierInfo,,Details,,,,,,,
360,ASBIE,2,CustomerInfo,1..1,,choice_CustomerInfo/SupplierInfo,,Associated,,,,CustomerInfo,,,
361,ABIE,2,CustomerInfo,1..1,,CustomerInfo,,Details,,,,,,,
362,ASBIE,3,chooice_CustomerID/Name,1..1,,CustomerInfo,,Associated,,,,chooice_CustomerID/Name,,,
363,ABIE,3,chooice_CustomerID/Name,1..1,,chooice_CustomerID/Name,,Details,,,,,,,
364,BBIE,4,CustomerID,1..1,,chooice_CustomerID/Name,,CustomerID,,Text,,,SAFmiddle1textType,,Unique code for the customer
365,BBIE,4,Name,1..1,,chooice_CustomerID/Name,,Name,,Text,,,SAFmiddle2textType,,Name of the customer
366,ASBIE,3,BillingAddress,1..1,,CustomerInfo,,Associated,,,Billing,AddressStructure,AddressStructure,,
367,ASBIE,2,SupplierInfo,1..1,,choice_CustomerInfo/SupplierInfo,,Associated,,,,SupplierInfo,,,
368,ABIE,2,SupplierInfo,1..1,,SupplierInfo,,Details,,,,,,,
369,ASBIE,3,choice_SupplierID/Name,1..1,,SupplierInfo,,Associated,,,,choice_SupplierID/Name,,,
370,ABIE,3,choice_SupplierID/Name,1..1,,choice_SupplierID/Name,,Details,,,,,,,
371,BBIE,4,SupplierID,1..1,,choice_SupplierID/Name,,SupplierID,,Text,,,SAFmiddle1textType,,Unique code for the supplier
372,BBIE,4,Name,1..1,,choice_SupplierID/Name,,Name,,Text,,,SAFmiddle2textType,,Name of the supplier
373,ASBIE,3,BillingAddress,1..1,,SupplierInfo,,Associated,,,Billing,AddressStructure,AddressStructure,,
374,BBIE,1,AccountID,0..1,,InvoiceStructure,,AccountID,,Text,,,SAFmiddle2textType,,"General Ledger Account code of the customer / supplier. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department."
375,BBIE,1,BranchStoreNumber,0..1,,InvoiceStructure,,BranchStoreNumber,,Text,,,SAFmiddle1textType,,"Branch or Storenumber, additional segregation of customer/supplier, used if not included as part of the customer/supplier id."
376,BBIE,1,Period,0..1,,InvoiceStructure,,Period,,,,,nonNegativeInteger,,Accounting Period
377,BBIE,1,PeriodYear,0..1,,InvoiceStructure,,PeriodYear,,,,,,,The year of the Accounting Period.
378,BBIE,1,InvoiceDate,1..1,,InvoiceStructure,,InvoiceDate,,Date,,,date,,
379,BBIE,1,InvoiceType,0..1,,InvoiceStructure,,InvoiceType,,Code,,,SAFcodeType,,"Type of invoice: Debit invoice, Credit invoice, Cash, Ticket, etc."
380,ASBIE,1,shipTo,0..1,,InvoiceStructure,,To,,,,ShippingPointStructure,ShippingPointStructure,,Ship To details
381,ASBIE,1,shipFrom,0..1,,InvoiceStructure,,From,,,,ShippingPointStructure,ShippingPointStructure,,Ship from Details
382,BBIE,1,PaymentTerms,0..1,,InvoiceStructure,,PaymentTerms,,Text,,,SAFmiddle2textType,,Payments terms for this invoice
383,BBIE,1,SelfBillingIndicator,0..1,,InvoiceStructure,,SelfBillingIndicator,,Code,,,SAFcodeType,,Indicator showing if self-billing  is used for this invoice.
384,BBIE,1,SourceID,0..1,,InvoiceStructure,,SourceID,,Text,,,SAFmiddle1textType,,Details of person or application that entered the transaction
385,BBIE,1,GLPostingDate,0..1,,InvoiceStructure,,GLPostingDate,,Date,,,date,,Date posting to GL
386,BBIE,1,BatchID,0..1,,InvoiceStructure,,BatchID,,Text,,,SAFmiddle1textType,,Systems generated ID for batch
387,BBIE,1,SystemID,0..1,,InvoiceStructure,,SystemID,,Text,,,SAFmiddle1textType,,Unique number created by the system for the document
388,BBIE,1,TransactionID,0..1,,InvoiceStructure,,TransactionID,,Text,,,SAFmiddle2textType,,"Cross-reference to GL posting. It can contain many different levels to identify the transaction. It could include cost centres such as company, division, region, group and branch/department."
389,BBIE,1,ReceiptNumbers,0..1,,InvoiceStructure,,ReceiptNumbers,,Text,,,SAFlongtextType,,"The number(s) of the receipt(s) on this ""consolidated invoicerecord"". Can be a single number, a range or a list."
390,ASBIE,1,InvoiceStructure_Line,1..*,,InvoiceStructure,,Associated,,,,InvoiceStructure_Line,,,
391,ABIE,1,InvoiceStructure_Line,1..*,,InvoiceStructure_Line,,Details,,,,,,,
392,BBIE,2,LineNumber,0..1,,InvoiceStructure_Line,,LineNumber,,Code,,,SAFshorttextType,,Number of the invoiceline
393,BBIE,2,AccountID,0..1,,InvoiceStructure_Line,,AccountID,,Text,,,SAFmiddle2textType,,"General Ledger Account code of the GL-revenue-account. Can be including sub-account id. It can contain many different levels to identify the Account. It could include cost centres such as company, division, region, group and branch/department."
394,ASBIE,2,Analysis,0..*,,InvoiceStructure_Line,,Associated,,,,AnalysisStructure,AnalysisStructure,,General Ledger analysis codes
395,ASBIE,2,OrderReferences,0..*,,InvoiceStructure_Line,,Associated,,,,OrderReferences,,,Relevant order references
396,ABIE,2,OrderReferences,0..*,,OrderReferences,,Details,,,,,,,Relevant order references
397,BBIE,3,OriginatingON,0..1,,OrderReferences,,OriginatingON,,Text,,,SAFmiddle2textType,,Origination Order Number
398,BBIE,3,OrderDate,0..1,,OrderReferences,,OrderDate,,Date,,,date,,Date of order
399,ASBIE,2,ShipTo,0..1,,InvoiceStructure_Line,,To,,,,ShippingPointStructure,ShippingPointStructure,,Ship To details
400,ASBIE,2,ShipFrom,0..1,,InvoiceStructure_Line,,From,,,,ShippingPointStructure,ShippingPointStructure,,Ship from Details
401,BBIE,2,GoodsServicesID,0..1,,InvoiceStructure_Line,,GoodsServicesID,,Code,,,SAFcodeType,,Indicator showing if goods or service
402,BBIE,2,ProductCode,0..1,,InvoiceStructure_Line,,ProductCode,,Text,,,SAFmiddle2textType,,Product code
