Module,Kind,,seq,Businessterm,Definition,Datatype,ObjectClassTermQualifier,ObjectClassTerm,PropertyTermQualifier,PropertyTerm,DatatypeQualifier,RepresentationTerm,AssociatedObjectClassTermQualifier,AssociatedObjectClass,Occurrence,Additional explanation,日本語訳,説明,追加説明,Example Value (値の例),Rules,Section,BIS extension,UBL syntax xPath,Data Type,Attributes - adjustments,Cardinality,CE 16931-3-1 Table 3 -- Alignment of cardinalities
Billing,IDBIE,8,ibt-034,Seller electronic address,Identifies the Seller's electronic address to which the application level response to the invoice may be delivered.,Identifier,,Seller,,Identification,,Identifier,,,0..1,"In case of Japan, it is supposed that ibt-029, ibt-030, ibt-031 and ibt-034 are used in the following way. ibt-029 is used to set identifier issued by numbering agencies (such as JIPDEC, TDB, TSR), ibt-030 is used to set  identifier issued by government/tax authority, ibt-031 is used to set Japan consumption tax registration number, and ibt-034 is used to set user ID of Peppol eDelivery Network.",売り手電子アドレス,請求書に対するアプリケーションレベルの応答が配信される売り手の電子アドレスを識別する。,"日本の場合、ibt-029: 民間等発行の識別番号(JIPDEC, TDB, TSR等)、ibt-30: 国/税務当局発行の識別番号(国税庁法人番号)、ibt-031: 適格請求書発行事業者登録番号、ibt-034: Peppol eDelivery NetworkのユーザーID のように使い分けることが想定されている。",JP123456789123,"ibr-62,ibr-cl-25",Shared,,/Invoice/cac:AccountingSupplierParty/cac:Party/cbc:EndpointID,IdentifierType,,0..1,
Billing,ASBIE,9,ibg-05,SELLER POSTAL ADDRESS,A group of business terms providing information about the address of the Seller.,,,Seller,,Defined,,,Seller,Postal Address,1..1,,売り手住所,売り手の住所に関する情報。,請求書を発行する法人の登録済住所で、請求書が本社によって発行される場合は本社の住所、支社によって発行される場合は支社の住所となる。,,"ibr-8,ibr-9",,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress,AddressType,,0..1,CAR-2
Billing,ABIE,0,ibg-05,SELLER POSTAL ADDRESS,A group of business terms providing information about the address of the Seller.,,Seller,Postal Address,,Detail,,,,,1..1,,売り手住所,売り手の住所に関する情報。,請求書を発行する法人の登録済住所で、請求書が本社によって発行される場合は本社の住所、支社によって発行される場合は支社の住所となる。,,"ibr-8,ibr-9",,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress,AddressType,,0..1,CAR-2
Billing,BBIE,1,ibt-035,Seller address line 1,The main address line in an address. ,Text,Seller,Postal Address,,Line 1,,Text,,,0..1,,売り手住所欄1,売り手の住所欄1。,,四谷4-29-X,,Shared,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:StreetName,NameType,,0..1,
Billing,BBIE,2,ibt-036,Seller address line 2,An additional address line in an address that can be used to give further details supplementing the main line.,Text,Seller,Postal Address,,Line 2,,Text,,,0..1,,売り手住所欄2,売り手の住所欄2。,,商事ビル,,Shared,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName,NameType,,0..1,
Billing,BBIE,3,ibt-162,Seller address line 3,An additional address line in an address that can be used to give further details supplementing the main line.,Text,Seller,Postal Address,,Line 3,,Text,,,0..1,,売り手住所欄3,売り手の住所欄3。,,,,Shared,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line,TextType,,1..1,CAR-1
Billing,BBIE,4,ibt-037,Seller city,"The common name of the city, town or village, where the Seller address is located.",Text,Seller,Postal Address,,City,,Text,,,0..1,,売り手住所 市区町村,売り手住所 市区町村。,,新宿区,,Shared,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CityName,NameType,,0..1,
Billing,BBIE,5,ibt-038,Seller post code,The identifier for an addressable group of properties according to the relevant postal service.,Text,Seller,Postal Address,,Post code,,Text,,,0..1,,売り手郵便番号,売り手の郵便番号。,,16-44,,Shared,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone,TextType,,0..1,
Billing,BBIE,6,ibt-039,Seller country subdivision,The subdivision of a country.,Text,Seller,Postal Address,,Country subdivision,,Text,,,0..1,,売り手住所 都道府県,売り手住所の地方区分。日本の場合は、都道府県。,,東京都,,Shared,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity,TextType,,0..1,
Billing,BBIE,7,ibt-040,Seller country code,A code that identifies the country.,Code,Seller,Postal Address,,Country,,Code,,,1..1,,売り手国コード,売り手の国コード。,,JP,"ibr-9,ibr-cl-14",Shared,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode,CodeType,,0..1,CAR-2
Billing,ASBIE,10,ibg-06,SELLER CONTACT,A group of business terms providing contact information about the Seller. ,,,Seller,,Defined,,,Seller,Contact,0..1,,売り手連絡先,売り手の連絡先に係る情報。,,,,,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact,ContactType,,0..1,
Billing,ABIE,0,ibg-06,SELLER CONTACT,A group of business terms providing contact information about the Seller. ,,Seller,Contact,,Detail,,,,,0..1,,売り手連絡先,売り手の連絡先に係る情報。,,,,,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact,ContactType,,0..1,
Billing,BBIE,1,ibt-041,Seller contact point,A contact point for a legal entity or person.,Text,Seller,Contact,,Point,,Text,,,0..1,,売り手連絡先,売り手の連絡先の個人の、文字で表現された名前（部門名を含む）。,,青木　志郎,,Shared,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Name,NameType,,0..1,
Billing,BBIE,2,ibt-042,Seller contact telephone number,A phone number for the contact point. ,Text,Seller,Contact,,Telephone number,,Text,,,0..1,,売り手連絡先電話番号,売り手の連絡先電話番号。,,3-3xxx-1,,Shared,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Telephone,TextType,,0..1,
Billing,BBIE,3,ibt-043,Seller contact email address,An e-mail address for the contact point. ,Text,Seller,Contact,,Email Address,,Text,,,0..1,,売り手連絡先電子メールアドレス,売り手の連絡先電子メールアドレス。,,shirou_aoki@co.jp,,Shared,,/Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:ElectronicMail,TextType,,0..1,
Billing,ASBIE,25,ibg-07,BUYER,A group of business terms providing information about the Buyer. ,,,Invoice,,Defined,,,,Buyer,1..1,,買い手,買い手に係る情報。,,,,,,/Invoice/cac:AccountingCustomerParty,CustomerPartyType,,1..1,
Billing,ABIE,0,ibg-07,BUYER,A group of business terms providing information about the Buyer. ,,,Buyer,,Detail,,,,,1..1,,買い手,買い手に係る情報。,,,,,,/Invoice/cac:AccountingCustomerParty,CustomerPartyType,,1..1,
Billing,BBIE,1,ibt-044,Buyer name,The full name of the Buyer. ,Text,,Buyer,,Name,,Text,,,1..1,,買い手名称,買い手の名称。,,株式会社 藤山物産 札幌支社,ibr-7,Shared,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName,NameType,,0..1,CAR-2
Billing,BBIE,2,ibt-045,Buyer trading name,"A name by which the Buyer is known, other than Buyer name (also known as Business name).",Text,,Buyer,,Trading Name,,Text,,,0..1,,買い手商号,買い手名称以外で、知られているビジネス上の名称。,,株式会社 藤山物産,,Shared,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyName/cbc:Name,NameType,,1..1,CAR-1
Billing,IDBIE,3,ibt-046,Buyer identifier,An identifier of the Buyer.,Identifier,,Buyer,,Identification,,Identifier,,,0..n,,買い手ID,買い手を表すID。,,12,,Shared,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID,IdentifierType,,1..1,CAR-4
Billing,IDBIE,4,ibt-047,Buyer legal registration identifier,An identifier issued by an official registrar that identifies the Buyer as a legal entity or person.,Identifier,,Buyer,,Legal refistration,,Identifier,,,0..1,,買い手法的企業ID,買い手を表す法的企業ID。,,654321:321:147:1,,Shared,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID,IdentifierType,,0..1,
Billing,IDBIE,5,ibt-048,Buyer TAX identifier,The Buyer's TAX identifier (also known as Buyer TAX identification number).,Identifier,,Buyer,,Tax,,Identifier,,,0..1,,買い手税ID,買い手の税ID番号。日本の場合は、適格請求書発行事業者登録番号。,T+法人番号（国税庁）。,T321987654321,,Aligned,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID,IdentifierType,,0..1,
Billing,IDBIE,6,ibt-049,Buyer electronic address,Identifies the Buyer's electronic address to which the invoice is delivered.,Identifier,,Buyer,,Tax registration,,Identifier,,,0..1,,買い手電子アドレス,請求書の送信先となる買い手の電子アドレスを識別する。,,JP321987654321,ibr-63,Shared,,/Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID,IdentifierType,,0..1,
Billing,ASBIE,7,ibg-08,BUYER POSTAL ADDRESS,A group of business terms providing information about the postal address for the Buyer.,,,Buyer,,Defined,,,Buyer,Postal Address,1..1,,買い手住所,買い手の住所に関する情報。,,,"ibr-1,ibr-11",,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress,AddressType,,0..1,CAR-2
Billing,ABIE,0,ibg-08,BUYER POSTAL ADDRESS,A group of business terms providing information about the postal address for the Buyer.,,Buyer,Postal Address,,Detail,,,,,1..1,,買い手住所,買い手の住所に関する情報。,,,"ibr-1,ibr-11",,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress,AddressType,,0..1,CAR-2
Billing,BBIE,1,ibt-050,Buyer address line 1,The main address line in an address. ,Text,Buyer,Postal Address,,Line 1,,Text,,,0..1,,買い手住所欄1,買い手の住所欄1。,,北区,,Shared,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:StreetName,NameType,,0..1,
Billing,BBIE,2,ibt-051,Buyer address line 2,An additional address line in an address that can be used to give further details supplementing the main line.,Text,Buyer,Postal Address,,Line 2,,Text,,,0..1,,買い手住所欄2,買い手の住所欄2。,,北十二条西76-X,,Shared,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName,NameType,,0..1,
Billing,BBIE,3,ibt-163,Buyer address line 3,An additional address line in an address that can be used to give further details supplementing the main line.,Text,Buyer,Postal Address,,Line 3,,Text,,,0..1,,買い手住所欄3,買い手の住所欄3。,,,,Shared,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line,TextType,,1..1,CAR-1
Billing,BBIE,4,ibt-052,Buyer city,"The common name of the city, town or village, where the Buyer's address is located.",Text,Buyer,Postal Address,,City,,Text,,,0..1,,買い手住所 市区町村,買い手住所 市区町村。,,札幌市,,Shared,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CityName,NameType,,0..1,
Billing,BBIE,5,ibt-053,Buyer post code,The identifier for an addressable group of properties according to the relevant postal service.,Text,Buyer,Postal Address,,Post code,,Text,,,0..1,,買い手郵便番号,買い手の郵便番号。,,1月12日,,Shared,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:PostalZone,TextType,,0..1,
Billing,BBIE,6,ibt-054,Buyer country subdivision,The subdivision of a country. ,Text,Buyer,Postal Address,,Country subdivision,,Text,,,0..1,,買い手住所 都道府県,買い手住所の地方区分。日本の場合は、都道府県。,,北海道,,Shared,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity,TextType,,0..1,
Billing,BBIE,7,ibt-055,Buyer country code,A code that identifies the country.,Code,Buyer,Postal Address,,Country,,Code,,,1..1,,買い手国コード,買い手の国コード。,,JP,ibr-11,Shared,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode,CodeType,,0..1,CAR-2
Billing,ASBIE,8,ibg-09,BUYER CONTACT,A group of business terms providing contact information relevant for the Buyer.,,,Buyer,,Defined,,,Buyer ,Contact,0..1,,買い手連絡先,買い手の連絡先に係る情報。,,,,,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact,ContactType,,0..1,
Billing,ABIE,0,ibg-09,BUYER CONTACT,A group of business terms providing contact information relevant for the Buyer.,,Buyer,Contact,,Detail,,,,,0..1,,買い手連絡先,買い手の連絡先に係る情報。,,,,,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact,ContactType,,0..1,
Billing,BBIE,1,ibt-056,Buyer contact point,A contact point for a legal entity or person.,Text,Buyer,Contact,,Point,,Text,,,0..1,,買い手連絡先,買い手の連絡先。,,株式会社 藤山物産 札幌支社,,Shared,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Name,NameType,,0..1,
Billing,BBIE,2,ibt-057,Buyer contact telephone number,A phone number for the contact point. ,Text,Buyer,Contact,,Telephone number,,Text,,,0..1,,買い手連絡先電話番号,買い手の連絡先電話番号。,,,,Shared,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Telephone,TextType,,0..1,
Billing,BBIE,3,ibt-058,Buyer contact email address,An e-mail address for the contact point. ,Text,Buyer,Contact,,Email Address,,Text,,,0..1,,買い手連絡先電子メールアドレス,買い手の連絡先電子メールアドレス。,,purchaser@fujiyamabussan.co.jp,,Shared,,/Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:ElectronicMail,TextType,,0..1,
Billing,ASBIE,26,ibg-10,PAYEE,"A group of business terms providing information about the Payee, i.e. the role that receives the payment.",,,Invoice,,Defined,,,,Payee,0..1,,支払先,支払先に係る情報。,,,ibr-17,,,/Invoice/cac:PayeeParty,PartyType,,0..1,
Billing,ABIE,0,ibg-10,PAYEE,"A group of business terms providing information about the Payee, i.e. the role that receives the payment.",,,Payee,,Detail,,,,,0..1,,支払先,支払先に係る情報。,,,ibr-17,,,/Invoice/cac:PayeeParty,PartyType,,0..1,
Billing,BBIE,1,ibt-059,Payee name,The name of the Payee.,Text,,Payee,,Name,,Text,,,1..1,,支払先名称,支払先の名称。,,,ibr-17,Shared,,/Invoice/cac:PayeeParty/cac:PartyName/cbc:Name,NameType,,1..1,
Billing,IDBIE,2,ibt-060,Payee identifier,An identifier for the Payee.,Identifier,,Payee,,Identification,,Identifier,,,0..1,,支払先ID,支払先のID。,,,,Shared,,/Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID,IdentifierType,,1..1,CAR-1
Billing,IDBIE,3,ibt-061,Payee legal registration identifier,An identifier issued by an official registrar that identifies the Payee as a legal entity or person.,Identifier,,Payee,,Legal registration ,,Identifier,,,0..1,,支払先登録企業ID,支払先の国際企業ID。,,,,Shared,,/Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID,IdentifierType,,0..1,
Billing,ASBIE,27,ibg-11,SELLER TAX REPRESENTATIVE PARTY,A group of business terms providing information about the Seller's tax representative.,,,Invoice,,Defined,,,Seller Tax Representative,Party,0..1,"An example is Italy. However, if this does not sound familiar, the concept of tax representative parties is not relevant to Japan.",売り手納税管理人,売り手の納税管理人に係る情報。,イタリアで使われている例はある。しかしながら、馴染みがないようであれば、納税管理人の概念は日本では関係がない。,,"ibr-18,ibr-19,ibr-2,ibr-56",,,/Invoice/cac:TaxRepresentativeParty,PartyType,,0..1,
Billing,ABIE,0,ibg-11,SELLER TAX REPRESENTATIVE PARTY,A group of business terms providing information about the Seller's tax representative.,,,Party,,Detail,,,,,0..1,"An example is Italy. However, if this does not sound familiar, the concept of tax representative parties is not relevant to Japan.",売り手納税管理人,売り手の納税管理人に係る情報。,イタリアで使われている例はある。しかしながら、馴染みがないようであれば、納税管理人の概念は日本では関係がない。,,"ibr-18,ibr-19,ibr-2,ibr-56",,,/Invoice/cac:TaxRepresentativeParty,PartyType,,0..1,
Billing,BBIE,1,ibt-062,Seller tax representative name,The full name of the Seller's tax representative party. ,Text,,Party,,Name,,Text,,,1..1,,売り手納税管理人名称,売り手の納税管理人名称。,,,ibr-18,Aligned,,/Invoice/cac:TaxRepresentativeParty/cac:PartyName/cbc:Name,NameType,,1..1,
Billing,IDBIE,2,ibt-063,Seller tax representative TAX identifier,The TAX identifier of the Seller's tax representative party.,Identifier,,Party,,Tax identification,,Identifier,,,1..1,,売り手納税管理人税ID,売り手の納税管理人の税ID。日本の場合は、納税管理人の適格請求書発行事業者登録番号(T+法人番号(国税庁))。,,,"ibr-56,jp-s-2,jp-s-3,jp-s-4",Aligned,,/Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cbc:CompanyID,IdentifierType,,0..1,CAR-2
Billing,ASBIE,3,ibg-12,SELLER TAX REPRESENTATIVE POSTAL ADDRESS,A group of business terms providing information about the postal address for the tax representative party.,,,Party,,Defined,,,Seller Tax Representative,Postal Address,1..1,,売り手納税管理人住所,納税管理人の住所に関する情報。,,,"ibr-19,ibr-2",,,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress,AddressType,,0..1,CAR-2
Billing,ABIE,0,ibg-12,SELLER TAX REPRESENTATIVE POSTAL ADDRESS,A group of business terms providing information about the postal address for the tax representative party.,,Seller Tax Representative,Postal Address,,Detail,,,,,1..1,,売り手納税管理人住所,納税管理人の住所に関する情報。,,,"ibr-19,ibr-2",,,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress,AddressType,,0..1,CAR-2
Billing,BBIE,1,ibt-064,Tax representative address line 1,The main address line in an address. ,Text,Seller Tax Representative,Postal Address,,Line 1,,Text,,,0..1,,納税管理人住所欄1,納税管理人住所欄1。,,,,Shared,,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:StreetName,NameType,,0..1,
Billing,BBIE,2,ibt-065,Tax representative address line 2,An additional address line in an address that can be used to give further details supplementing the main line.,Text,Seller Tax Representative,Postal Address,,Line 2,,Text,,,0..1,,納税管理人住所欄2,納税管理人住所欄2。,,,,Shared,,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:AdditionalStreetName,NameType,,0..1,
Billing,BBIE,3,ibt-164,Tax representative address line 3,An additional address line in an address that can be used to give further details supplementing the main line.,Text,Seller Tax Representative,Postal Address,,Line 3,,Text,,,0..1,,納税管理人住所欄3,納税管理人住所欄3。,,,,Shared,,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:AddressLine/cbc:Line,TextType,,1..1,CAR-1
Billing,BBIE,4,ibt-066,Tax representative city,"The common name of the city, town or village, where the tax representative address is located.",Text,Seller Tax Representative,Postal Address,,City,,Text,,,0..1,,納税管理人住所 市区町村,納税管理人住所 市区町村。,,,,Shared,,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CityName,NameType,,0..1,
Billing,BBIE,5,ibt-067,Tax representative post code,The identifier for an addressable group of properties according to the relevant postal service.,Text,Seller Tax Representative,Postal Address,,Post code,,Text,,,0..1,,納税管理人郵便番号,納税管理人郵便番号。,,,,Shared,,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:PostalZone,TextType,,0..1,
Billing,BBIE,6,ibt-068,Tax representative country subdivision,The subdivision of a country. ,Text,Seller Tax Representative,Postal Address,,Country subdivision,,Text,,,0..1,,納税管理人住所 都道府県,納税管理人住所の地方区分。日本の場合は、都道府県。,,,,Shared,,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CountrySubentity,TextType,,0..1,
Billing,BBIE,7,ibt-069,Tax representative country code,A code that identifies the country.,Code,Seller Tax Representative,Postal Address,,Country,,Code,,,1..1,,納税管理人国コード,納税管理人国コード。,,,ibr-2,Shared,,/Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:Country/cbc:IdentificationCode,CodeType,,0..1,CAR-2
Billing,ASBIE,28,ibg-13,DELIVERY INFORMATION,A group of business terms providing information about where and when the goods and services invoiced are delivered.,,,Invoice,,Defined,,,,Delivery Information,0..1,,納入先,納入先に係る情報。,合算請求書には複数の納入先が含まれることがあるので明細行レベルで 0..n,,,,,/Invoice/cac:Delivery,DeliveryType,,0..n,CAR-3
Billing,ABIE,0,ibg-13,DELIVERY INFORMATION,A group of business terms providing information about where and when the goods and services invoiced are delivered.,,,Delivery Information,,Detail,,,,,0..1,,納入先,納入先に係る情報。,合算請求書には複数の納入先が含まれることがあるので明細行レベルで 0..n,,,,,/Invoice/cac:Delivery,DeliveryType,,0..n,CAR-3
Billing,BBIE,1,ibt-070,Deliver to party name,The name of the party to which the goods and services are delivered.,Text,,Delivery Information,,Deliver to party name,,Text,,,0..1,,納入先名称,納入先の名称。,,株式会社 藤山物産 札幌支社,,Shared,,/Invoice/cac:Delivery/cac:DeliveryParty/cac:PartyName/cbc:Name,NameType,,1..1,CAR-1
Billing,IDBIE,2,ibt-071,Deliver to location identifier,An identifier for the location at which the goods and services are delivered.,Identifier,,Delivery Information,,Identification,,Identifier,,,0..1,,納入先ID,納入先の場所ID。,,,ibr-cl-26,Shared,,/Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID,IdentifierType,,0..1,
Billing,BBIE,3,ibt-072,Actual delivery date,the date on which the supply of goods or services was made or completed.,Date,,Delivery Information,,Actual delivery date,,Date,,,0..1,The date is described in the Christian era and is YYYY-MM-DD according to the rule PEPPOL-EN16931-F001. ,実際納入日,実際の納入日。,日付表示は西暦表示で、ルール PEPPOL-EN16931-F001 に従い、YYYY-MM-DD となる。,44259,,Shared,,/Invoice/cac:Delivery/cbc:ActualDeliveryDate,PeriodType,,0..n,CAR-3
Billing,ASBIE,4,ibg-14,INVOICING PERIOD,A group of business terms providing information on the invoice period.,,,Delivery Information,,Defined,,,Invoicing,Period,0..1,"To present ""date of the transfer of taxable assets, etc"", in case that ""date of the transfer of taxable assets, etc"" is a single date,  ibt-007 tax point date can be used. In case that ""date of the transfer of taxable assets, etc"" is a period, ibg-14 INVOICING PERIOD on document level can be used. ibg-14 defines period during which the goods or services that are invoiced were provided. The main use case is for metered service. As example online data consumption or utililities but it can also be used for goods delivered during a period, as is the case for the summarized invoice. In the same way IBG-26 INVOICE LINE PERIOD on line level can be used when there are different dates for each line.",請求期間,請求期間に関わる情報。,課税資産の譲渡等の日を表すために、課税資産の譲渡等の日が単一の日付の場合は、ibt-007 課税基準日の日付を使用できる。課税資産の譲渡等の日が期間の場合、ドキュメントレベルの IBG-14 請求期間を使用できる。IBG-14は、請求される商品またはサービスが提供された期間を定義している。主な使用例は、従量制サービスであり、 例としてはオンラインデータの消費あるいは電気ガス水道といった公益料金であるが、合算請求書のケースのように、期間中に提供された商品の場合にも使用できる。同様に、各行ごとに課税資産の譲渡等の日が異なる場合、請求書明細行レベルのIBG-26 請求書明細行の期間を使用できる。,,ibr-co-19,,,/Invoice/cac:InvoicePeriod,DateType,,0..1,
Billing,ABIE,0,ibg-14,INVOICING PERIOD,A group of business terms providing information on the invoice period.,,Invoicing,Period,,Detail,,,,,0..1,"To present ""date of the transfer of taxable assets, etc"", in case that ""date of the transfer of taxable assets, etc"" is a single date,  ibt-007 tax point date can be used. In case that ""date of the transfer of taxable assets, etc"" is a period, ibg-14 INVOICING PERIOD on document level can be used. ibg-14 defines period during which the goods or services that are invoiced were provided. The main use case is for metered service. As example online data consumption or utililities but it can also be used for goods delivered during a period, as is the case for the summarized invoice. In the same way IBG-26 INVOICE LINE PERIOD on line level can be used when there are different dates for each line.",請求期間,請求期間に関わる情報。,課税資産の譲渡等の日を表すために、課税資産の譲渡等の日が単一の日付の場合は、ibt-007 課税基準日の日付を使用できる。課税資産の譲渡等の日が期間の場合、ドキュメントレベルの IBG-14 請求期間を使用できる。IBG-14は、請求される商品またはサービスが提供された期間を定義している。主な使用例は、従量制サービスであり、 例としてはオンラインデータの消費あるいは電気ガス水道といった公益料金であるが、合算請求書のケースのように、期間中に提供された商品の場合にも使用できる。同様に、各行ごとに課税資産の譲渡等の日が異なる場合、請求書明細行レベルのIBG-26 請求書明細行の期間を使用できる。,,ibr-co-19,,,/Invoice/cac:InvoicePeriod,DateType,,0..1,
Billing,BBIE,1,ibt-073,Invoicing period start date,The date when the Invoice period starts.,Date,Invoicing,Period,,Start date,,Date,,,0..1,The date is described in the Christian era and is YYYY-MM-DD according to the rule PEPPOL-EN16931-F001. ,請求期間開始日,請求期間開始日。,日付表示は西暦表示で、ルール PEPPOL-EN16931-F001 に従い、YYYY-MM-DD となる。,,"ibr-29,ibr-co-19",Shared,,/Invoice/cac:InvoicePeriod/cbc:StartDate,DateType,,0..1,
Billing,BBIE,2,ibt-074,Invoicing period end date,The date when the Invoice period ends.,Date,Invoicing,Period,,ebd data,,Date,,,0..1,The date is described in the Christian era and is YYYY-MM-DD according to the rule PEPPOL-EN16931-F001. ,請求期間終了日,請求期間終了日。,日付表示は西暦表示で、ルール PEPPOL-EN16931-F001 に従い、YYYY-MM-DD となる。,,"ibr-29,ibr-co-19",Shared,,/Invoice/cac:InvoicePeriod/cbc:EndDate,DateType,,0..1,
Billing,ASBIE,5,ibg-15,DELIVER TO ADDRESS,A group of business terms providing information about the address to which goods and services invoiced were or are delivered.,,,Delivery Information,,Defined,,,Deliver to,Postal Address,0..1,,納入先住所,請求される財/サービスの納入先の住所に関する情報,,,ibr-57,,,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address,AddressType,,0..1,
Billing,ABIE,0,ibg-15,DELIVER TO ADDRESS,A group of business terms providing information about the address to which goods and services invoiced were or are delivered.,,Drliver To,Postal Address,,Detail,,,,,0..1,,納入先住所,請求される財/サービスの納入先の住所に関する情報,,,ibr-57,,,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address,AddressType,,0..1,
Billing,BBIE,1,ibt-075,Deliver to address line 1,The main address line in an address. ,Text,Drliver To,Postal Address,,Line 1,,Text,,,0..1,,納入先住所欄1,納入先の住所欄1。,,北海道札幌市北区,,Shared,,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:StreetName,NameType,,0..1,
Billing,BBIE,2,ibt-076,Deliver to address line 2,An additional address line in an address that can be used to give further details supplementing the main line.,Text,Drliver To,Postal Address,,Line 2,,Text,,,0..1,,納入先住所欄2,納入先の住所欄2。,,北十二条西76-X,,Shared,,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:AdditionalStreetName,NameType,,0..1,
Billing,BBIE,3,ibt-165,Deliver to address line 3,An additional address line in an address that can be used to give further details supplementing the main line.,Text,Drliver To,Postal Address,,Line 3,,Text,,,0..1,,納入先住所欄3,納入先の住所欄3。,,,,Shared,,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cac:AddressLine/cbc:Line,TextType,,1..1,CAR-1
Billing,BBIE,4,ibt-077,Deliver to city,"The common name of the city, town or village, where the deliver to address is located.",Text,Drliver To,Postal Address,,City,,Text,,,0..1,,納入先住所 市区町村,納入先住所 市区町村。,,北海道札幌市,,Shared,,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CityName,NameType,,0..1,
Billing,BBIE,5,ibt-078,Deliver to post code,The identifier for an addressable group of properties according to the relevant postal service.,Text,Drliver To,Postal Address,,Post code,,Text,,,0..1,,納入先郵便番号,納入先の郵便番号。,,1月12日,,Shared,,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:PostalZone,TextType,,0..1,
Billing,BBIE,6,ibt-079,Deliver to country subdivision,The subdivision of a country. ,Text,Drliver To,Postal Address,,Country subdivision,,Text,,,0..1,,納入先住所 都道府県,納入先住所の地方区分。日本の場合は、都道府県。,,,,Shared,,/Invoice/cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CountrySubentity,TextType,,0..1,
